t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,7,0.261863,0.000000,0.000000,0.000000,events/second
1647547440,7,0.122721,0.000000,0.000000,0.000000,events/second
1647547470,7,0.080383,0.000000,0.000000,0.000000,events/second
1647547500,21,0.179292,0.000000,0.000000,0.000000,events/second
1647547530,36,0.244639,0.000000,0.000000,0.000000,events/second
1647547560,39,0.220119,0.000000,0.000000,0.000000,events/second
1647547590,48,0.231666,0.000000,0.000000,0.000000,events/second
1647547620,51,0.214995,0.000000,0.000000,0.000000,events/second
1647547650,57,0.213286,0.000000,0.000000,0.000000,events/second
1647547680,60,0.201841,0.000000,0.000000,0.000000,events/second
1647547710,66,0.201660,0.000000,0.000000,0.000000,events/second
1647547740,69,0.193117,0.000000,0.000000,0.000000,events/second
1647547770,75,0.193644,0.000000,0.000000,0.000000,events/second
1647547801,78,0.186899,0.000000,0.000000,0.000000,events/second
1647547831,84,0.187771,0.000000,0.000000,0.000000,events/second
1647547861,87,0.182246,0.000000,0.000000,0.000000,events/second
1647547891,93,0.183291,0.000000,0.000000,0.000000,events/second
1647547921,96,0.178635,0.000000,0.000000,0.000000,events/second
1647547951,102,0.179758,0.000000,0.000000,0.000000,events/second
1647547981,105,0.175748,0.000000,0.000000,0.000000,events/second
1647548011,111,0.176902,0.000000,0.000000,0.000000,events/second
1647548041,114,0.173388,0.000000,0.000000,0.000000,events/second
1647548071,120,0.174543,0.000000,0.000000,0.000000,events/second
1647548101,123,0.171419,0.000000,0.000000,0.000000,events/second
1647548131,129,0.172560,0.000000,0.000000,0.000000,events/second
1647548161,135,0.173610,0.000000,0.000000,0.000000,events/second
1647548191,141,0.174587,0.000000,0.000000,0.000000,events/second
1647548221,144,0.171912,0.000000,0.000000,0.000000,events/second
1647548251,150,0.172875,0.000000,0.000000,0.000000,events/second
1647548281,156,0.173775,0.000000,0.000000,0.000000,events/second
1647548311,162,0.174620,0.000000,0.000000,0.000000,events/second
1647548341,165,0.172278,0.000000,0.000000,0.000000,events/second
1647548371,171,0.173117,0.000000,0.000000,0.000000,events/second
1647548401,174,0.170956,0.000000,0.000000,0.000000,events/second
1647548431,180,0.171784,0.000000,0.000000,0.000000,events/second
1647548461,183,0.169784,0.000000,0.000000,0.000000,events/second
1647548491,189,0.170601,0.000000,0.000000,0.000000,events/second
1647548521,192,0.168737,0.000000,0.000000,0.000000,events/second
1647548551,198,0.169538,0.000000,0.000000,0.000000,events/second
1647548581,201,0.167793,0.000000,0.000000,0.000000,events/second
1647548611,207,0.168577,0.000000,0.000000,0.000000,events/second
1647548641,210,0.166939,0.000000,0.000000,0.000000,events/second
1647548671,216,0.167706,0.000000,0.000000,0.000000,events/second
1647548701,219,0.166162,0.000000,0.000000,0.000000,events/second
1647548731,225,0.166911,0.000000,0.000000,0.000000,events/second
1647548761,228,0.165452,0.000000,0.000000,0.000000,events/second
1647548791,234,0.166186,0.000000,0.000000,0.000000,events/second
1647548821,237,0.164803,0.000000,0.000000,0.000000,events/second
1647548851,243,0.165521,0.000000,0.000000,0.000000,events/second
1647548881,246,0.164207,0.000000,0.000000,0.000000,events/second
1647548911,252,0.164907,0.000000,0.000000,0.000000,events/second
1647548941,255,0.163653,0.000000,0.000000,0.000000,events/second
1647548971,261,0.164338,0.000000,0.000000,0.000000,events/second
1647549001,264,0.163143,0.000000,0.000000,0.000000,events/second
1647549031,271,0.164417,0.000000,0.000000,0.000000,events/second
1647549061,274,0.163263,0.000000,0.000000,0.000000,events/second
1647549091,280,0.163906,0.000000,0.000000,0.000000,events/second
1647549121,283,0.162803,0.000000,0.000000,0.000000,events/second
1647549152,289,0.163432,0.000000,0.000000,0.000000,events/second
1647549182,292,0.162372,0.000000,0.000000,0.000000,events/second
1647549212,298,0.162987,0.000000,0.000000,0.000000,events/second
1647549242,301,0.161968,0.000000,0.000000,0.000000,events/second
1647549272,307,0.162571,0.000000,0.000000,0.000000,events/second
1647549302,310,0.161591,0.000000,0.000000,0.000000,events/second
1647549332,316,0.162180,0.000000,0.000000,0.000000,events/second
