t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,6
1647547560,6
1647547590,6
1647547620,6
1647547650,6
1647547680,6
1647547710,6
1647547740,6
1647547770,6
1647547801,6
1647547831,6
1647547861,6
1647547891,6
1647547921,6
1647547951,6
1647547981,6
1647548011,6
1647548041,6
1647548071,6
1647548101,6
1647548131,6
1647548161,6
1647548191,6
1647548221,6
1647548251,6
1647548281,6
1647548311,6
1647548341,6
1647548371,6
1647548401,6
1647548431,6
1647548461,6
1647548491,6
1647548521,6
1647548551,6
1647548581,6
1647548611,6
1647548641,6
1647548671,6
1647548701,6
1647548731,6
1647548761,6
1647548791,6
1647548821,6
1647548851,6
1647548881,6
1647548911,6
1647548941,6
1647548971,6
1647549001,6
1647549031,5
1647549061,5
1647549091,5
1647549121,5
1647549152,5
1647549182,5
1647549212,5
1647549242,5
1647549272,5
1647549302,5
1647549332,5
1647549362,5
1647549392,5
1647549422,5
1647549452,5
1647549482,5
1647549512,5
1647549542,5
1647549572,5
1647549602,5
1647549632,5
1647549662,5
1647549692,5
1647549722,5
1647549752,5
1647549782,5
1647549812,5
1647549842,5
1647549872,5
1647549902,5
1647549932,5
1647549962,5
1647549992,5
1647550022,5
1647550052,5
1647550082,5
1647550112,5
1647550142,5
1647550172,5
1647550202,5
1647550232,5
1647550262,5
1647550292,5
1647550322,5
1647550352,5
1647550382,5
1647550412,5
1647550442,5
1647550472,5
1647550502,5
1647550532,5
1647550562,5
1647550593,5
1647550623,5
1647550653,5
1647550683,5
1647550713,5
1647550743,5
1647550773,5
1647550803,5
1647550833,5
1647550863,5
1647550893,5
1647550923,5
1647550953,5
1647550983,5
1647551013,5
1647551043,5
1647551073,5
1647551103,5
1647551133,5
1647551163,5
1647551193,5
1647551224,5
1647551254,5
1647551284,5
1647551314,5
1647551344,5
1647551374,5
1647551404,5
1647551434,5
1647551464,5
1647551494,5
1647551524,5
1647551554,5
1647551584,5
1647551614,5
1647551644,5
1647551674,5
1647551704,5
1647551734,5
1647551764,5
1647551794,5
1647551824,4
1647551854,5
1647551884,5
1647551914,5
1647551944,5
1647551974,5
1647552004,5
1647552034,5
1647552064,5
1647552094,5
1647552124,5
1647552154,5
1647552184,5
1647552214,5
1647552244,5
1647552274,5
1647552304,5
1647552334,5
1647552364,5
1647552394,5
1647552424,5
1647552454,5
1647552487,5
1647552517,5
1647552547,5
1647552577,5
1647552607,5
1647553637,6
1647553667,5
1647553697,5
1647553727,5
1647553757,5
1647553787,5
1647553817,4
1647553847,5
1647553877,5
1647553907,0
