t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,7,0.261752,0.000000,0.000000,0.000000,events/second
1647547440,7,0.122718,0.000000,0.000000,0.000000,events/second
1647547470,7,0.080381,0.000000,0.000000,0.000000,events/second
1647547500,21,0.179290,0.000000,0.000000,0.000000,events/second
1647547530,42,0.285411,0.000000,0.000000,0.000000,events/second
1647547560,45,0.253983,0.000000,0.000000,0.000000,events/second
1647547590,54,0.260623,0.000000,0.000000,0.000000,events/second
1647547620,57,0.240287,0.000000,0.000000,0.000000,events/second
1647547650,63,0.235736,0.000000,0.000000,0.000000,events/second
1647547680,66,0.222024,0.000000,0.000000,0.000000,events/second
1647547710,72,0.219992,0.000000,0.000000,0.000000,events/second
1647547740,75,0.209910,0.000000,0.000000,0.000000,events/second
1647547770,81,0.209135,0.000000,0.000000,0.000000,events/second
1647547801,84,0.201276,0.000000,0.000000,0.000000,events/second
1647547831,90,0.201183,0.000000,0.000000,0.000000,events/second
1647547861,93,0.194815,0.000000,0.000000,0.000000,events/second
1647547891,99,0.195115,0.000000,0.000000,0.000000,events/second
1647547921,102,0.189799,0.000000,0.000000,0.000000,events/second
1647547951,108,0.190331,0.000000,0.000000,0.000000,events/second
1647547981,111,0.185791,0.000000,0.000000,0.000000,events/second
1647548011,117,0.186464,0.000000,0.000000,0.000000,events/second
1647548041,120,0.182513,0.000000,0.000000,0.000000,events/second
1647548071,126,0.183270,0.000000,0.000000,0.000000,events/second
1647548101,129,0.179781,0.000000,0.000000,0.000000,events/second
1647548131,135,0.180586,0.000000,0.000000,0.000000,events/second
1647548161,141,0.181326,0.000000,0.000000,0.000000,events/second
1647548191,147,0.182016,0.000000,0.000000,0.000000,events/second
1647548221,150,0.179075,0.000000,0.000000,0.000000,events/second
1647548251,156,0.179790,0.000000,0.000000,0.000000,events/second
1647548281,162,0.180459,0.000000,0.000000,0.000000,events/second
1647548311,168,0.181088,0.000000,0.000000,0.000000,events/second
1647548341,171,0.178543,0.000000,0.000000,0.000000,events/second
1647548371,177,0.179191,0.000000,0.000000,0.000000,events/second
1647548401,180,0.176851,0.000000,0.000000,0.000000,events/second
1647548431,186,0.177510,0.000000,0.000000,0.000000,events/second
1647548461,189,0.175351,0.000000,0.000000,0.000000,events/second
1647548491,195,0.176017,0.000000,0.000000,0.000000,events/second
1647548521,198,0.174010,0.000000,0.000000,0.000000,events/second
1647548551,204,0.174675,0.000000,0.000000,0.000000,events/second
1647548581,207,0.172802,0.000000,0.000000,0.000000,events/second
1647548611,213,0.173464,0.000000,0.000000,0.000000,events/second
1647548641,216,0.171709,0.000000,0.000000,0.000000,events/second
1647548671,222,0.172364,0.000000,0.000000,0.000000,events/second
1647548701,225,0.170714,0.000000,0.000000,0.000000,events/second
1647548731,231,0.171362,0.000000,0.000000,0.000000,events/second
1647548761,234,0.169806,0.000000,0.000000,0.000000,events/second
1647548791,240,0.170447,0.000000,0.000000,0.000000,events/second
1647548821,243,0.168975,0.000000,0.000000,0.000000,events/second
1647548851,249,0.169608,0.000000,0.000000,0.000000,events/second
1647548881,252,0.168212,0.000000,0.000000,0.000000,events/second
1647548911,258,0.168833,0.000000,0.000000,0.000000,events/second
1647548941,261,0.167504,0.000000,0.000000,0.000000,events/second
1647548971,267,0.168116,0.000000,0.000000,0.000000,events/second
1647549001,270,0.166851,0.000000,0.000000,0.000000,events/second
1647549031,276,0.167450,0.000000,0.000000,0.000000,events/second
1647549061,279,0.166242,0.000000,0.000000,0.000000,events/second
1647549091,285,0.166833,0.000000,0.000000,0.000000,events/second
1647549121,288,0.165679,0.000000,0.000000,0.000000,events/second
1647549152,294,0.166259,0.000000,0.000000,0.000000,events/second
1647549182,297,0.165152,0.000000,0.000000,0.000000,events/second
1647549212,303,0.165721,0.000000,0.000000,0.000000,events/second
1647549242,306,0.164658,0.000000,0.000000,0.000000,events/second
1647549272,312,0.165219,0.000000,0.000000,0.000000,events/second
1647549302,315,0.164197,0.000000,0.000000,0.000000,events/second
1647549332,321,0.164746,0.000000,0.000000,0.000000,events/second
1647549362,324,0.163763,0.000000,0.000000,0.000000,events/second
1647549392,330,0.164303,0.000000,0.000000,0.000000,events/second
1647549422,333,0.163356,0.000000,0.000000,0.000000,events/second
1647549452,339,0.163886,0.000000,0.000000,0.000000,events/second
1647549482,342,0.162970,0.000000,0.000000,0.000000,events/second
1647549512,348,0.163491,0.000000,0.000000,0.000000,events/second
1647549542,351,0.162606,0.000000,0.000000,0.000000,events/second
1647549572,357,0.163118,0.000000,0.000000,0.000000,events/second
1647549602,363,0.163614,0.000000,0.000000,0.000000,events/second
1647549632,369,0.164099,0.000000,0.000000,0.000000,events/second
1647549662,372,0.163253,0.000000,0.000000,0.000000,events/second
1647549692,381,0.165029,0.000000,0.000000,0.000000,events/second
1647549722,384,0.164193,0.000000,0.000000,0.000000,events/second
1647549752,390,0.164643,0.000000,0.000000,0.000000,events/second
1647549782,393,0.163834,0.000000,0.000000,0.000000,events/second
1647549812,402,0.165514,0.000000,0.000000,0.000000,events/second
1647549842,408,0.165934,0.000000,0.000000,0.000000,events/second
1647549872,417,0.167548,0.000000,0.000000,0.000000,events/second
1647549902,426,0.169125,0.000000,0.000000,0.000000,events/second
1647549932,435,0.170664,0.000000,0.000000,0.000000,events/second
1647549962,441,0.171001,0.000000,0.000000,0.000000,events/second
1647549992,447,0.171334,0.000000,0.000000,0.000000,events/second
1647550022,450,0.170521,0.000000,0.000000,0.000000,events/second
1647550052,459,0.171976,0.000000,0.000000,0.000000,events/second
1647550082,465,0.172286,0.000000,0.000000,0.000000,events/second
1647550112,471,0.172590,0.000000,0.000000,0.000000,events/second
1647550142,474,0.171799,0.000000,0.000000,0.000000,events/second
1647550172,480,0.172101,0.000000,0.000000,0.000000,events/second
1647550202,483,0.171332,0.000000,0.000000,0.000000,events/second
1647550232,492,0.172687,0.000000,0.000000,0.000000,events/second
1647550262,504,0.175054,0.000000,0.000000,0.000000,events/second
1647550292,510,0.175310,0.000000,0.000000,0.000000,events/second
1647550322,519,0.176581,0.000000,0.000000,0.000000,events/second
1647550352,528,0.177827,0.000000,0.000000,0.000000,events/second
1647550382,531,0.177047,0.000000,0.000000,0.000000,events/second
1647550412,537,0.177273,0.000000,0.000000,0.000000,events/second
1647550442,540,0.176515,0.000000,0.000000,0.000000,events/second
1647550472,546,0.176742,0.000000,0.000000,0.000000,events/second
1647550502,549,0.176003,0.000000,0.000000,0.000000,events/second
1647550532,555,0.176230,0.000000,0.000000,0.000000,events/second
1647550562,558,0.175510,0.000000,0.000000,0.000000,events/second
1647550593,564,0.175738,0.000000,0.000000,0.000000,events/second
1647550623,567,0.175035,0.000000,0.000000,0.000000,events/second
1647550653,573,0.175264,0.000000,0.000000,0.000000,events/second
1647550683,576,0.174578,0.000000,0.000000,0.000000,events/second
1647550713,582,0.174807,0.000000,0.000000,0.000000,events/second
1647550743,585,0.174138,0.000000,0.000000,0.000000,events/second
1647550773,591,0.174366,0.000000,0.000000,0.000000,events/second
1647550803,594,0.173713,0.000000,0.000000,0.000000,events/second
1647550833,603,0.174810,0.000000,0.000000,0.000000,events/second
1647550863,606,0.174165,0.000000,0.000000,0.000000,events/second
1647550893,612,0.174385,0.000000,0.000000,0.000000,events/second
1647550923,618,0.174601,0.000000,0.000000,0.000000,events/second
1647550953,624,0.174814,0.000000,0.000000,0.000000,events/second
1647550983,627,0.174188,0.000000,0.000000,0.000000,events/second
1647551013,633,0.174398,0.000000,0.000000,0.000000,events/second
1647551043,636,0.173783,0.000000,0.000000,0.000000,events/second
1647551073,642,0.173995,0.000000,0.000000,0.000000,events/second
1647551103,645,0.173398,0.000000,0.000000,0.000000,events/second
1647551133,653,0.174121,0.000000,0.000000,0.000000,events/second
1647551163,656,0.173532,0.000000,0.000000,0.000000,events/second
1647551193,662,0.173739,0.000000,0.000000,0.000000,events/second
1647551224,665,0.173162,0.000000,0.000000,0.000000,events/second
1647551254,671,0.173369,0.000000,0.000000,0.000000,events/second
1647551284,674,0.172804,0.000000,0.000000,0.000000,events/second
1647551314,680,0.173011,0.000000,0.000000,0.000000,events/second
1647551344,683,0.172458,0.000000,0.000000,0.000000,events/second
1647551374,689,0.172664,0.000000,0.000000,0.000000,events/second
1647551404,692,0.172121,0.000000,0.000000,0.000000,events/second
1647551434,698,0.172327,0.000000,0.000000,0.000000,events/second
1647551464,701,0.171795,0.000000,0.000000,0.000000,events/second
1647551494,707,0.172000,0.000000,0.000000,0.000000,events/second
1647551524,710,0.171478,0.000000,0.000000,0.000000,events/second
1647551554,716,0.171682,0.000000,0.000000,0.000000,events/second
1647551584,719,0.171170,0.000000,0.000000,0.000000,events/second
1647551614,726,0.171611,0.000000,0.000000,0.000000,events/second
1647551644,729,0.171106,0.000000,0.000000,0.000000,events/second
1647551674,735,0.171307,0.000000,0.000000,0.000000,events/second
1647551704,738,0.170812,0.000000,0.000000,0.000000,events/second
1647551734,744,0.171013,0.000000,0.000000,0.000000,events/second
1647551764,747,0.170526,0.000000,0.000000,0.000000,events/second
1647551794,753,0.170725,0.000000,0.000000,0.000000,events/second
1647551824,756,0.170247,0.000000,0.000000,0.000000,events/second
1647551854,762,0.170446,0.000000,0.000000,0.000000,events/second
1647551884,765,0.169975,0.000000,0.000000,0.000000,events/second
1647551914,771,0.170174,0.000000,0.000000,0.000000,events/second
1647551944,774,0.169712,0.000000,0.000000,0.000000,events/second
1647551974,780,0.169910,0.000000,0.000000,0.000000,events/second
1647552004,783,0.169455,0.000000,0.000000,0.000000,events/second
1647552034,789,0.169652,0.000000,0.000000,0.000000,events/second
1647552064,795,0.169845,0.000000,0.000000,0.000000,events/second
1647552094,801,0.170036,0.000000,0.000000,0.000000,events/second
1647552124,804,0.169593,0.000000,0.000000,0.000000,events/second
1647552154,810,0.169783,0.000000,0.000000,0.000000,events/second
1647552184,813,0.169346,0.000000,0.000000,0.000000,events/second
1647552214,819,0.169536,0.000000,0.000000,0.000000,events/second
1647552244,822,0.169106,0.000000,0.000000,0.000000,events/second
1647552274,828,0.169295,0.000000,0.000000,0.000000,events/second
1647552304,831,0.168873,0.000000,0.000000,0.000000,events/second
1647552334,837,0.169061,0.000000,0.000000,0.000000,events/second
1647552364,840,0.168645,0.000000,0.000000,0.000000,events/second
1647552394,846,0.168832,0.000000,0.000000,0.000000,events/second
1647552424,849,0.168422,0.000000,0.000000,0.000000,events/second
1647552454,853,0.168211,0.000000,0.000000,0.000000,events/second
1647552487,858,0.168102,0.000000,0.000000,0.000000,events/second
1647552517,864,0.168288,0.000000,0.000000,0.000000,events/second
1647552547,867,0.167891,0.000000,0.000000,0.000000,events/second
1647552577,873,0.168076,0.000000,0.000000,0.000000,events/second
1647552607,876,0.167685,0.000000,0.000000,0.000000,events/second
1647553637,885,0.141513,0.000000,0.000000,0.000000,events/second
1647553667,888,0.141314,0.000000,0.000000,0.000000,events/second
1647553697,894,0.141592,0.000000,0.000000,0.000000,events/second
1647553727,897,0.141395,0.000000,0.000000,0.000000,events/second
1647553757,903,0.141671,0.000000,0.000000,0.000000,events/second
1647553787,906,0.141475,0.000000,0.000000,0.000000,events/second
1647553817,912,0.141747,0.000000,0.000000,0.000000,events/second
1647553847,915,0.141553,0.000000,0.000000,0.000000,events/second
1647553877,920,0.141668,0.000000,0.000000,0.000000,events/second
1647553907,928,0.142243,0.000000,0.000000,0.000000,events/second
