t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,46,1.719653,0.000000,0.000000,0.000000,events/second
1647547440,46,0.806466,0.000000,0.000000,0.000000,events/second
1647547470,46,0.528229,0.000000,0.000000,0.000000,events/second
1647547500,115,0.981850,0.000000,0.000000,0.000000,events/second
1647547530,226,1.535812,0.000000,0.000000,0.000000,events/second
1647547560,249,1.405393,0.000000,0.000000,0.000000,events/second
1647547590,358,1.727856,0.000000,0.000000,0.000000,events/second
1647547620,381,1.606148,0.000000,0.000000,0.000000,events/second
1647547650,427,1.597785,0.000000,0.000000,0.000000,events/second
1647547680,450,1.513815,0.000000,0.000000,0.000000,events/second
1647547710,496,1.515515,0.000000,0.000000,0.000000,events/second
1647547740,519,1.452588,0.000000,0.000000,0.000000,events/second
1647547770,565,1.458793,0.000000,0.000000,0.000000,events/second
1647547801,588,1.408939,0.000000,0.000000,0.000000,events/second
1647547831,634,1.417230,0.000000,0.000000,0.000000,events/second
1647547861,657,1.376280,0.000000,0.000000,0.000000,events/second
1647547891,703,1.385524,0.000000,0.000000,0.000000,events/second
1647547921,726,1.350928,0.000000,0.000000,0.000000,events/second
1647547951,772,1.360524,0.000000,0.000000,0.000000,events/second
1647547981,795,1.330670,0.000000,0.000000,0.000000,events/second
1647548011,841,1.340318,0.000000,0.000000,0.000000,events/second
1647548041,864,1.314102,0.000000,0.000000,0.000000,events/second
1647548071,910,1.323620,0.000000,0.000000,0.000000,events/second
1647548101,1043,1.453581,0.000000,0.000000,0.000000,events/second
1647548131,1144,1.530301,0.000000,0.000000,0.000000,events/second
1647548161,1195,1.536777,0.000000,0.000000,0.000000,events/second
1647548191,1241,1.536617,0.000000,0.000000,0.000000,events/second
1647548221,1264,1.509010,0.000000,0.000000,0.000000,events/second
1647548251,1310,1.509776,0.000000,0.000000,0.000000,events/second
1647548281,1371,1.527219,0.000000,0.000000,0.000000,events/second
1647548311,1417,1.527392,0.000000,0.000000,0.000000,events/second
1647548341,1440,1.503522,0.000000,0.000000,0.000000,events/second
1647548371,1486,1.504397,0.000000,0.000000,0.000000,events/second
1647548401,1509,1.482606,0.000000,0.000000,0.000000,events/second
1647548431,1555,1.484029,0.000000,0.000000,0.000000,events/second
1647548461,1578,1.464045,0.000000,0.000000,0.000000,events/second
1647548491,1624,1.465908,0.000000,0.000000,0.000000,events/second
1647548521,1647,1.447450,0.000000,0.000000,0.000000,events/second
1647548551,1693,1.449637,0.000000,0.000000,0.000000,events/second
1647548581,1716,1.432506,0.000000,0.000000,0.000000,events/second
1647548611,1762,1.434946,0.000000,0.000000,0.000000,events/second
1647548641,1785,1.418985,0.000000,0.000000,0.000000,events/second
1647548671,1831,1.421621,0.000000,0.000000,0.000000,events/second
1647548701,1854,1.406687,0.000000,0.000000,0.000000,events/second
1647548731,1900,1.409475,0.000000,0.000000,0.000000,events/second
1647548761,1923,1.395457,0.000000,0.000000,0.000000,events/second
1647548791,1969,1.398377,0.000000,0.000000,0.000000,events/second
1647548821,1992,1.385181,0.000000,0.000000,0.000000,events/second
1647548851,2038,1.388199,0.000000,0.000000,0.000000,events/second
1647548881,2061,1.375733,0.000000,0.000000,0.000000,events/second
1647548911,2107,1.378804,0.000000,0.000000,0.000000,events/second
1647548941,2135,1.370196,0.000000,0.000000,0.000000,events/second
1647548971,2251,1.417342,0.000000,0.000000,0.000000,events/second
1647549001,2369,1.463963,0.000000,0.000000,0.000000,events/second
1647549031,2519,1.528282,0.000000,0.000000,0.000000,events/second
1647549061,2607,1.553380,0.000000,0.000000,0.000000,events/second
1647549091,2663,1.558869,0.000000,0.000000,0.000000,events/second
1647549121,2686,1.545190,0.000000,0.000000,0.000000,events/second
1647549152,2732,1.544970,0.000000,0.000000,0.000000,events/second
1647549182,2755,1.531966,0.000000,0.000000,0.000000,events/second
1647549212,2826,1.545642,0.000000,0.000000,0.000000,events/second
1647549242,2864,1.541118,0.000000,0.000000,0.000000,events/second
1647549272,2955,1.564814,0.000000,0.000000,0.000000,events/second
1647549302,2978,1.552320,0.000000,0.000000,0.000000,events/second
1647549332,3024,1.552005,0.000000,0.000000,0.000000,events/second
1647549362,3047,1.540083,0.000000,0.000000,0.000000,events/second
1647549392,3123,1.554906,0.000000,0.000000,0.000000,events/second
1647549422,3211,1.575181,0.000000,0.000000,0.000000,events/second
1647549452,3302,1.596317,0.000000,0.000000,0.000000,events/second
1647549482,3395,1.617792,0.000000,0.000000,0.000000,events/second
1647549512,3511,1.649474,0.000000,0.000000,0.000000,events/second
1647549542,3584,1.660348,0.000000,0.000000,0.000000,events/second
1647549572,3635,1.660880,0.000000,0.000000,0.000000,events/second
1647549602,3726,1.679415,0.000000,0.000000,0.000000,events/second
1647549632,3772,1.677455,0.000000,0.000000,0.000000,events/second
1647549662,3795,1.665447,0.000000,0.000000,0.000000,events/second
1647549692,3899,1.688842,0.000000,0.000000,0.000000,events/second
1647549722,3922,1.676991,0.000000,0.000000,0.000000,events/second
1647549752,3968,1.675143,0.000000,0.000000,0.000000,events/second
1647549782,3991,1.663770,0.000000,0.000000,0.000000,events/second
1647549812,4085,1.681907,0.000000,0.000000,0.000000,events/second
1647549842,4166,1.694315,0.000000,0.000000,0.000000,events/second
1647549872,4245,1.705620,0.000000,0.000000,0.000000,events/second
1647549902,4374,1.736515,0.000000,0.000000,0.000000,events/second
1647549932,4483,1.758827,0.000000,0.000000,0.000000,events/second
1647549962,4539,1.760030,0.000000,0.000000,0.000000,events/second
1647549992,4585,1.757416,0.000000,0.000000,0.000000,events/second
1647550022,4608,1.746142,0.000000,0.000000,0.000000,events/second
1647550052,4692,1.757974,0.000000,0.000000,0.000000,events/second
1647550082,4778,1.770288,0.000000,0.000000,0.000000,events/second
1647550112,4824,1.767671,0.000000,0.000000,0.000000,events/second
1647550142,4847,1.756775,0.000000,0.000000,0.000000,events/second
1647550172,4893,1.754359,0.000000,0.000000,0.000000,events/second
1647550202,4941,1.752699,0.000000,0.000000,0.000000,events/second
1647550232,5085,1.784783,0.000000,0.000000,0.000000,events/second
1647550262,5222,1.813758,0.000000,0.000000,0.000000,events/second
1647550292,5268,1.810850,0.000000,0.000000,0.000000,events/second
1647550322,5392,1.834542,0.000000,0.000000,0.000000,events/second
1647550352,5476,1.844287,0.000000,0.000000,0.000000,events/second
1647550382,5499,1.833488,0.000000,0.000000,0.000000,events/second
1647550412,5545,1.830505,0.000000,0.000000,0.000000,events/second
1647550442,5568,1.820064,0.000000,0.000000,0.000000,events/second
1647550472,5614,1.817268,0.000000,0.000000,0.000000,events/second
1647550502,5637,1.807158,0.000000,0.000000,0.000000,events/second
1647550532,5683,1.804537,0.000000,0.000000,0.000000,events/second
1647550562,5706,1.794731,0.000000,0.000000,0.000000,events/second
1647550593,5752,1.792276,0.000000,0.000000,0.000000,events/second
1647550623,5775,1.782769,0.000000,0.000000,0.000000,events/second
1647550653,5821,1.780473,0.000000,0.000000,0.000000,events/second
1647550683,5844,1.771246,0.000000,0.000000,0.000000,events/second
1647550713,5890,1.769097,0.000000,0.000000,0.000000,events/second
1647550743,5913,1.760138,0.000000,0.000000,0.000000,events/second
1647550773,5959,1.758120,0.000000,0.000000,0.000000,events/second
1647550803,5982,1.749412,0.000000,0.000000,0.000000,events/second
1647550833,6076,1.761440,0.000000,0.000000,0.000000,events/second
1647550863,6149,1.767228,0.000000,0.000000,0.000000,events/second
1647550893,6230,1.775193,0.000000,0.000000,0.000000,events/second
1647550923,6291,1.777376,0.000000,0.000000,0.000000,events/second
1647550953,6337,1.775311,0.000000,0.000000,0.000000,events/second
1647550983,6360,1.766884,0.000000,0.000000,0.000000,events/second
1647551013,6406,1.764922,0.000000,0.000000,0.000000,events/second
1647551043,6429,1.756690,0.000000,0.000000,0.000000,events/second
1647551073,6475,1.754862,0.000000,0.000000,0.000000,events/second
1647551103,6498,1.746887,0.000000,0.000000,0.000000,events/second
1647551133,6548,1.746009,0.000000,0.000000,0.000000,events/second
1647551163,6571,1.738231,0.000000,0.000000,0.000000,events/second
1647551193,6617,1.736605,0.000000,0.000000,0.000000,events/second
1647551224,6640,1.729016,0.000000,0.000000,0.000000,events/second
1647551254,6686,1.727490,0.000000,0.000000,0.000000,events/second
1647551284,6709,1.720097,0.000000,0.000000,0.000000,events/second
1647551314,6755,1.718664,0.000000,0.000000,0.000000,events/second
1647551344,6778,1.711450,0.000000,0.000000,0.000000,events/second
1647551374,6824,1.710103,0.000000,0.000000,0.000000,events/second
1647551404,6847,1.703057,0.000000,0.000000,0.000000,events/second
1647551434,6893,1.701795,0.000000,0.000000,0.000000,events/second
1647551464,6916,1.694913,0.000000,0.000000,0.000000,events/second
1647551494,6962,1.693726,0.000000,0.000000,0.000000,events/second
1647551524,6985,1.687004,0.000000,0.000000,0.000000,events/second
1647551554,7056,1.691889,0.000000,0.000000,0.000000,events/second
1647551584,7089,1.687658,0.000000,0.000000,0.000000,events/second
1647551614,7172,1.695306,0.000000,0.000000,0.000000,events/second
1647551644,7230,1.696974,0.000000,0.000000,0.000000,events/second
1647551674,7296,1.700487,0.000000,0.000000,0.000000,events/second
1647551704,7319,1.694000,0.000000,0.000000,0.000000,events/second
1647551734,7365,1.692888,0.000000,0.000000,0.000000,events/second
1647551764,7388,1.686540,0.000000,0.000000,0.000000,events/second
1647551794,7449,1.688891,0.000000,0.000000,0.000000,events/second
1647551824,7490,1.686708,0.000000,0.000000,0.000000,events/second
1647551854,7638,1.708486,0.000000,0.000000,0.000000,events/second
1647551884,7716,1.714420,0.000000,0.000000,0.000000,events/second
1647551914,7772,1.715425,0.000000,0.000000,0.000000,events/second
1647551944,7835,1.717951,0.000000,0.000000,0.000000,events/second
1647551974,7981,1.738524,0.000000,0.000000,0.000000,events/second
1647552004,8099,1.752769,0.000000,0.000000,0.000000,events/second
1647552034,8210,1.765324,0.000000,0.000000,0.000000,events/second
1647552064,8266,1.765961,0.000000,0.000000,0.000000,events/second
1647552094,8312,1.764474,0.000000,0.000000,0.000000,events/second
1647552124,8335,1.758153,0.000000,0.000000,0.000000,events/second
1647552154,8381,1.756734,0.000000,0.000000,0.000000,events/second
1647552184,8404,1.750538,0.000000,0.000000,0.000000,events/second
1647552214,8450,1.749185,0.000000,0.000000,0.000000,events/second
1647552244,8473,1.743112,0.000000,0.000000,0.000000,events/second
1647552274,8519,1.741822,0.000000,0.000000,0.000000,events/second
1647552304,8542,1.735875,0.000000,0.000000,0.000000,events/second
1647552334,8588,1.734643,0.000000,0.000000,0.000000,events/second
1647552364,8616,1.729812,0.000000,0.000000,0.000000,events/second
1647552394,8657,1.727635,0.000000,0.000000,0.000000,events/second
1647552424,8685,1.722901,0.000000,0.000000,0.000000,events/second
1647552454,8719,1.719384,0.000000,0.000000,0.000000,events/second
1647552487,8754,1.715110,0.000000,0.000000,0.000000,events/second
1647552517,8800,1.714042,0.000000,0.000000,0.000000,events/second
1647552547,8823,1.708534,0.000000,0.000000,0.000000,events/second
1647552577,8869,1.707521,0.000000,0.000000,0.000000,events/second
1647552607,8892,1.702116,0.000000,0.000000,0.000000,events/second
1647553637,8961,1.432876,0.000000,0.000000,0.000000,events/second
1647553667,8984,1.429691,0.000000,0.000000,0.000000,events/second
1647553697,9030,1.430178,0.000000,0.000000,0.000000,events/second
1647553727,9053,1.427033,0.000000,0.000000,0.000000,events/second
1647553757,9099,1.427531,0.000000,0.000000,0.000000,events/second
1647553787,9122,1.424432,0.000000,0.000000,0.000000,events/second
1647553817,9168,1.424929,0.000000,0.000000,0.000000,events/second
1647553847,9191,1.421870,0.000000,0.000000,0.000000,events/second
1647553877,9231,1.421459,0.000000,0.000000,0.000000,events/second
1647553907,9290,1.423962,0.000000,0.000000,0.000000,events/second
