t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,39,1.457417,0.000000,0.000000,0.000000,events/second
1647547440,39,0.683744,0.000000,0.000000,0.000000,events/second
1647547470,39,0.447841,0.000000,0.000000,0.000000,events/second
1647547500,99,0.845240,0.000000,0.000000,0.000000,events/second
1647547530,195,1.325152,0.000000,0.000000,0.000000,events/second
1647547560,215,1.213495,0.000000,0.000000,0.000000,events/second
1647547590,315,1.520324,0.000000,0.000000,0.000000,events/second
1647547620,335,1.412232,0.000000,0.000000,0.000000,events/second
1647547650,375,1.403209,0.000000,0.000000,0.000000,events/second
1647547680,395,1.328796,0.000000,0.000000,0.000000,events/second
1647547710,435,1.329134,0.000000,0.000000,0.000000,events/second
1647547740,455,1.273465,0.000000,0.000000,0.000000,events/second
1647547770,495,1.278059,0.000000,0.000000,0.000000,events/second
1647547801,515,1.234021,0.000000,0.000000,0.000000,events/second
1647547831,555,1.240637,0.000000,0.000000,0.000000,events/second
1647547861,575,1.204508,0.000000,0.000000,0.000000,events/second
1647547891,615,1.212088,0.000000,0.000000,0.000000,events/second
1647547921,635,1.181598,0.000000,0.000000,0.000000,events/second
1647547951,675,1.189578,0.000000,0.000000,0.000000,events/second
1647547981,695,1.163291,0.000000,0.000000,0.000000,events/second
1647548011,735,1.171385,0.000000,0.000000,0.000000,events/second
1647548041,755,1.148319,0.000000,0.000000,0.000000,events/second
1647548071,795,1.156350,0.000000,0.000000,0.000000,events/second
1647548101,925,1.289131,0.000000,0.000000,0.000000,events/second
1647548131,1020,1.364429,0.000000,0.000000,0.000000,events/second
1647548161,1065,1.369597,0.000000,0.000000,0.000000,events/second
1647548191,1105,1.368221,0.000000,0.000000,0.000000,events/second
1647548221,1125,1.343067,0.000000,0.000000,0.000000,events/second
1647548251,1165,1.342664,0.000000,0.000000,0.000000,events/second
1647548281,1220,1.359014,0.000000,0.000000,0.000000,events/second
1647548311,1260,1.358162,0.000000,0.000000,0.000000,events/second
1647548341,1280,1.336465,0.000000,0.000000,0.000000,events/second
1647548371,1320,1.336343,0.000000,0.000000,0.000000,events/second
1647548401,1340,1.316563,0.000000,0.000000,0.000000,events/second
1647548431,1380,1.317017,0.000000,0.000000,0.000000,events/second
1647548461,1400,1.298900,0.000000,0.000000,0.000000,events/second
1647548491,1440,1.299821,0.000000,0.000000,0.000000,events/second
1647548521,1460,1.283107,0.000000,0.000000,0.000000,events/second
1647548551,1500,1.284381,0.000000,0.000000,0.000000,events/second
1647548581,1520,1.268887,0.000000,0.000000,0.000000,events/second
1647548611,1560,1.270440,0.000000,0.000000,0.000000,events/second
1647548641,1580,1.256021,0.000000,0.000000,0.000000,events/second
1647548671,1620,1.257798,0.000000,0.000000,0.000000,events/second
1647548701,1640,1.244319,0.000000,0.000000,0.000000,events/second
1647548731,1680,1.246273,0.000000,0.000000,0.000000,events/second
1647548761,1700,1.233633,0.000000,0.000000,0.000000,events/second
1647548791,1740,1.235742,0.000000,0.000000,0.000000,events/second
1647548821,1760,1.223855,0.000000,0.000000,0.000000,events/second
1647548851,1800,1.226084,0.000000,0.000000,0.000000,events/second
1647548881,1820,1.214864,0.000000,0.000000,0.000000,events/second
1647548911,1860,1.217169,0.000000,0.000000,0.000000,events/second
1647548941,1885,1.209752,0.000000,0.000000,0.000000,events/second
1647548971,1995,1.256152,0.000000,0.000000,0.000000,events/second
1647549001,2110,1.303900,0.000000,0.000000,0.000000,events/second
1647549031,2254,1.367506,0.000000,0.000000,0.000000,events/second
1647549061,2339,1.393693,0.000000,0.000000,0.000000,events/second
1647549091,2389,1.398475,0.000000,0.000000,0.000000,events/second
1647549121,2409,1.385839,0.000000,0.000000,0.000000,events/second
1647549152,2449,1.384931,0.000000,0.000000,0.000000,events/second
1647549182,2469,1.372931,0.000000,0.000000,0.000000,events/second
1647549212,2534,1.385937,0.000000,0.000000,0.000000,events/second
1647549242,2569,1.382379,0.000000,0.000000,0.000000,events/second
1647549272,2654,1.405421,0.000000,0.000000,0.000000,events/second
1647549302,2674,1.393856,0.000000,0.000000,0.000000,events/second
1647549332,2714,1.392904,0.000000,0.000000,0.000000,events/second
1647549362,2734,1.381880,0.000000,0.000000,0.000000,events/second
1647549392,2804,1.396080,0.000000,0.000000,0.000000,events/second
1647549422,2889,1.417222,0.000000,0.000000,0.000000,events/second
1647549452,2974,1.437749,0.000000,0.000000,0.000000,events/second
1647549482,3064,1.460063,0.000000,0.000000,0.000000,events/second
1647549512,3174,1.491151,0.000000,0.000000,0.000000,events/second
1647549542,3244,1.502837,0.000000,0.000000,0.000000,events/second
1647549572,3289,1.502788,0.000000,0.000000,0.000000,events/second
1647549602,3374,1.520759,0.000000,0.000000,0.000000,events/second
1647549632,3414,1.518249,0.000000,0.000000,0.000000,events/second
1647549662,3434,1.507021,0.000000,0.000000,0.000000,events/second
1647549692,3529,1.528578,0.000000,0.000000,0.000000,events/second
1647549722,3549,1.517502,0.000000,0.000000,0.000000,events/second
1647549752,3589,1.515143,0.000000,0.000000,0.000000,events/second
1647549782,3609,1.504522,0.000000,0.000000,0.000000,events/second
1647549812,3694,1.520921,0.000000,0.000000,0.000000,events/second
1647549842,3769,1.532856,0.000000,0.000000,0.000000,events/second
1647549872,3839,1.542491,0.000000,0.000000,0.000000,events/second
1647549902,3959,1.571757,0.000000,0.000000,0.000000,events/second
1647549932,4059,1.592478,0.000000,0.000000,0.000000,events/second
1647549962,4109,1.593294,0.000000,0.000000,0.000000,events/second
1647549992,4149,1.590299,0.000000,0.000000,0.000000,events/second
1647550022,4169,1.579789,0.000000,0.000000,0.000000,events/second
1647550052,4244,1.590120,0.000000,0.000000,0.000000,events/second
1647550082,4324,1.602078,0.000000,0.000000,0.000000,events/second
1647550112,4364,1.599112,0.000000,0.000000,0.000000,events/second
1647550142,4384,1.588963,0.000000,0.000000,0.000000,events/second
1647550172,4424,1.586202,0.000000,0.000000,0.000000,events/second
1647550202,4469,1.585269,0.000000,0.000000,0.000000,events/second
1647550232,4604,1.615957,0.000000,0.000000,0.000000,events/second
1647550262,4729,1.642524,0.000000,0.000000,0.000000,events/second
1647550292,4769,1.639321,0.000000,0.000000,0.000000,events/second
1647550322,4884,1.661703,0.000000,0.000000,0.000000,events/second
1647550352,4959,1.670164,0.000000,0.000000,0.000000,events/second
1647550382,4979,1.660109,0.000000,0.000000,0.000000,events/second
1647550412,5019,1.656863,0.000000,0.000000,0.000000,events/second
1647550442,5039,1.647145,0.000000,0.000000,0.000000,events/second
1647550472,5079,1.644087,0.000000,0.000000,0.000000,events/second
1647550502,5099,1.634682,0.000000,0.000000,0.000000,events/second
1647550532,5139,1.631799,0.000000,0.000000,0.000000,events/second
1647550562,5159,1.622681,0.000000,0.000000,0.000000,events/second
1647550593,5199,1.619966,0.000000,0.000000,0.000000,events/second
1647550623,5219,1.611130,0.000000,0.000000,0.000000,events/second
1647550653,5259,1.608574,0.000000,0.000000,0.000000,events/second
1647550683,5279,1.600001,0.000000,0.000000,0.000000,events/second
1647550713,5319,1.597594,0.000000,0.000000,0.000000,events/second
1647550743,5339,1.589274,0.000000,0.000000,0.000000,events/second
1647550773,5379,1.587000,0.000000,0.000000,0.000000,events/second
1647550803,5399,1.578916,0.000000,0.000000,0.000000,events/second
1647550833,5484,1.589818,0.000000,0.000000,0.000000,events/second
1647550863,5554,1.596225,0.000000,0.000000,0.000000,events/second
1647550893,5629,1.603943,0.000000,0.000000,0.000000,events/second
1647550923,5684,1.605882,0.000000,0.000000,0.000000,events/second
1647550953,5724,1.603580,0.000000,0.000000,0.000000,events/second
1647550983,5744,1.595752,0.000000,0.000000,0.000000,events/second
1647551013,5784,1.593555,0.000000,0.000000,0.000000,events/second
1647551043,5804,1.585912,0.000000,0.000000,0.000000,events/second
1647551073,5844,1.583848,0.000000,0.000000,0.000000,events/second
1647551103,5864,1.576446,0.000000,0.000000,0.000000,events/second
1647551133,5906,1.574821,0.000000,0.000000,0.000000,events/second
1647551163,5926,1.567609,0.000000,0.000000,0.000000,events/second
1647551193,5966,1.565753,0.000000,0.000000,0.000000,events/second
1647551224,5986,1.558719,0.000000,0.000000,0.000000,events/second
1647551254,6026,1.556963,0.000000,0.000000,0.000000,events/second
1647551284,6046,1.550113,0.000000,0.000000,0.000000,events/second
1647551314,6086,1.548451,0.000000,0.000000,0.000000,events/second
1647551344,6106,1.541770,0.000000,0.000000,0.000000,events/second
1647551374,6146,1.540196,0.000000,0.000000,0.000000,events/second
1647551404,6166,1.533671,0.000000,0.000000,0.000000,events/second
1647551434,6206,1.532183,0.000000,0.000000,0.000000,events/second
1647551464,6226,1.525814,0.000000,0.000000,0.000000,events/second
1647551494,6266,1.524402,0.000000,0.000000,0.000000,events/second
1647551524,6286,1.518183,0.000000,0.000000,0.000000,events/second
1647551554,6351,1.522844,0.000000,0.000000,0.000000,events/second
1647551584,6381,1.519107,0.000000,0.000000,0.000000,events/second
1647551614,6457,1.526296,0.000000,0.000000,0.000000,events/second
1647551644,6512,1.528450,0.000000,0.000000,0.000000,events/second
1647551674,6572,1.531744,0.000000,0.000000,0.000000,events/second
1647551704,6592,1.525734,0.000000,0.000000,0.000000,events/second
1647551734,6632,1.524404,0.000000,0.000000,0.000000,events/second
1647551764,6652,1.518525,0.000000,0.000000,0.000000,events/second
1647551794,6707,1.520659,0.000000,0.000000,0.000000,events/second
1647551824,6744,1.518713,0.000000,0.000000,0.000000,events/second
1647551854,6887,1.540501,0.000000,0.000000,0.000000,events/second
1647551884,6962,1.546888,0.000000,0.000000,0.000000,events/second
1647551914,7012,1.547679,0.000000,0.000000,0.000000,events/second
1647551944,7072,1.550651,0.000000,0.000000,0.000000,events/second
1647551974,7212,1.571011,0.000000,0.000000,0.000000,events/second
1647552004,7327,1.585695,0.000000,0.000000,0.000000,events/second
1647552034,7432,1.598037,0.000000,0.000000,0.000000,events/second
1647552064,7482,1.598466,0.000000,0.000000,0.000000,events/second
1647552094,7522,1.596773,0.000000,0.000000,0.000000,events/second
1647552124,7542,1.590881,0.000000,0.000000,0.000000,events/second
1647552154,7582,1.589256,0.000000,0.000000,0.000000,events/second
1647552184,7602,1.583483,0.000000,0.000000,0.000000,events/second
1647552214,7642,1.581925,0.000000,0.000000,0.000000,events/second
1647552244,7662,1.576269,0.000000,0.000000,0.000000,events/second
1647552274,7702,1.574775,0.000000,0.000000,0.000000,events/second
1647552304,7722,1.569238,0.000000,0.000000,0.000000,events/second
1647552334,7762,1.567804,0.000000,0.000000,0.000000,events/second
1647552364,7787,1.563376,0.000000,0.000000,0.000000,events/second
1647552394,7822,1.560998,0.000000,0.000000,0.000000,events/second
1647552424,7847,1.556661,0.000000,0.000000,0.000000,events/second
1647552454,7877,1.553342,0.000000,0.000000,0.000000,events/second
1647552487,7907,1.549164,0.000000,0.000000,0.000000,events/second
1647552517,7947,1.547897,0.000000,0.000000,0.000000,events/second
1647552547,7967,1.542774,0.000000,0.000000,0.000000,events/second
1647552577,8007,1.541563,0.000000,0.000000,0.000000,events/second
1647552607,8027,1.536537,0.000000,0.000000,0.000000,events/second
1647553637,8087,1.293123,0.000000,0.000000,0.000000,events/second
1647553667,8107,1.290128,0.000000,0.000000,0.000000,events/second
1647553697,8147,1.290328,0.000000,0.000000,0.000000,events/second
1647553727,8167,1.287372,0.000000,0.000000,0.000000,events/second
1647553757,8207,1.287587,0.000000,0.000000,0.000000,events/second
1647553787,8227,1.284675,0.000000,0.000000,0.000000,events/second
1647553817,8267,1.284892,0.000000,0.000000,0.000000,events/second
1647553847,8287,1.282019,0.000000,0.000000,0.000000,events/second
1647553877,8322,1.281484,0.000000,0.000000,0.000000,events/second
1647553907,8373,1.283405,0.000000,0.000000,0.000000,events/second
