t,value
1647547410,9223372036854775807
1647547440,9223372036854775807
1647547470,9223372036854775807
1647547500,9223372036854775807
1647547530,9223372036854766527
1647547560,9223372036854766079
1647547590,9223372036854763839
1647547620,9223372036854763391
1647547650,9223372036854762495
1647547680,9223372036854762047
1647547710,9223372036854761151
1647547740,9223372036854760703
1647547770,9223372036854759807
1647547801,9223372036854759359
1647547831,9223372036854758463
1647547861,9223372036854758015
1647547891,9223372036854757119
1647547921,9223372036854756671
1647547951,9223372036854755775
1647547981,9223372036854755327
1647548011,9223372036854754431
1647548041,9223372036854753983
1647548071,9223372036854753087
1647548101,9223372036854750207
1647548131,9223372036854748031
1647548161,9223372036854747071
1647548191,9223372036854746111
1647548221,9223372036854745663
1647548251,9223372036854744831
1647548281,9223372036854743551
1647548311,9223372036854742719
1647548341,9223372036854742207
1647548371,9223372036854741311
1647548401,9223372036854740927
1647548431,9223372036854739967
1647548461,9223372036854739519
1647548491,9223372036854738623
1647548521,9223372036854738175
1647548551,9223372036854737279
1647548581,9223372036854736831
1647548611,9223372036854735935
1647548641,9223372036854735487
1647548671,9223372036854734655
1647548701,9223372036854734143
1647548731,9223372036854733247
1647548761,9223372036854732863
1647548791,9223372036854731903
1647548821,9223372036854731455
1647548851,9223372036854730623
1647548881,9223372036854730111
1647548911,9223372036854729215
1647548941,9223372036854728703
1647548971,9223372036854726207
1647549001,9223372036854723583
1647549031,9223372036854757823
1647549061,9223372036854755903
1647549091,9223372036854754815
1647549121,9223372036854754367
1647549152,9223372036854753535
1647549182,9223372036854753023
1647549212,9223372036854751551
1647549242,9223372036854750847
1647549272,9223372036854748863
1647549302,9223372036854748415
1647549332,9223372036854747583
1647549362,9223372036854747071
1647549392,9223372036854745535
1647549422,9223372036854743679
1647549452,9223372036854741695
1647549482,9223372036854739711
1647549512,9223372036854737215
1647549542,9223372036854735679
1647549572,9223372036854734655
1647549602,9223372036854732735
1647549632,9223372036854731839
1647549662,9223372036854731455
1647549692,9223372036854729279
1647549722,9223372036854728831
1647549752,9223372036854727935
1647549782,9223372036854727487
1647549812,9223372036854725567
1647549842,9223372036854723903
1647549872,9223372036854722303
1647549902,9223372036854719615
1647549932,9223372036854717439
1647549962,9223372036854716287
1647549992,9223372036854715391
1647550022,9223372036854714943
1647550052,9223372036854713215
1647550082,9223372036854711487
1647550112,9223372036854710527
1647550142,9223372036854710143
1647550172,9223372036854709247
1647550202,9223372036854708223
1647550232,9223372036854705215
1647550262,9223372036854702399
1647550292,9223372036854701503
1647550322,9223372036854698879
1647550352,9223372036854697215
1647550382,9223372036854696831
1647550412,9223372036854695871
1647550442,9223372036854695423
1647550472,9223372036854694591
1647550502,9223372036854694079
1647550532,9223372036854693247
1647550562,9223372036854692799
1647550593,9223372036854691839
1647550623,9223372036854691455
1647550653,9223372036854690495
1647550683,9223372036854690047
1647550713,9223372036854689151
1647550743,9223372036854688703
1647550773,9223372036854687871
1647550803,9223372036854687423
1647550833,9223372036854685503
1647550863,9223372036854683903
1647550893,9223372036854682239
1647550923,9223372036854681023
1647550953,9223372036854680063
1647550983,9223372036854679679
1647551013,9223372036854678783
1647551043,9223372036854678335
1647551073,9223372036854677439
1647551103,9223372036854676991
1647551133,9223372036854768127
1647551163,9223372036854767679
1647551193,9223372036854766847
1647551224,9223372036854766335
1647551254,9223372036854765439
1647551284,9223372036854764991
1647551314,9223372036854764159
1647551344,9223372036854763647
1647551374,9223372036854762751
1647551404,9223372036854762303
1647551434,9223372036854761407
1647551464,9223372036854760959
1647551494,9223372036854760063
1647551524,9223372036854759679
1647551554,9223372036854758143
1647551584,9223372036854757503
1647551614,9223372036854756031
1647551644,9223372036854754815
1647551674,9223372036854753471
1647551704,9223372036854753023
1647551734,9223372036854752191
1647551764,9223372036854751679
1647551794,9223372036854750463
1647551824,9223372036854749567
1647551854,9223372036854746431
1647551884,9223372036854744703
1647551914,9223372036854743615
1647551944,9223372036854742271
1647551974,9223372036854739199
1647552004,9223372036854736575
1647552034,9223372036854734207
1647552064,9223372036854733119
1647552094,9223372036854732223
1647552124,9223372036854731711
1647552154,9223372036854730879
1647552184,9223372036854730431
1647552214,9223372036854729471
1647552244,9223372036854729087
1647552274,9223372036854728191
1647552304,9223372036854727679
1647552334,9223372036854726847
1647552364,9223372036854726271
1647552394,9223372036854725439
1647552424,9223372036854724927
1647552454,9223372036854724287
1647552487,9223372036854723583
1647552517,9223372036854722687
1647552547,9223372036854722239
1647552577,9223372036854721343
1647552607,9223372036854720895
1647553637,9223372036854718271
1647553667,9223372036854719103
1647553697,9223372036854718207
1647553727,9223372036854717759
1647553757,9223372036854716863
1647553787,9223372036854716415
1647553817,9223372036854715519
1647553847,9223372036854715071
1647553877,9223372036854713527
1647553907,9223372036854774511
