t,value
1647547410,9223372036854775807
1647547440,9223372036854775807
1647547470,9223372036854775807
1647547500,9223372036854775807
1647547530,9223372036854775807
1647547560,9223372036854775807
1647547590,9223372036854775807
1647547620,9223372036854775807
1647547650,9223372036854775807
1647547680,9223372036854775807
1647547710,9223372036854775807
1647547740,9223372036854775807
1647547770,9223372036854775807
1647547801,9223372036854775807
1647547831,9223372036854775807
1647547861,9223372036854775807
1647547891,9223372036854775807
1647547921,9223372036854775807
1647547951,9223372036854775807
1647547981,9223372036854775807
1647548011,9223372036854775807
1647548041,9223372036854775807
1647548071,9223372036854775807
1647548101,9223372036854775807
1647548131,9223372036854775807
1647548161,9223372036854775807
1647548191,9223372036854775807
1647548221,9223372036854775807
1647548251,9223372036854775807
1647548281,9223372036854775807
1647548311,9223372036854775807
1647548341,9223372036854775807
1647548371,9223372036854775807
1647548401,9223372036854775807
1647548431,9223372036854775807
1647548461,9223372036854775807
1647548491,9223372036854775807
1647548521,9223372036854775807
1647548551,9223372036854775807
1647548581,9223372036854775807
1647548611,9223372036854775807
1647548641,9223372036854775807
1647548671,9223372036854775807
1647548701,9223372036854775807
1647548731,9223372036854775807
1647548761,9223372036854775807
1647548791,9223372036854775807
1647548821,9223372036854775807
1647548851,9223372036854775807
1647548881,9223372036854775807
1647548911,9223372036854775807
1647548941,9223372036854775807
1647548971,9223372036854775807
1647549001,9223372036854775807
1647549031,9223372036854775807
1647549061,9223372036854775807
1647549091,9223372036854775807
1647549121,9223372036854775807
1647549152,9223372036854775807
1647549182,9223372036854775807
1647549212,9223372036854775807
1647549242,9223372036854775807
1647549272,9223372036854775807
1647549302,9223372036854775807
1647549332,9223372036854775807
1647549362,9223372036854775807
1647549392,9223372036854775807
1647549422,9223372036854775807
1647549452,9223372036854775807
1647549482,9223372036854775807
1647549512,9223372036854775807
1647549542,9223372036854775807
1647549572,9223372036854775807
1647549602,9223372036854775807
1647549632,9223372036854775807
1647549662,9223372036854775807
1647549692,9223372036854775807
1647549722,9223372036854775807
1647549752,9223372036854775807
1647549782,9223372036854775807
1647549812,9223372036854775807
1647549842,9223372036854775807
1647549872,9223372036854775807
1647549902,9223372036854775807
1647549932,9223372036854775807
1647549962,9223372036854775807
1647549992,9223372036854775807
1647550022,9223372036854775807
1647550052,9223372036854775807
1647550082,9223372036854775807
1647550112,9223372036854775807
1647550142,9223372036854775807
1647550172,9223372036854775807
1647550202,9223372036854775807
1647550232,9223372036854775807
1647550262,9223372036854775807
1647550292,9223372036854775807
1647550322,9223372036854775807
1647550352,9223372036854775807
1647550382,9223372036854775807
1647550412,9223372036854775807
1647550442,9223372036854775807
1647550472,9223372036854775807
1647550502,9223372036854775807
1647550532,9223372036854775807
1647550562,9223372036854775807
1647550593,9223372036854775807
1647550623,9223372036854775807
1647550653,9223372036854775807
1647550683,9223372036854775807
1647550713,9223372036854775807
1647550743,9223372036854775807
1647550773,9223372036854775807
1647550803,9223372036854775807
1647550833,9223372036854775807
1647550863,9223372036854775807
1647550893,9223372036854775807
1647550923,9223372036854775807
1647550953,9223372036854775807
1647550983,9223372036854775807
1647551013,9223372036854775807
1647551043,9223372036854775807
1647551073,9223372036854775807
1647551103,9223372036854775807
1647551133,9223372036854775807
1647551163,9223372036854775807
1647551193,9223372036854775807
1647551224,9223372036854775807
1647551254,9223372036854775807
1647551284,9223372036854775807
1647551314,9223372036854775807
1647551344,9223372036854775807
1647551374,9223372036854775807
1647551404,9223372036854775807
1647551434,9223372036854775807
1647551464,9223372036854775807
1647551494,9223372036854775807
1647551524,9223372036854775807
1647551554,9223372036854775807
1647551584,9223372036854775807
1647551614,9223372036854775807
1647551644,9223372036854775807
1647551674,9223372036854775807
1647551704,9223372036854775807
1647551734,9223372036854775807
1647551764,9223372036854775807
1647551794,9223372036854775807
1647551824,9223372036854775807
1647551854,9223372036854775807
1647551884,9223372036854775807
1647551914,9223372036854775807
1647551944,9223372036854775807
1647551974,9223372036854775807
1647552004,9223372036854775807
1647552034,9223372036854775807
1647552064,9223372036854775807
1647552094,9223372036854775807
1647552124,9223372036854775807
1647552154,9223372036854775807
1647552184,9223372036854775807
1647552214,9223372036854775807
1647552244,9223372036854775807
1647552274,9223372036854775807
1647552304,9223372036854775807
1647552334,9223372036854775807
1647552364,9223372036854775807
1647552394,9223372036854775807
1647552424,9223372036854775807
1647552454,9223372036854775807
1647552487,9223372036854775807
1647552517,9223372036854775807
1647552547,9223372036854775807
1647552577,9223372036854775807
1647552607,9223372036854775807
1647553637,9223372036854775807
1647553667,9223372036854775807
1647553697,9223372036854775807
1647553727,9223372036854775807
1647553757,9223372036854775807
1647553787,9223372036854775807
1647553817,9223372036854775807
1647553847,9223372036854775807
1647553877,9223372036854775807
1647553907,9223372036854775807
