t,value
1647547410,134217728
1647547440,134217728
1647547470,134217728
1647547500,134217728
1647547530,134227008
1647547560,134227456
1647547590,134229696
1647547620,134230144
1647547650,134231040
1647547680,134231488
1647547710,134232384
1647547740,134232832
1647547770,134233728
1647547801,134234176
1647547831,134235072
1647547861,134235520
1647547891,134236416
1647547921,134236864
1647547951,134237760
1647547981,134238208
1647548011,134239104
1647548041,134239552
1647548071,134240448
1647548101,134243328
1647548131,134245504
1647548161,134246464
1647548191,134247424
1647548221,134247872
1647548251,134248704
1647548281,134249984
1647548311,134250816
1647548341,134251328
1647548371,134252224
1647548401,134252608
1647548431,134253568
1647548461,134254016
1647548491,134254912
1647548521,134255360
1647548551,134256256
1647548581,134256704
1647548611,134257600
1647548641,134258048
1647548671,134258880
1647548701,134259392
1647548731,134260288
1647548761,134260672
1647548791,134261632
1647548821,134262080
1647548851,134262912
1647548881,134263424
1647548911,134264320
1647548941,134264832
1647548971,134267328
1647549001,134269952
1647549031,134235712
1647549061,134237632
1647549091,134238720
1647549121,134239168
1647549152,134240000
1647549182,134240512
1647549212,134241984
1647549242,134242688
1647549272,134244672
1647549302,134245120
1647549332,134245952
1647549362,134246464
1647549392,134248000
1647549422,134249856
1647549452,134251840
1647549482,134253824
1647549512,134256320
1647549542,134257856
1647549572,134258880
1647549602,134260800
1647549632,134261696
1647549662,134262080
1647549692,134264256
1647549722,134264704
1647549752,134265600
1647549782,134266048
1647549812,134267968
1647549842,134269632
1647549872,134271232
1647549902,134273920
1647549932,134276096
1647549962,134277248
1647549992,134278144
1647550022,134278592
1647550052,134280320
1647550082,134282048
1647550112,134283008
1647550142,134283392
1647550172,134284288
1647550202,134285312
1647550232,134288320
1647550262,134291136
1647550292,134292032
1647550322,134294656
1647550352,134296320
1647550382,134296704
1647550412,134297664
1647550442,134298112
1647550472,134298944
1647550502,134299456
1647550532,134300288
1647550562,134300736
1647550593,134301696
1647550623,134302080
1647550653,134303040
1647550683,134303488
1647550713,134304384
1647550743,134304832
1647550773,134305664
1647550803,134306112
1647550833,134308032
1647550863,134309632
1647550893,134311296
1647550923,134312512
1647550953,134313472
1647550983,134313856
1647551013,134314752
1647551043,134315200
1647551073,134316096
1647551103,134316544
1647551133,134225408
1647551163,134225856
1647551193,134226688
1647551224,134227200
1647551254,134228096
1647551284,134228544
1647551314,134229376
1647551344,134229888
1647551374,134230784
1647551404,134231232
1647551434,134232128
1647551464,134232576
1647551494,134233472
1647551524,134233856
1647551554,134235392
1647551584,134236032
1647551614,134237504
1647551644,134238720
1647551674,134240064
1647551704,134240512
1647551734,134241344
1647551764,134241856
1647551794,134243072
1647551824,134243968
1647551854,134247104
1647551884,134248832
1647551914,134249920
1647551944,134251264
1647551974,134254336
1647552004,134256960
1647552034,134259328
1647552064,134260416
1647552094,134261312
1647552124,134261824
1647552154,134262656
1647552184,134263104
1647552214,134264064
1647552244,134264448
1647552274,134265344
1647552304,134265856
1647552334,134266688
1647552364,134267264
1647552394,134268096
1647552424,134268608
1647552454,134269248
1647552487,134269952
1647552517,134270848
1647552547,134271296
1647552577,134272192
1647552607,134272640
1647553637,134275264
1647553667,134274432
1647553697,134275328
1647553727,134275776
1647553757,134276672
1647553787,134277120
1647553817,134278016
1647553847,134278464
1647553877,134280008
1647553907,134219024
