t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,9280
1647547560,9728
1647547590,11968
1647547620,12416
1647547650,13312
1647547680,13760
1647547710,14656
1647547740,15104
1647547770,16000
1647547801,16448
1647547831,17344
1647547861,17792
1647547891,18688
1647547921,19136
1647547951,20032
1647547981,20480
1647548011,21376
1647548041,21824
1647548071,22720
1647548101,25600
1647548131,27776
1647548161,28736
1647548191,29696
1647548221,30144
1647548251,30976
1647548281,32256
1647548311,33088
1647548341,33600
1647548371,34496
1647548401,34880
1647548431,35840
1647548461,36288
1647548491,37184
1647548521,37632
1647548551,38528
1647548581,38976
1647548611,39872
1647548641,40320
1647548671,41152
1647548701,41664
1647548731,42560
1647548761,42944
1647548791,43904
1647548821,44352
1647548851,45184
1647548881,45696
1647548911,46592
1647548941,47104
1647548971,49600
1647549001,52224
1647549031,17984
1647549061,19904
1647549091,20992
1647549121,21440
1647549152,22272
1647549182,22784
1647549212,24256
1647549242,24960
1647549272,26944
1647549302,27392
1647549332,28224
1647549362,28736
1647549392,30272
1647549422,32128
1647549452,34112
1647549482,36096
1647549512,38592
1647549542,40128
1647549572,41152
1647549602,43072
1647549632,43968
1647549662,44352
1647549692,46528
1647549722,46976
1647549752,47872
1647549782,48320
1647549812,50240
1647549842,51904
1647549872,53504
1647549902,56192
1647549932,58368
1647549962,59520
1647549992,60416
1647550022,60864
1647550052,62592
1647550082,64320
1647550112,65280
1647550142,65664
1647550172,66560
1647550202,67584
1647550232,70592
1647550262,73408
1647550292,74304
1647550322,76928
1647550352,78592
1647550382,78976
1647550412,79936
1647550442,80384
1647550472,81216
1647550502,81728
1647550532,82560
1647550562,83008
1647550593,83968
1647550623,84352
1647550653,85312
1647550683,85760
1647550713,86656
1647550743,87104
1647550773,87936
1647550803,88384
1647550833,90304
1647550863,91904
1647550893,93568
1647550923,94784
1647550953,95744
1647550983,96128
1647551013,97024
1647551043,97472
1647551073,98368
1647551103,98816
1647551133,7680
1647551163,8128
1647551193,8960
1647551224,9472
1647551254,10368
1647551284,10816
1647551314,11648
1647551344,12160
1647551374,13056
1647551404,13504
1647551434,14400
1647551464,14848
1647551494,15744
1647551524,16128
1647551554,17664
1647551584,18304
1647551614,19776
1647551644,20992
1647551674,22336
1647551704,22784
1647551734,23616
1647551764,24128
1647551794,25344
1647551824,26240
1647551854,29376
1647551884,31104
1647551914,32192
1647551944,33536
1647551974,36608
1647552004,39232
1647552034,41600
1647552064,42688
1647552094,43584
1647552124,44096
1647552154,44928
1647552184,45376
1647552214,46336
1647552244,46720
1647552274,47616
1647552304,48128
1647552334,48960
1647552364,49536
1647552394,50368
1647552424,50880
1647552454,51520
1647552487,52224
1647552517,53120
1647552547,53568
1647552577,54464
1647552607,54912
1647553637,57536
1647553667,56704
1647553697,57600
1647553727,58048
1647553757,58944
1647553787,59392
1647553817,60288
1647553847,60736
1647553877,62280
1647553907,1296
