t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,0
1647547560,0
1647547590,0
1647547620,0
1647547650,0
1647547680,0
1647547710,0
1647547740,0
1647547770,0
1647547801,0
1647547831,0
1647547861,0
1647547891,0
1647547921,0
1647547951,0
1647547981,0
1647548011,0
1647548041,0
1647548071,0
1647548101,0
1647548131,0
1647548161,0
1647548191,0
1647548221,0
1647548251,0
1647548281,0
1647548311,0
1647548341,0
1647548371,0
1647548401,0
1647548431,0
1647548461,0
1647548491,0
1647548521,0
1647548551,0
1647548581,0
1647548611,127
1647548641,127
1647548671,127
1647548701,127
1647548731,127
1647548761,127
1647548791,127
1647548821,127
1647548851,127
1647548881,127
1647548911,127
1647548941,127
1647548971,127
1647549001,127
1647549031,127
1647549061,127
1647549091,127
1647549121,127
1647549152,127
1647549182,127
1647549212,127
1647549242,127
1647549272,127
1647549302,127
1647549332,127
1647549362,127
1647549392,127
1647549422,127
1647549452,127
1647549482,127
1647549512,127
1647549542,127
1647549572,127
1647549602,127
1647549632,127
1647549662,127
1647549692,127
1647549722,127
1647549752,127
1647549782,127
1647549812,127
1647549842,105
1647549872,105
1647549902,105
1647549932,105
1647549962,105
1647549992,105
1647550022,105
1647550052,105
1647550082,105
1647550112,105
1647550142,105
1647550172,105
1647550202,105
1647550232,105
1647550262,105
1647550292,105
1647550322,105
1647550352,105
1647550382,105
1647550412,105
1647550442,105
1647550472,105
1647550502,105
1647550532,105
1647550562,105
1647550593,105
1647550623,105
1647550653,105
1647550683,105
1647550713,105
1647550743,145
1647550773,145
1647550803,145
1647550833,145
1647550863,145
1647550893,145
1647550923,145
1647550953,145
1647550983,145
1647551013,145
1647551043,145
1647551073,145
1647551103,145
1647551133,145
1647551163,145
1647551193,145
1647551224,145
1647551254,145
1647551284,145
1647551314,145
1647551344,145
1647551374,145
1647551404,145
1647551434,145
1647551464,145
1647551494,145
1647551524,145
1647551554,145
1647551584,145
1647551614,145
1647551644,130
1647551674,130
1647551704,130
1647551734,130
1647551764,130
1647551794,130
1647551824,130
1647551854,130
1647551884,130
1647551914,130
1647551944,130
1647551974,130
1647552004,130
1647552034,130
1647552064,130
1647552094,130
1647552124,130
1647552154,130
1647552184,130
1647552214,130
1647552244,130
1647552274,130
1647552304,130
1647552334,130
1647552364,130
1647552394,130
1647552424,130
1647552454,130
1647552487,130
1647552517,130
1647552547,121
1647552577,121
1647552607,121
1647553637,121
1647553667,121
1647553697,121
1647553727,121
1647553757,121
1647553787,121
1647553817,121
1647553847,121
1647553877,121
