t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547440,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547470,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547500,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547530,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547560,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547590,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547620,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547650,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547680,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547710,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547740,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547770,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547801,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547831,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547861,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547891,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547921,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547951,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547981,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548011,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548041,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548071,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548101,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548131,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548161,1,0.001283,0.010542,0.003041,0.001078,events/second
1647548191,1,0.001236,0.006394,0.002752,0.001042,events/second
1647548221,1,0.001191,0.003878,0.002490,0.001008,events/second
1647548251,1,0.001150,0.002352,0.002253,0.000975,events/second
1647548281,1,0.001112,0.001427,0.002039,0.000943,events/second
1647548311,1,0.001076,0.000865,0.001845,0.000912,events/second
1647548341,1,0.001042,0.000525,0.001669,0.000882,events/second
1647548371,1,0.001011,0.000318,0.001510,0.000853,events/second
1647548401,1,0.000981,0.000193,0.001367,0.000825,events/second
1647548431,1,0.000953,0.000117,0.001237,0.000798,events/second
1647548461,1,0.000926,0.000071,0.001119,0.000772,events/second
1647548491,1,0.000901,0.000043,0.001012,0.000747,events/second
1647548521,1,0.000878,0.000026,0.000916,0.000722,events/second
1647548551,1,0.000855,0.000016,0.000829,0.000699,events/second
