t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1647547410,6,148,95.833333,54,36.168587,94.500000,125.500000,148.000000,148.000000,148.000000,148.000000
1647547440,6,148,95.833333,54,36.168587,94.500000,125.500000,148.000000,148.000000,148.000000,148.000000
1647547470,6,148,95.833333,54,36.168587,94.500000,125.500000,148.000000,148.000000,148.000000,148.000000
1647547500,8,710,167.250000,53,221.930974,94.500000,140.500000,710.000000,710.000000,710.000000,710.000000
1647547530,11,710,127.818182,3,197.834182,66.000000,118.000000,710.000000,710.000000,710.000000,710.000000
1647547560,12,710,118.500000,3,191.369467,60.000000,116.750000,710.000000,710.000000,710.000000,710.000000
1647547590,18,710,86.833333,2,161.468719,50.000000,89.750000,710.000000,710.000000,710.000000,710.000000
1647547620,19,710,83.631579,2,157.538782,47.000000,82.000000,710.000000,710.000000,710.000000,710.000000
1647547650,21,710,76.571429,2,151.108759,26.000000,79.000000,653.800000,710.000000,710.000000,710.000000
1647547680,22,710,78.136364,2,147.649616,36.500000,89.250000,625.700000,710.000000,710.000000,710.000000
1647547710,24,710,72.333333,2,142.447448,22.500000,80.500000,569.500000,710.000000,710.000000,710.000000
1647547740,25,710,69.880000,2,139.986702,19.000000,79.000000,541.400000,710.000000,710.000000,710.000000
1647547770,27,710,65.407407,2,135.458554,18.000000,76.000000,485.200000,710.000000,710.000000,710.000000
1647547801,28,710,63.785714,2,133.203091,18.500000,73.500000,457.100000,710.000000,710.000000,710.000000
1647547831,30,710,60.266667,2,129.227928,17.000000,68.500000,400.900000,710.000000,710.000000,710.000000
1647547861,31,710,58.580645,2,127.402191,16.000000,66.000000,372.800000,710.000000,710.000000,710.000000
1647547891,33,710,55.515152,2,123.964239,16.000000,60.000000,316.600000,710.000000,710.000000,710.000000
1647547921,34,710,54.147059,2,122.331921,15.500000,57.000000,288.500000,710.000000,710.000000,710.000000
1647547951,36,710,51.500000,2,119.299982,14.000000,53.750000,232.300000,710.000000,710.000000,710.000000
1647547981,37,710,50.378378,2,117.829055,13.000000,53.500000,204.200000,710.000000,710.000000,710.000000
1647548011,39,710,48.641026,2,114.956625,13.000000,53.000000,148.000000,710.000000,710.000000,710.000000
1647548041,40,710,47.600000,2,113.664103,12.500000,51.500000,146.500000,710.000000,710.000000,710.000000
1647548071,42,710,45.809524,2,111.153868,12.000000,48.500000,143.500000,710.000000,710.000000,710.000000
1647548101,43,710,45.697674,2,109.825085,12.000000,47.000000,142.000000,710.000000,710.000000,710.000000
1647548131,48,710,43.979167,2,104.109699,12.500000,47.000000,134.500000,710.000000,710.000000,710.000000
1647548161,50,710,42.660000,2,102.173444,12.500000,47.000000,131.500000,698.760000,710.000000,710.000000
1647548191,52,710,41.250000,2,100.402694,12.000000,45.500000,128.500000,676.280000,710.000000,710.000000
1647548221,53,710,40.622642,2,99.537435,12.000000,44.000000,127.000000,665.040000,710.000000,710.000000
1647548251,55,710,40.290909,2,97.705656,12.000000,41.000000,124.000000,642.560000,710.000000,710.000000
1647548281,60,710,38.300000,2,93.990137,11.500000,40.750000,117.750000,586.360000,710.000000,710.000000
1647548311,62,710,37.451613,2,92.561486,11.500000,40.250000,117.250000,563.880000,710.000000,710.000000
1647548341,63,710,36.984127,2,91.886938,11.000000,40.000000,117.000000,552.640000,710.000000,710.000000
1647548371,65,710,36.046154,2,90.595328,11.000000,37.500000,116.500000,530.160000,710.000000,710.000000
1647548401,66,710,35.575758,2,89.976930,10.500000,36.250000,116.250000,518.920000,710.000000,710.000000
1647548431,68,710,34.779412,2,88.743609,10.000000,32.750000,115.750000,496.440000,710.000000,710.000000
1647548461,69,710,34.376812,2,88.152125,10.000000,30.500000,115.500000,485.200000,710.000000,710.000000
1647548491,71,710,33.591549,2,87.008140,9.000000,26.000000,115.000000,462.720000,710.000000,710.000000
1647548521,72,710,33.222222,2,86.450054,9.000000,26.000000,114.750000,451.480000,710.000000,710.000000
1647548551,74,710,32.540541,2,85.357137,9.000000,26.000000,114.250000,429.000000,710.000000,710.000000
1647548581,75,710,32.173333,2,84.838061,9.000000,26.000000,114.000000,417.760000,710.000000,710.000000
1647548611,77,710,31.454545,2,83.831527,9.000000,24.500000,113.500000,395.280000,710.000000,710.000000
1647548641,78,710,31.153846,2,83.327717,9.000000,23.750000,113.250000,384.040000,710.000000,710.000000
1647548671,80,710,30.637500,2,82.332030,9.000000,22.250000,112.900000,361.560000,710.000000,710.000000
1647548701,81,710,30.358025,2,81.854491,9.000000,21.500000,112.800000,350.320000,710.000000,710.000000
1647548731,83,710,29.759036,2,80.941049,9.000000,20.000000,112.600000,327.840000,710.000000,710.000000
1647548761,84,710,29.500000,2,80.486997,9.000000,19.750000,112.500000,316.600000,710.000000,710.000000
1647548791,86,710,28.976744,2,79.607563,8.500000,19.250000,112.300000,294.120000,710.000000,710.000000
1647548821,87,710,28.712644,2,79.181703,8.000000,19.000000,112.200000,282.880000,710.000000,710.000000
1647548851,89,710,28.258427,2,78.334732,8.000000,18.500000,112.000000,260.400000,710.000000,710.000000
1647548881,90,710,28.077778,2,77.912257,8.500000,18.250000,111.900000,249.160000,710.000000,710.000000
1647548911,92,710,27.619565,2,77.113851,8.500000,18.000000,111.700000,226.680000,710.000000,710.000000
1647548941,94,710,27.117021,2,76.357655,8.000000,18.000000,111.500000,204.200000,710.000000,710.000000
1647548971,101,710,32.475248,2,78.782815,9.000000,24.500000,138.700000,232.880000,700.520000,710.000000
1647549001,107,710,35.616822,2,79.535757,9.000000,35.000000,145.200000,234.080000,672.080000,710.000000
1647549031,116,710,42.258621,2,81.921927,9.000000,46.000000,161.700000,231.920000,629.420000,710.000000
1647549061,119,710,43.075630,2,81.956495,9.000000,47.000000,177.000000,231.200000,615.200000,710.000000
1647549091,121,710,42.479339,2,81.401894,9.000000,45.000000,175.200000,230.720000,605.720000,710.000000
1647549121,122,710,42.180328,2,81.132074,9.000000,44.000000,174.300000,230.480000,600.980000,710.000000
1647549152,124,710,41.588710,2,80.603417,9.000000,42.500000,172.500000,230.000000,591.500000,710.000000
1647549182,125,710,41.320000,2,80.333940,9.000000,42.000000,171.600000,229.760000,586.760000,710.000000
1647549212,127,710,40.787402,2,79.806475,9.000000,41.000000,169.800000,229.280000,577.280000,710.000000
1647549242,128,710,40.554688,2,79.535245,9.000000,40.750000,168.900000,229.040000,572.540000,710.000000
1647549272,130,710,40.061538,2,79.016214,9.000000,40.250000,167.100000,228.560000,563.060000,710.000000
1647549302,131,710,39.832061,2,78.755528,9.000000,40.000000,166.200000,228.320000,558.320000,710.000000
1647549332,133,710,39.338346,2,78.259464,9.000000,38.000000,164.400000,227.840000,548.840000,710.000000
1647549362,134,710,39.074627,2,78.024444,9.000000,37.000000,163.500000,227.600000,544.100000,710.000000
1647549392,136,710,38.676471,2,77.516821,9.000000,36.000000,161.700000,227.120000,534.620000,710.000000
1647549422,137,710,38.474453,2,77.267496,9.000000,36.000000,160.800000,226.880000,529.880000,710.000000
1647549452,139,710,38.035971,2,76.792060,9.000000,36.000000,159.000000,226.400000,520.400000,710.000000
1647549482,140,710,37.800000,2,76.566255,9.000000,35.750000,158.950000,226.160000,515.660000,710.000000
1647549512,142,710,37.366197,2,76.108869,9.000000,35.250000,158.850000,225.680000,506.180000,710.000000
1647549542,143,710,37.174825,2,75.874926,9.000000,35.000000,158.800000,225.440000,501.440000,710.000000
1647549572,145,710,36.731034,2,75.440305,9.000000,30.500000,158.700000,224.960000,491.960000,710.000000
1647549602,147,710,36.326531,2,75.001841,9.000000,26.000000,158.600000,224.480000,482.480000,710.000000
1647549632,149,710,35.946309,2,74.565207,9.000000,26.000000,158.500000,224.000000,473.000000,710.000000
1647549662,150,710,35.746667,2,74.354780,9.000000,26.000000,158.450000,223.580000,468.260000,710.000000
1647549692,153,710,35.222222,2,73.714083,9.000000,24.500000,158.300000,222.320000,454.040000,710.000000
1647549722,154,710,35.038961,2,73.507981,9.000000,23.750000,158.250000,221.900000,449.300000,710.000000
1647549752,156,710,34.666667,2,73.105786,8.500000,22.250000,158.150000,221.060000,439.820000,710.000000
1647549782,157,710,34.509554,2,72.897682,9.000000,21.500000,158.100000,220.640000,435.080000,710.000000
1647549812,160,710,34.162500,2,72.256434,9.000000,22.250000,157.900000,219.380000,420.860000,710.000000
1647549842,163,710,37.503067,2,78.820970,9.000000,23.000000,173.400000,232.640000,523.760000,710.000000
1647549872,166,710,36.945783,2,78.209916,9.000000,23.000000,170.700000,231.920000,515.030000,710.000000
1647549902,171,710,40.146199,2,80.253325,9.000000,26.000000,186.000000,231.600000,500.480000,710.000000
1647549932,174,710,39.729885,2,79.619990,9.000000,26.000000,184.500000,231.000000,491.750000,710.000000
1647549962,176,710,39.448864,2,79.213186,9.000000,25.500000,183.500000,230.600000,485.930000,710.000000
1647549992,178,710,39.078652,2,78.841502,9.000000,24.500000,182.500000,230.200000,480.110000,710.000000
