t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,6,0.210369,0.081217,0.019184,0.006575,events/second
1647547440,6,0.102099,0.049261,0.017358,0.006359,events/second
1647547470,6,0.067558,0.029878,0.015707,0.006151,events/second
1647547500,8,0.067310,0.043030,0.020501,0.008128,events/second
1647547530,11,0.073885,0.063728,0.027986,0.011131,events/second
1647547560,12,0.067076,0.051107,0.028467,0.011856,events/second
1647547590,18,0.086158,0.105072,0.044577,0.018000,events/second
1647547620,19,0.079518,0.076183,0.043479,0.018499,events/second
1647547650,21,0.078075,0.073657,0.045740,0.020085,events/second
1647547680,22,0.073582,0.058211,0.044584,0.020522,events/second
1647547710,24,0.072947,0.062756,0.046740,0.022041,events/second
1647547740,25,0.069634,0.051600,0.045489,0.022414,events/second
1647547770,27,0.069403,0.058746,0.047559,0.023871,events/second
1647547801,28,0.066816,0.049167,0.046230,0.024184,events/second
1647547831,30,0.066804,0.057271,0.048229,0.025583,events/second
1647547861,31,0.064705,0.048273,0.046837,0.025840,events/second
1647547891,33,0.064818,0.056728,0.048778,0.027185,events/second
1647547921,34,0.063064,0.047944,0.047333,0.027389,events/second
1647547951,36,0.063252,0.056528,0.049227,0.028683,events/second
1647547981,37,0.061752,0.047822,0.047740,0.028838,events/second
1647548011,39,0.061985,0.056455,0.049595,0.030085,events/second
1647548041,40,0.060679,0.047778,0.048073,0.030194,events/second
1647548071,42,0.060937,0.056428,0.049896,0.031396,events/second
1647548101,43,0.059783,0.047762,0.048345,0.031463,events/second
1647548131,48,0.064060,0.056418,0.050143,0.032623,events/second
1647548161,50,0.064158,0.089923,0.060734,0.036960,events/second
1647548191,52,0.064250,0.081991,0.061353,0.037940,events/second
1647548221,53,0.063143,0.063266,0.058712,0.037792,events/second
1647548251,55,0.063262,0.065822,0.059523,0.038745,events/second
1647548281,60,0.066708,0.069450,0.060361,0.039678,events/second
1647548311,62,0.066706,0.101199,0.070140,0.043802,events/second
1647548341,63,0.065661,0.074916,0.066662,0.043462,events/second
1647548371,65,0.065690,0.072888,0.066717,0.044229,events/second
1647548401,66,0.064736,0.057745,0.063565,0.043875,events/second
1647548431,68,0.064790,0.062474,0.063914,0.044628,events/second
1647548461,69,0.063915,0.051428,0.061029,0.044261,events/second
1647548491,71,0.063989,0.058642,0.061620,0.045001,events/second
1647548521,72,0.063181,0.049104,0.058953,0.044622,events/second
1647548551,74,0.063269,0.057233,0.059741,0.045351,events/second
1647548581,75,0.062519,0.048250,0.057254,0.044960,events/second
1647548611,77,0.062620,0.056714,0.058203,0.045677,events/second
1647548641,78,0.061921,0.047935,0.055862,0.045276,events/second
1647548671,80,0.062030,0.056523,0.056944,0.045983,events/second
1647548701,81,0.061377,0.047819,0.054723,0.045571,events/second
1647548731,83,0.061493,0.056453,0.055913,0.046269,events/second
1647548761,84,0.060880,0.047777,0.053790,0.045848,events/second
1647548791,86,0.061002,0.056427,0.055069,0.046537,events/second
1647548821,87,0.060425,0.047761,0.053026,0.046107,events/second
1647548851,89,0.060552,0.056418,0.054378,0.046787,events/second
1647548881,90,0.060006,0.047755,0.052401,0.046349,events/second
1647548911,92,0.060136,0.056414,0.053812,0.047021,events/second
1647548941,94,0.060260,0.047753,0.051889,0.046575,events/second
1647548971,101,0.063526,0.132652,0.072273,0.053785,events/second
1647549001,107,0.066051,0.164318,0.084690,0.058608,events/second
1647549031,116,0.070304,0.229027,0.105733,0.066586,events/second
1647549061,119,0.070833,0.161343,0.103317,0.067291,events/second
1647549091,121,0.070760,0.123114,0.099778,0.067265,events/second
1647549121,122,0.070114,0.087126,0.093427,0.066149,events/second
1647549152,124,0.070055,0.078099,0.090829,0.066160,events/second
1647549182,125,0.069442,0.059823,0.085330,0.065081,events/second
1647549212,127,0.069395,0.061539,0.083502,0.065127,events/second
1647549242,128,0.068813,0.049779,0.078700,0.064081,events/second
1647549272,130,0.068778,0.055447,0.077504,0.064160,events/second
1647549302,131,0.068224,0.046084,0.073273,0.063146,events/second
1647549332,133,0.068199,0.053206,0.072592,0.063256,events/second
1647549362,134,0.067670,0.044725,0.068829,0.062272,events/second
1647549392,136,0.067655,0.052382,0.068571,0.062410,events/second
1647549422,137,0.067150,0.044225,0.065190,0.061453,events/second
1647549452,139,0.067142,0.052078,0.065279,0.061618,events/second
1647549482,140,0.066658,0.044041,0.062211,0.060688,events/second
1647549512,142,0.066658,0.051967,0.062584,0.060878,events/second
1647549542,143,0.066194,0.043973,0.059773,0.059972,events/second
1647549572,145,0.066200,0.051926,0.060377,0.060185,events/second
1647549602,147,0.066206,0.058661,0.061027,0.060404,events/second
1647549632,149,0.066211,0.060834,0.061512,0.060603,events/second
1647549662,150,0.065778,0.049352,0.058803,0.059706,events/second
1647549692,153,0.066222,0.068724,0.062697,0.061024,events/second
1647549722,154,0.065800,0.055219,0.059928,0.060119,events/second
1647549752,156,0.065809,0.060942,0.060623,0.060340,events/second
1647549782,157,0.065403,0.050499,0.058051,0.059458,events/second
1647549812,160,0.065830,0.069537,0.062018,0.060784,events/second
1647549842,163,0.066246,0.080620,0.065602,0.062066,events/second
1647549872,166,0.066652,0.086890,0.068799,0.063301,events/second
1647549902,171,0.067842,0.120570,0.078240,0.066705,events/second
1647549932,174,0.068220,0.111121,0.080234,0.067787,events/second
1647549962,176,0.068200,0.093388,0.078941,0.067750,events/second
1647549992,178,0.068182,0.084092,0.077827,0.067721,events/second
1647550022,179,0.067785,0.064541,0.073618,0.066596,events/second
1647550052,184,0.068896,0.102961,0.082392,0.069868,events/second
1647550082,189,0.069981,0.125887,0.090328,0.073032,events/second
1647550112,191,0.069944,0.103804,0.088130,0.072830,events/second
1647550142,192,0.069546,0.076496,0.082941,0.071538,events/second
1647550172,194,0.069515,0.073847,0.081446,0.071384,events/second
1647550202,195,0.069129,0.058326,0.076893,0.070140,events/second
1647550232,201,0.070506,0.090275,0.082372,0.072224,events/second
1647550262,205,0.071160,0.125827,0.093196,0.076370,events/second
1647550292,207,0.071113,0.103767,0.090725,0.076058,events/second
1647550322,212,0.072087,0.131373,0.098085,0.079044,events/second
1647550352,218,0.073379,0.150215,0.107366,0.082961,events/second
1647550382,219,0.072977,0.104646,0.100346,0.081337,events/second
1647550412,221,0.072915,0.090920,0.097195,0.080862,events/second
1647550442,222,0.072526,0.068682,0.091143,0.079307,events/second
1647550472,224,0.072469,0.069107,0.088868,0.078899,events/second
1647550502,225,0.072093,0.055452,0.083608,0.077408,events/second
1647550532,227,0.072040,0.061082,0.082050,0.077062,events/second
1647550562,228,0.071675,0.050585,0.077440,0.075631,events/second
1647550593,230,0.071628,0.058130,0.076468,0.075343,events/second
1647550623,231,0.071273,0.048794,0.072389,0.073969,events/second
1647550653,233,0.071230,0.057044,0.071898,0.073736,events/second
1647550683,234,0.070886,0.048135,0.068254,0.072414,events/second
1647550713,236,0.070847,0.056645,0.068157,0.072232,events/second
1647550743,237,0.070512,0.047893,0.064868,0.070960,events/second
1647550773,239,0.070478,0.056498,0.065093,0.070825,events/second
1647550803,240,0.070152,0.047804,0.062096,0.069599,events/second
1647550833,247,0.071570,0.127756,0.078734,0.075006,events/second
1647550863,250,0.071815,0.120449,0.080941,0.075847,events/second
1647550893,257,0.073194,0.168657,0.095628,0.081031,events/second
1647550923,262,0.073986,0.158000,0.101890,0.083781,events/second
1647550953,264,0.073924,0.123281,0.098592,0.083226,events/second
1647550983,265,0.073585,0.088310,0.092408,0.081593,events/second
1647551013,267,0.073526,0.081012,0.090012,0.081110,events/second
1647551043,268,0.073195,0.062672,0.084644,0.079547,events/second
1647551073,270,0.073142,0.065462,0.082987,0.079131,events/second
1647551103,271,0.072820,0.053241,0.078287,0.077632,events/second
1647551133,273,0.072761,0.059741,0.077235,0.077279,events/second
1647551163,274,0.072448,0.049771,0.073083,0.075841,events/second
1647551193,276,0.072402,0.057637,0.072526,0.075547,events/second
1647551224,277,0.072097,0.048495,0.068822,0.074166,events/second
1647551254,279,0.072054,0.056863,0.068671,0.073926,events/second
1647551284,280,0.071756,0.048025,0.065333,0.072598,events/second
1647551314,282,0.071717,0.056578,0.065514,0.072410,events/second
1647551344,283,0.071427,0.047853,0.062477,0.071132,events/second
1647551374,285,0.071390,0.056473,0.062930,0.070991,events/second
1647551404,286,0.071106,0.047789,0.060138,0.069760,events/second
1647551434,288,0.071073,0.056435,0.060814,0.069665,events/second
1647551464,289,0.070796,0.047766,0.058224,0.068476,events/second
1647551494,291,0.070765,0.056421,0.059081,0.068423,events/second
1647551524,292,0.070494,0.047757,0.056656,0.067276,events/second
1647551554,299,0.071665,0.116780,0.073282,0.072699,events/second
1647551584,301,0.071629,0.097903,0.072703,0.072507,events/second
1647551614,306,0.072302,0.102821,0.075489,0.073429,events/second
1647551644,310,0.072732,0.111697,0.080836,0.075375,events/second
