t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,0
1647547560,0
1647547590,0
1647547620,0
1647547650,0
1647547680,0
1647547710,0
1647547740,0
1647547770,0
1647547801,0
1647547831,0
1647547861,0
1647547891,0
1647547921,0
1647547951,0
1647547981,0
1647548011,0
1647548041,0
1647548071,0
1647548101,0
1647548131,0
1647548161,0
1647548191,0
1647548221,0
1647548251,0
1647548281,0
1647548311,0
1647548341,0
1647548371,0
1647548401,0
1647548431,0
1647548461,0
1647548491,0
1647548521,0
1647548551,0
1647548581,0
1647548611,0
1647548641,0
1647548671,0
1647548701,0
1647548731,0
1647548761,0
1647548791,0
1647548821,0
1647548851,0
1647548881,0
1647548911,0
1647548941,0
1647548971,0
1647549001,0
1647549031,0
1647549061,0
1647549091,0
1647549121,0
1647549152,0
1647549182,0
1647549212,0
1647549242,0
1647549272,0
1647549302,0
1647549332,0
1647549362,0
1647549392,0
1647549422,0
1647549452,0
1647549482,0
1647549512,0
1647549542,0
1647549572,0
1647549602,0
1647549632,0
1647549662,0
1647549692,0
1647549722,0
1647549752,0
1647549782,0
1647549812,0
1647549842,0
1647549872,0
1647549902,0
1647549932,0
1647549962,0
1647549992,0
1647550022,0
1647550052,4
1647550082,4
1647550112,4
1647550142,4
1647550172,4
1647550202,4
1647550232,4
1647550262,4
1647550292,4
1647550322,4
1647550352,166
1647550382,166
1647550412,166
1647550442,166
1647550472,166
1647550502,166
1647550532,166
1647550562,166
1647550593,166
1647550623,166
1647550653,166
1647550683,166
1647550713,166
1647550743,166
1647550773,166
1647550803,166
1647550833,166
1647550863,166
1647550893,166
1647550923,166
1647550953,166
1647550983,166
1647551013,166
1647551043,166
1647551073,166
1647551103,166
1647551133,166
1647551163,166
1647551193,166
1647551224,166
1647551254,166
1647551284,166
1647551314,166
1647551344,166
1647551374,166
1647551404,166
1647551434,166
1647551464,166
1647551494,166
1647551524,166
1647551554,166
1647551584,166
1647551614,166
1647551644,166
1647551674,166
1647551704,166
1647551734,166
1647551764,166
1647551794,166
1647551824,166
1647551854,166
1647551884,166
1647551914,166
1647551944,166
1647551974,166
1647552004,166
1647552034,166
1647552064,166
1647552094,166
1647552124,166
1647552154,166
1647552184,166
1647552214,166
1647552244,166
1647552274,166
1647552304,166
1647552334,166
1647552364,166
1647552394,166
1647552424,166
1647552454,166
1647552487,166
1647552517,166
1647552547,166
1647552577,166
1647552607,166
1647553637,166
1647553667,166
1647553697,166
1647553727,166
1647553757,166
1647553787,166
1647553817,166
1647553847,166
1647553877,166
