t,value
1647547410,8
1647547440,8
1647547470,8
1647547500,8
1647547530,8
1647547560,8
1647547590,8
1647547620,8
1647547650,8
1647547680,8
1647547710,8
1647547740,8
1647547770,8
1647547801,8
1647547831,8
1647547861,8
1647547891,8
1647547921,8
1647547951,8
1647547981,8
1647548011,8
1647548041,8
1647548071,8
1647548101,8
1647548131,8
1647548161,8
1647548191,8
1647548221,8
1647548251,8
1647548281,8
1647548311,8
1647548341,8
1647548371,8
1647548401,8
1647548431,8
1647548461,8
1647548491,8
1647548521,8
1647548551,8
1647548581,8
1647548611,8
1647548641,8
1647548671,8
1647548701,8
1647548731,8
1647548761,8
1647548791,8
1647548821,8
1647548851,8
1647548881,8
1647548911,8
1647548941,8
1647548971,8
1647549001,8
1647549031,8
1647549061,8
1647549091,8
1647549121,8
1647549152,8
1647549182,8
1647549212,8
1647549242,8
1647549272,8
1647549302,8
1647549332,8
1647549362,8
1647549392,8
1647549422,8
1647549452,8
1647549482,8
1647549512,8
1647549542,8
1647549572,8
1647549602,8
1647549632,8
1647549662,8
1647549692,8
1647549722,8
1647549752,8
1647549782,8
1647549812,8
1647549842,24
1647549872,24
1647549902,56
1647549932,56
1647549962,56
1647549992,56
1647550022,56
1647550052,56
1647550082,56
1647550112,56
1647550142,56
1647550172,56
1647550202,56
1647550232,56
1647550262,56
1647550292,56
1647550322,56
1647550352,170
1647550382,170
1647550412,170
1647550442,170
1647550472,170
1647550502,170
1647550532,170
1647550562,170
1647550593,170
1647550623,170
1647550653,170
1647550683,170
1647550713,170
1647550743,170
1647550773,170
1647550803,170
1647550833,170
1647550863,170
1647550893,170
1647550923,170
1647550953,170
1647550983,170
1647551013,170
1647551043,170
1647551073,170
1647551103,170
1647551133,170
1647551163,170
1647551193,170
1647551224,170
1647551254,170
1647551284,170
1647551314,170
1647551344,170
1647551374,170
1647551404,170
1647551434,170
1647551464,170
1647551494,170
1647551524,170
1647551554,170
1647551584,170
1647551614,170
1647551644,170
1647551674,170
1647551704,170
1647551734,170
1647551764,170
1647551794,170
1647551824,170
1647551854,170
1647551884,170
1647551914,170
1647551944,170
1647551974,170
1647552004,170
1647552034,170
1647552064,170
1647552094,170
1647552124,170
1647552154,170
1647552184,170
1647552214,170
1647552244,170
1647552274,170
1647552304,170
1647552334,170
1647552364,170
1647552394,170
1647552424,170
1647552454,170
1647552487,170
1647552517,170
1647552547,170
1647552577,170
1647552607,170
1647553637,170
1647553667,170
1647553697,170
1647553727,170
1647553757,170
1647553787,170
1647553817,170
1647553847,170
1647553877,170
