t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,0
1647547560,0
1647547590,0
1647547620,0
1647547650,0
1647547680,0
1647547710,0
1647547740,0
1647547770,0
1647547801,0
1647547831,0
1647547861,0
1647547891,0
1647547921,0
1647547951,0
1647547981,0
1647548011,0
1647548041,0
1647548071,0
1647548101,0
1647548131,0
1647548161,0
1647548191,0
1647548221,0
1647548251,0
1647548281,0
1647548311,0
1647548341,0
1647548371,0
1647548401,0
1647548431,0
1647548461,0
1647548491,0
1647548521,0
1647548551,0
1647548581,0
1647548611,0
1647548641,0
1647548671,0
1647548701,0
1647548731,0
1647548761,0
1647548791,0
1647548821,0
1647548851,0
1647548881,0
1647548911,0
1647548941,0
1647548971,0
1647549001,0
1647549031,0
1647549061,0
1647549091,0
1647549121,0
1647549152,0
1647549182,0
1647549212,0
1647549242,0
1647549272,0
1647549302,0
1647549332,0
1647549362,0
1647549392,0
1647549422,0
1647549452,0
1647549482,0
1647549512,0
1647549542,0
1647549572,0
1647549602,0
1647549632,0
1647549662,0
1647549692,0
1647549722,0
1647549752,0
1647549782,0
1647549812,0
1647549842,0
1647549872,0
1647549902,0
1647549932,0
1647549962,0
1647549992,0
1647550022,0
1647550052,2
1647550082,2
1647550112,2
1647550142,2
1647550172,2
1647550202,2
1647550232,2
1647550262,2
1647550292,2
1647550322,2
1647550352,2
1647550382,2
1647550412,2
1647550442,2
1647550472,2
1647550502,2
1647550532,2
1647550562,2
1647550593,2
1647550623,2
1647550653,2
1647550683,2
1647550713,2
1647550743,2
1647550773,2
1647550803,2
1647550833,2
1647550863,2
1647550893,2
1647550923,2
1647550953,2
1647550983,2
1647551013,2
1647551043,2
1647551073,2
1647551103,2
1647551133,2
1647551163,2
1647551193,2
1647551224,2
1647551254,2
1647551284,2
1647551314,2
1647551344,2
1647551374,2
1647551404,2
1647551434,2
1647551464,2
1647551494,2
1647551524,2
1647551554,2
1647551584,2
1647551614,2
1647551644,2
1647551674,2
1647551704,2
1647551734,2
1647551764,2
1647551794,2
1647551824,2
1647551854,2
1647551884,2
1647551914,2
1647551944,2
1647551974,2
1647552004,2
1647552034,2
1647552064,5
1647552094,5
1647552124,5
1647552154,5
1647552184,5
1647552214,5
1647552244,5
1647552274,5
1647552304,5
1647552334,5
1647552364,5
1647552394,5
1647552424,5
1647552454,5
1647552487,5
1647552517,5
1647552547,5
1647552577,5
1647552607,5
1647553637,5
1647553667,5
1647553697,5
1647553727,5
1647553757,5
1647553787,5
1647553817,5
1647553847,5
1647553877,5
