t,value
1647547410,770048
1647547440,770048
1647547470,770048
1647547500,770048
1647547530,770048
1647547560,770048
1647547590,770048
1647547620,770048
1647547650,770048
1647547680,770048
1647547710,770048
1647547740,770048
1647547770,770048
1647547801,770048
1647547831,770048
1647547861,770048
1647547891,770048
1647547921,770048
1647547951,770048
1647547981,770048
1647548011,852682
1647548041,852682
1647548071,852682
1647548101,852682
1647548131,852682
1647548161,852682
1647548191,852682
1647548221,852682
1647548251,852682
1647548281,852682
1647548311,852682
1647548341,852682
1647548371,852682
1647548401,852682
1647548431,852682
1647548461,852682
1647548491,852682
1647548521,852682
1647548551,852682
1647548581,852682
1647548611,852682
1647548641,852682
1647548671,852682
1647548701,852682
1647548731,852682
1647548761,852682
1647548791,852682
1647548821,852682
1647548851,852682
1647548881,852682
1647548911,852682
1647548941,852682
1647548971,852682
1647549001,852682
1647549031,852682
1647549061,852682
1647549091,852682
1647549121,852682
1647549152,852682
1647549182,852682
1647549212,869066
1647549242,869066
1647549272,869066
1647549302,869066
1647549332,869066
1647549362,869066
1647549392,869066
1647549422,869066
1647549452,869066
1647549482,869066
1647549512,869066
1647549542,869066
1647549572,869066
1647549602,869066
1647549632,869066
1647549662,869066
1647549692,869066
1647549722,869066
1647549752,869066
1647549782,869066
1647549812,869066
1647549842,869066
1647549872,869066
1647549902,869066
1647549932,869066
1647549962,869066
1647549992,869066
1647550022,869066
1647550052,869066
1647550082,869066
1647550112,869066
1647550142,869066
1647550172,869066
1647550202,869066
1647550232,869066
1647550262,869066
1647550292,869066
1647550322,869066
1647550352,869066
1647550382,893705
1647550412,893705
1647550442,893705
1647550472,893705
1647550502,893705
1647550532,893705
1647550562,893705
1647550593,893705
1647550623,893705
1647550653,893705
1647550683,893705
1647550713,893705
1647550743,893705
1647550773,893705
1647550803,893705
1647550833,893705
1647550863,893705
1647550893,893705
1647550923,893705
1647550953,893705
1647550983,975625
1647551013,975625
1647551043,975625
1647551073,975625
1647551103,975625
1647551133,975625
1647551163,975625
1647551193,975625
1647551224,975625
1647551254,975625
1647551284,975625
1647551314,975625
1647551344,975625
1647551374,975625
1647551404,975625
1647551434,975625
1647551464,975625
1647551494,975625
1647551524,975625
1647551554,975625
1647551584,975625
1647551614,975625
1647551644,975625
1647551674,975625
1647551704,975625
1647551734,975625
1647551764,975625
1647551794,975625
1647551824,975625
1647551854,975625
1647551884,975625
1647551914,975625
1647551944,975625
1647551974,975625
1647552004,975625
1647552034,975625
1647552064,975625
1647552094,975625
1647552124,975625
1647552154,975625
1647552184,975625
1647552214,975625
1647552244,975625
1647552274,975625
1647552304,975625
1647552334,975625
1647552364,975625
1647552394,975625
1647552424,975625
1647552454,975625
1647552487,975625
1647552517,975625
1647552547,975625
1647552577,975625
1647552607,975625
1647553637,975646
1647553667,975646
1647553697,975646
1647553727,975646
1647553757,975646
1647553787,975646
1647553817,975646
1647553847,975646
1647553877,975646
