t,value
1647547410,770048
1647547440,770048
1647547470,770048
1647547500,770048
1647547530,770048
1647547560,770048
1647547590,770048
1647547620,770048
1647547650,770048
1647547680,770048
1647547710,770048
1647547740,770048
1647547770,770048
1647547801,770048
1647547831,770048
1647547861,770048
1647547891,770048
1647547921,770048
1647547951,770048
1647547981,770048
1647548011,856102
1647548041,856102
1647548071,856102
1647548101,856102
1647548131,856102
1647548161,856102
1647548191,856102
1647548221,856102
1647548251,856102
1647548281,856102
1647548311,856102
1647548341,856102
1647548371,856102
1647548401,856102
1647548431,856102
1647548461,856102
1647548491,856102
1647548521,856102
1647548551,856102
1647548581,856102
1647548611,856123
1647548641,856123
1647548671,856123
1647548701,856123
1647548731,856123
1647548761,856123
1647548791,856123
1647548821,856123
1647548851,856123
1647548881,856123
1647548911,856123
1647548941,856123
1647548971,856123
1647549001,856123
1647549031,856123
1647549061,856123
1647549091,856123
1647549121,856123
1647549152,856123
1647549182,856123
1647549212,872720
1647549242,872720
1647549272,872720
1647549302,872720
1647549332,872720
1647549362,872720
1647549392,872720
1647549422,872720
1647549452,872720
1647549482,872720
1647549512,872720
1647549542,872720
1647549572,872720
1647549602,872720
1647549632,872720
1647549662,872720
1647549692,872720
1647549722,872720
1647549752,872720
1647549782,872720
1647549812,872720
1647549842,872720
1647549872,872720
1647549902,872720
1647549932,872720
1647549962,872720
1647549992,872720
1647550022,872720
1647550052,872720
1647550082,872720
1647550112,872720
1647550142,872720
1647550172,872720
1647550202,872720
1647550232,872720
1647550262,872720
1647550292,872720
1647550322,872720
1647550352,872720
1647550382,956863
1647550412,956863
1647550442,956863
1647550472,956863
1647550502,956863
1647550532,956863
1647550562,956863
1647550593,956863
1647550623,956863
1647550653,956863
1647550683,956863
1647550713,956863
1647550743,956863
1647550773,956863
1647550803,956863
1647550833,956863
1647550863,956863
1647550893,956863
1647550923,956863
1647550953,956863
1647550983,1083859
1647551013,1083859
1647551043,1083859
1647551073,1083859
1647551103,1083859
1647551133,1083859
1647551163,1083859
1647551193,1083859
1647551224,1083859
1647551254,1083859
1647551284,1083859
1647551314,1083859
1647551344,1083859
1647551374,1083859
1647551404,1083859
1647551434,1083859
1647551464,1083859
1647551494,1083859
1647551524,1083859
1647551554,1083859
1647551584,1097989
1647551614,1097989
1647551644,1097989
1647551674,1097989
1647551704,1097989
1647551734,1097989
1647551764,1097989
1647551794,1097989
1647551824,1097989
1647551854,1097989
1647551884,1097989
1647551914,1097989
1647551944,1097989
1647551974,1097989
1647552004,1097989
1647552034,1097989
1647552064,1097989
1647552094,1097989
1647552124,1097989
1647552154,1097989
1647552184,1135107
1647552214,1135107
1647552244,1135107
1647552274,1135107
1647552304,1135107
1647552334,1135107
1647552364,1135107
1647552394,1135107
1647552424,1135107
1647552454,1135107
1647552487,1135107
1647552517,1135107
1647552547,1135107
1647552577,1135107
1647552607,1135107
1647553637,1135341
1647553667,1135341
1647553697,1135341
1647553727,1135341
1647553757,1135341
1647553787,1135341
1647553817,1135341
1647553847,1135341
1647553877,1135341
