t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,2,0.070920,0.000000,0.000000,0.000000,events/second
1647547440,2,0.034224,0.000000,0.000000,0.000000,events/second
1647547470,2,0.022603,0.000000,0.000000,0.000000,events/second
1647547500,4,0.033748,0.000000,0.000000,0.000000,events/second
1647547530,7,0.047122,0.000000,0.000000,0.000000,events/second
1647547560,8,0.044800,0.000000,0.000000,0.000000,events/second
1647547590,14,0.067117,0.000000,0.000000,0.000000,events/second
1647547620,15,0.062864,0.000000,0.000000,0.000000,events/second
1647547650,17,0.063281,0.000000,0.000000,0.000000,events/second
1647547680,18,0.060270,0.000000,0.000000,0.000000,events/second
1647547710,20,0.060850,0.000000,0.000000,0.000000,events/second
1647547740,21,0.058546,0.000000,0.000000,0.000000,events/second
1647547770,23,0.059171,0.000000,0.000000,0.000000,events/second
1647547801,24,0.057316,0.000000,0.000000,0.000000,events/second
1647547831,26,0.057939,0.000000,0.000000,0.000000,events/second
1647547861,27,0.056394,0.000000,0.000000,0.000000,events/second
1647547891,29,0.056998,0.000000,0.000000,0.000000,events/second
1647547921,30,0.055679,0.000000,0.000000,0.000000,events/second
1647547951,32,0.056256,0.000000,0.000000,0.000000,events/second
1647547981,33,0.055107,0.000000,0.000000,0.000000,events/second
1647548011,35,0.055656,0.000000,0.000000,0.000000,events/second
1647548041,36,0.054638,0.000000,0.000000,0.000000,events/second
1647548071,38,0.055160,0.000000,0.000000,0.000000,events/second
1647548101,39,0.054247,0.000000,0.000000,0.000000,events/second
1647548131,44,0.058747,0.000000,0.000000,0.000000,events/second
1647548161,46,0.059050,0.000000,0.000000,0.000000,events/second
1647548191,48,0.059331,0.000000,0.000000,0.000000,events/second
1647548221,49,0.058401,0.000000,0.000000,0.000000,events/second
1647548251,51,0.058683,0.000000,0.000000,0.000000,events/second
1647548281,56,0.062284,0.000000,0.000000,0.000000,events/second
1647548311,58,0.062425,0.000000,0.000000,0.000000,events/second
1647548341,59,0.061513,0.000000,0.000000,0.000000,events/second
1647548371,61,0.061668,0.000000,0.000000,0.000000,events/second
1647548401,62,0.060832,0.000000,0.000000,0.000000,events/second
1647548431,64,0.060998,0.000000,0.000000,0.000000,events/second
1647548461,65,0.060228,0.000000,0.000000,0.000000,events/second
1647548491,67,0.060402,0.000000,0.000000,0.000000,events/second
1647548521,68,0.059688,0.000000,0.000000,0.000000,events/second
1647548551,70,0.059866,0.000000,0.000000,0.000000,events/second
1647548581,71,0.059201,0.000000,0.000000,0.000000,events/second
1647548611,73,0.059382,0.000000,0.000000,0.000000,events/second
1647548641,74,0.058761,0.000000,0.000000,0.000000,events/second
1647548671,76,0.058944,0.000000,0.000000,0.000000,events/second
1647548701,77,0.058360,0.000000,0.000000,0.000000,events/second
1647548731,79,0.058544,0.000000,0.000000,0.000000,events/second
1647548761,80,0.057995,0.000000,0.000000,0.000000,events/second
1647548791,82,0.058178,0.000000,0.000000,0.000000,events/second
1647548821,83,0.057660,0.000000,0.000000,0.000000,events/second
1647548851,85,0.057843,0.000000,0.000000,0.000000,events/second
1647548881,86,0.057352,0.000000,0.000000,0.000000,events/second
1647548911,88,0.057534,0.000000,0.000000,0.000000,events/second
1647548941,90,0.057708,0.000000,0.000000,0.000000,events/second
1647548971,97,0.061022,0.000000,0.000000,0.000000,events/second
1647549001,103,0.063595,0.000000,0.000000,0.000000,events/second
1647549031,112,0.067893,0.000000,0.000000,0.000000,events/second
1647549061,115,0.068466,0.000000,0.000000,0.000000,events/second
1647549091,117,0.068434,0.000000,0.000000,0.000000,events/second
1647549121,118,0.067828,0.000000,0.000000,0.000000,events/second
1647549152,120,0.067807,0.000000,0.000000,0.000000,events/second
1647549182,121,0.067232,0.000000,0.000000,0.000000,events/second
1647549212,123,0.067222,0.000000,0.000000,0.000000,events/second
1647549242,124,0.066674,0.000000,0.000000,0.000000,events/second
1647549272,126,0.066674,0.000000,0.000000,0.000000,events/second
1647549302,127,0.066152,0.000000,0.000000,0.000000,events/second
1647549332,129,0.066159,0.000000,0.000000,0.000000,events/second
1647549362,130,0.065661,0.000000,0.000000,0.000000,events/second
1647549392,132,0.065676,0.000000,0.000000,0.000000,events/second
1647549422,133,0.065200,0.000000,0.000000,0.000000,events/second
1647549452,135,0.065220,0.000000,0.000000,0.000000,events/second
1647549482,136,0.064764,0.000000,0.000000,0.000000,events/second
1647549512,138,0.064790,0.000000,0.000000,0.000000,events/second
1647549542,139,0.064352,0.000000,0.000000,0.000000,events/second
1647549572,141,0.064384,0.000000,0.000000,0.000000,events/second
1647549602,143,0.064414,0.000000,0.000000,0.000000,events/second
1647549632,145,0.064443,0.000000,0.000000,0.000000,events/second
1647549662,146,0.064033,0.000000,0.000000,0.000000,events/second
1647549692,149,0.064500,0.000000,0.000000,0.000000,events/second
1647549722,150,0.064100,0.000000,0.000000,0.000000,events/second
1647549752,152,0.064131,0.000000,0.000000,0.000000,events/second
1647549782,153,0.063746,0.000000,0.000000,0.000000,events/second
1647549812,156,0.064193,0.000000,0.000000,0.000000,events/second
1647549842,165,0.067068,0.000000,0.000000,0.000000,events/second
1647549872,168,0.067464,0.000000,0.000000,0.000000,events/second
1647549902,178,0.070628,0.000000,0.000000,0.000000,events/second
1647549932,181,0.070973,0.000000,0.000000,0.000000,events/second
1647549962,183,0.070921,0.000000,0.000000,0.000000,events/second
1647549992,185,0.070872,0.000000,0.000000,0.000000,events/second
1647550022,186,0.070445,0.000000,0.000000,0.000000,events/second
1647550052,193,0.072274,0.000000,0.000000,0.000000,events/second
1647550082,198,0.073323,0.000000,0.000000,0.000000,events/second
1647550112,200,0.073249,0.000000,0.000000,0.000000,events/second
1647550142,201,0.072815,0.000000,0.000000,0.000000,events/second
1647550172,203,0.072748,0.000000,0.000000,0.000000,events/second
1647550202,204,0.072328,0.000000,0.000000,0.000000,events/second
1647550232,210,0.073672,0.000000,0.000000,0.000000,events/second
1647550262,214,0.074293,0.000000,0.000000,0.000000,events/second
1647550292,216,0.074213,0.000000,0.000000,0.000000,events/second
1647550322,221,0.075156,0.000000,0.000000,0.000000,events/second
1647550352,227,0.076416,0.000000,0.000000,0.000000,events/second
1647550382,228,0.075985,0.000000,0.000000,0.000000,events/second
1647550412,230,0.075892,0.000000,0.000000,0.000000,events/second
1647550442,231,0.075475,0.000000,0.000000,0.000000,events/second
1647550472,233,0.075389,0.000000,0.000000,0.000000,events/second
1647550502,234,0.074984,0.000000,0.000000,0.000000,events/second
1647550532,236,0.074904,0.000000,0.000000,0.000000,events/second
1647550562,237,0.074512,0.000000,0.000000,0.000000,events/second
1647550593,239,0.074438,0.000000,0.000000,0.000000,events/second
1647550623,240,0.074057,0.000000,0.000000,0.000000,events/second
1647550653,242,0.073989,0.000000,0.000000,0.000000,events/second
1647550683,243,0.073619,0.000000,0.000000,0.000000,events/second
1647550713,245,0.073556,0.000000,0.000000,0.000000,events/second
1647550743,246,0.073197,0.000000,0.000000,0.000000,events/second
1647550773,248,0.073139,0.000000,0.000000,0.000000,events/second
1647550803,249,0.072789,0.000000,0.000000,0.000000,events/second
1647550833,256,0.074185,0.000000,0.000000,0.000000,events/second
1647550863,259,0.074407,0.000000,0.000000,0.000000,events/second
1647550893,266,0.075765,0.000000,0.000000,0.000000,events/second
1647550923,271,0.076535,0.000000,0.000000,0.000000,events/second
1647550953,273,0.076451,0.000000,0.000000,0.000000,events/second
1647550983,274,0.076091,0.000000,0.000000,0.000000,events/second
1647551013,276,0.076012,0.000000,0.000000,0.000000,events/second
1647551043,277,0.075660,0.000000,0.000000,0.000000,events/second
