t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547440,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547470,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547500,2,0.016874,0.000000,0.000000,0.000000,events/second
1647547530,5,0.033659,0.000000,0.000000,0.000000,events/second
1647547560,6,0.033600,0.000000,0.000000,0.000000,events/second
1647547590,12,0.057529,0.000000,0.000000,0.000000,events/second
1647547620,13,0.054482,0.000000,0.000000,0.000000,events/second
1647547650,15,0.055836,0.000000,0.000000,0.000000,events/second
1647547680,16,0.053573,0.000000,0.000000,0.000000,events/second
1647547710,18,0.054765,0.000000,0.000000,0.000000,events/second
1647547740,19,0.052971,0.000000,0.000000,0.000000,events/second
1647547770,21,0.054026,0.000000,0.000000,0.000000,events/second
1647547801,22,0.052540,0.000000,0.000000,0.000000,events/second
1647547831,24,0.053482,0.000000,0.000000,0.000000,events/second
1647547861,25,0.052217,0.000000,0.000000,0.000000,events/second
1647547891,27,0.053067,0.000000,0.000000,0.000000,events/second
1647547921,28,0.051967,0.000000,0.000000,0.000000,events/second
1647547951,30,0.052740,0.000000,0.000000,0.000000,events/second
1647547981,31,0.051767,0.000000,0.000000,0.000000,events/second
1647548011,33,0.052476,0.000000,0.000000,0.000000,events/second
1647548041,34,0.051603,0.000000,0.000000,0.000000,events/second
1647548071,36,0.052257,0.000000,0.000000,0.000000,events/second
1647548101,37,0.051465,0.000000,0.000000,0.000000,events/second
1647548131,42,0.056077,0.000000,0.000000,0.000000,events/second
1647548161,44,0.056483,0.000000,0.000000,0.000000,events/second
1647548191,46,0.056859,0.000000,0.000000,0.000000,events/second
1647548221,47,0.056017,0.000000,0.000000,0.000000,events/second
1647548251,49,0.056382,0.000000,0.000000,0.000000,events/second
1647548281,54,0.060060,0.000000,0.000000,0.000000,events/second
1647548311,56,0.060272,0.000000,0.000000,0.000000,events/second
1647548341,57,0.059428,0.000000,0.000000,0.000000,events/second
1647548371,59,0.059646,0.000000,0.000000,0.000000,events/second
1647548401,60,0.058870,0.000000,0.000000,0.000000,events/second
1647548431,62,0.059092,0.000000,0.000000,0.000000,events/second
1647548461,63,0.058375,0.000000,0.000000,0.000000,events/second
1647548491,65,0.058599,0.000000,0.000000,0.000000,events/second
1647548521,66,0.057932,0.000000,0.000000,0.000000,events/second
1647548551,68,0.058156,0.000000,0.000000,0.000000,events/second
