t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,2,0.070871,0.000000,0.000000,0.000000,events/second
1647547440,2,0.034224,0.000000,0.000000,0.000000,events/second
1647547470,2,0.022603,0.000000,0.000000,0.000000,events/second
1647547500,2,0.016874,0.000000,0.000000,0.000000,events/second
1647547530,2,0.013463,0.000000,0.000000,0.000000,events/second
1647547560,2,0.011200,0.000000,0.000000,0.000000,events/second
1647547590,2,0.009588,0.000000,0.000000,0.000000,events/second
1647547620,2,0.008382,0.000000,0.000000,0.000000,events/second
1647547650,2,0.007445,0.000000,0.000000,0.000000,events/second
1647547680,2,0.006697,0.000000,0.000000,0.000000,events/second
1647547710,2,0.006085,0.000000,0.000000,0.000000,events/second
1647547740,2,0.005576,0.000000,0.000000,0.000000,events/second
1647547770,2,0.005145,0.000000,0.000000,0.000000,events/second
1647547801,2,0.004776,0.000000,0.000000,0.000000,events/second
1647547831,2,0.004457,0.000000,0.000000,0.000000,events/second
1647547861,2,0.004177,0.000000,0.000000,0.000000,events/second
1647547891,2,0.003931,0.000000,0.000000,0.000000,events/second
1647547921,2,0.003712,0.000000,0.000000,0.000000,events/second
1647547951,2,0.003516,0.000000,0.000000,0.000000,events/second
1647547981,2,0.003340,0.000000,0.000000,0.000000,events/second
1647548011,2,0.003180,0.000000,0.000000,0.000000,events/second
1647548041,2,0.003035,0.000000,0.000000,0.000000,events/second
1647548071,2,0.002903,0.000000,0.000000,0.000000,events/second
1647548101,2,0.002782,0.000000,0.000000,0.000000,events/second
1647548131,2,0.002670,0.000000,0.000000,0.000000,events/second
1647548161,2,0.002567,0.000000,0.000000,0.000000,events/second
1647548191,2,0.002472,0.000000,0.000000,0.000000,events/second
1647548221,2,0.002384,0.000000,0.000000,0.000000,events/second
1647548251,2,0.002301,0.000000,0.000000,0.000000,events/second
1647548281,2,0.002224,0.000000,0.000000,0.000000,events/second
1647548311,2,0.002153,0.000000,0.000000,0.000000,events/second
1647548341,2,0.002085,0.000000,0.000000,0.000000,events/second
1647548371,2,0.002022,0.000000,0.000000,0.000000,events/second
1647548401,2,0.001962,0.000000,0.000000,0.000000,events/second
1647548431,2,0.001906,0.000000,0.000000,0.000000,events/second
1647548461,2,0.001853,0.000000,0.000000,0.000000,events/second
1647548491,2,0.001803,0.000000,0.000000,0.000000,events/second
1647548521,2,0.001756,0.000000,0.000000,0.000000,events/second
1647548551,2,0.001710,0.000000,0.000000,0.000000,events/second
1647548581,2,0.001668,0.000000,0.000000,0.000000,events/second
1647548611,2,0.001627,0.000000,0.000000,0.000000,events/second
1647548641,2,0.001588,0.000000,0.000000,0.000000,events/second
1647548671,2,0.001551,0.000000,0.000000,0.000000,events/second
1647548701,2,0.001516,0.000000,0.000000,0.000000,events/second
1647548731,2,0.001482,0.000000,0.000000,0.000000,events/second
1647548761,2,0.001450,0.000000,0.000000,0.000000,events/second
1647548791,2,0.001419,0.000000,0.000000,0.000000,events/second
1647548821,2,0.001389,0.000000,0.000000,0.000000,events/second
1647548851,2,0.001361,0.000000,0.000000,0.000000,events/second
1647548881,2,0.001334,0.000000,0.000000,0.000000,events/second
1647548911,2,0.001308,0.000000,0.000000,0.000000,events/second
1647548941,2,0.001282,0.000000,0.000000,0.000000,events/second
1647548971,2,0.001258,0.000000,0.000000,0.000000,events/second
1647549001,2,0.001235,0.000000,0.000000,0.000000,events/second
1647549031,2,0.001212,0.000000,0.000000,0.000000,events/second
1647549061,2,0.001191,0.000000,0.000000,0.000000,events/second
1647549091,2,0.001170,0.000000,0.000000,0.000000,events/second
1647549121,2,0.001150,0.000000,0.000000,0.000000,events/second
1647549152,2,0.001130,0.000000,0.000000,0.000000,events/second
1647549182,2,0.001111,0.000000,0.000000,0.000000,events/second
1647549212,2,0.001093,0.000000,0.000000,0.000000,events/second
1647549242,2,0.001075,0.000000,0.000000,0.000000,events/second
1647549272,2,0.001058,0.000000,0.000000,0.000000,events/second
1647549302,2,0.001042,0.000000,0.000000,0.000000,events/second
1647549332,2,0.001026,0.000000,0.000000,0.000000,events/second
1647549362,2,0.001010,0.000000,0.000000,0.000000,events/second
1647549392,2,0.000995,0.000000,0.000000,0.000000,events/second
1647549422,2,0.000980,0.000000,0.000000,0.000000,events/second
1647549452,2,0.000966,0.000000,0.000000,0.000000,events/second
1647549482,2,0.000952,0.000000,0.000000,0.000000,events/second
1647549512,2,0.000939,0.000000,0.000000,0.000000,events/second
1647549542,2,0.000926,0.000000,0.000000,0.000000,events/second
1647549572,2,0.000913,0.000000,0.000000,0.000000,events/second
1647549602,2,0.000901,0.000000,0.000000,0.000000,events/second
1647549632,2,0.000889,0.000000,0.000000,0.000000,events/second
1647549662,2,0.000877,0.000000,0.000000,0.000000,events/second
1647549692,2,0.000866,0.000000,0.000000,0.000000,events/second
1647549722,2,0.000855,0.000000,0.000000,0.000000,events/second
1647549752,2,0.000844,0.000000,0.000000,0.000000,events/second
1647549782,2,0.000833,0.000000,0.000000,0.000000,events/second
1647549812,2,0.000823,0.000000,0.000000,0.000000,events/second
1647549842,9,0.003658,0.000000,0.000000,0.000000,events/second
1647549872,9,0.003614,0.000000,0.000000,0.000000,events/second
1647549902,16,0.006349,0.000000,0.000000,0.000000,events/second
1647549932,16,0.006274,0.000000,0.000000,0.000000,events/second
1647549962,16,0.006201,0.000000,0.000000,0.000000,events/second
1647549992,16,0.006129,0.000000,0.000000,0.000000,events/second
1647550022,16,0.006060,0.000000,0.000000,0.000000,events/second
1647550052,18,0.006741,0.000000,0.000000,0.000000,events/second
1647550082,18,0.006666,0.000000,0.000000,0.000000,events/second
1647550112,18,0.006592,0.000000,0.000000,0.000000,events/second
1647550142,18,0.006521,0.000000,0.000000,0.000000,events/second
1647550172,18,0.006451,0.000000,0.000000,0.000000,events/second
1647550202,18,0.006382,0.000000,0.000000,0.000000,events/second
1647550232,19,0.006666,0.000000,0.000000,0.000000,events/second
1647550262,20,0.006943,0.000000,0.000000,0.000000,events/second
1647550292,20,0.006872,0.000000,0.000000,0.000000,events/second
1647550322,21,0.007142,0.000000,0.000000,0.000000,events/second
1647550352,22,0.007406,0.000000,0.000000,0.000000,events/second
1647550382,22,0.007332,0.000000,0.000000,0.000000,events/second
1647550412,22,0.007259,0.000000,0.000000,0.000000,events/second
1647550442,22,0.007188,0.000000,0.000000,0.000000,events/second
1647550472,22,0.007118,0.000000,0.000000,0.000000,events/second
1647550502,22,0.007050,0.000000,0.000000,0.000000,events/second
1647550532,22,0.006983,0.000000,0.000000,0.000000,events/second
1647550562,22,0.006917,0.000000,0.000000,0.000000,events/second
1647550593,22,0.006852,0.000000,0.000000,0.000000,events/second
1647550623,22,0.006789,0.000000,0.000000,0.000000,events/second
1647550653,22,0.006726,0.000000,0.000000,0.000000,events/second
1647550683,22,0.006665,0.000000,0.000000,0.000000,events/second
1647550713,22,0.006605,0.000000,0.000000,0.000000,events/second
1647550743,22,0.006546,0.000000,0.000000,0.000000,events/second
1647550773,22,0.006488,0.000000,0.000000,0.000000,events/second
1647550803,22,0.006431,0.000000,0.000000,0.000000,events/second
1647550833,23,0.006665,0.000000,0.000000,0.000000,events/second
1647550863,23,0.006608,0.000000,0.000000,0.000000,events/second
1647550893,23,0.006551,0.000000,0.000000,0.000000,events/second
1647550923,24,0.006778,0.000000,0.000000,0.000000,events/second
1647550953,24,0.006721,0.000000,0.000000,0.000000,events/second
1647550983,24,0.006665,0.000000,0.000000,0.000000,events/second
1647551013,24,0.006610,0.000000,0.000000,0.000000,events/second
1647551043,24,0.006555,0.000000,0.000000,0.000000,events/second
1647551073,24,0.006502,0.000000,0.000000,0.000000,events/second
1647551103,24,0.006450,0.000000,0.000000,0.000000,events/second
1647551133,24,0.006397,0.000000,0.000000,0.000000,events/second
1647551163,24,0.006346,0.000000,0.000000,0.000000,events/second
1647551193,24,0.006296,0.000000,0.000000,0.000000,events/second
1647551224,24,0.006247,0.000000,0.000000,0.000000,events/second
1647551254,24,0.006199,0.000000,0.000000,0.000000,events/second
1647551284,24,0.006151,0.000000,0.000000,0.000000,events/second
1647551314,24,0.006104,0.000000,0.000000,0.000000,events/second
1647551344,24,0.006058,0.000000,0.000000,0.000000,events/second
1647551374,24,0.006012,0.000000,0.000000,0.000000,events/second
1647551404,24,0.005967,0.000000,0.000000,0.000000,events/second
1647551434,24,0.005923,0.000000,0.000000,0.000000,events/second
1647551464,24,0.005880,0.000000,0.000000,0.000000,events/second
1647551494,24,0.005837,0.000000,0.000000,0.000000,events/second
