t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,3,0.106276,0.000000,0.000000,0.000000,events/second
1647547440,3,0.051336,0.000000,0.000000,0.000000,events/second
1647547470,3,0.033904,0.000000,0.000000,0.000000,events/second
1647547500,3,0.025311,0.000000,0.000000,0.000000,events/second
1647547530,3,0.020195,0.000000,0.000000,0.000000,events/second
1647547560,3,0.016800,0.000000,0.000000,0.000000,events/second
1647547590,3,0.014382,0.000000,0.000000,0.000000,events/second
1647547620,3,0.012573,0.000000,0.000000,0.000000,events/second
1647547650,3,0.011167,0.000000,0.000000,0.000000,events/second
1647547680,3,0.010045,0.000000,0.000000,0.000000,events/second
1647547710,3,0.009127,0.000000,0.000000,0.000000,events/second
1647547740,3,0.008364,0.000000,0.000000,0.000000,events/second
1647547770,3,0.007718,0.000000,0.000000,0.000000,events/second
1647547801,3,0.007164,0.000000,0.000000,0.000000,events/second
1647547831,3,0.006685,0.000000,0.000000,0.000000,events/second
1647547861,3,0.006266,0.000000,0.000000,0.000000,events/second
1647547891,3,0.005896,0.000000,0.000000,0.000000,events/second
1647547921,3,0.005568,0.000000,0.000000,0.000000,events/second
1647547951,3,0.005274,0.000000,0.000000,0.000000,events/second
1647547981,3,0.005010,0.000000,0.000000,0.000000,events/second
1647548011,3,0.004771,0.000000,0.000000,0.000000,events/second
1647548041,3,0.004553,0.000000,0.000000,0.000000,events/second
1647548071,3,0.004355,0.000000,0.000000,0.000000,events/second
1647548101,3,0.004173,0.000000,0.000000,0.000000,events/second
1647548131,3,0.004006,0.000000,0.000000,0.000000,events/second
1647548161,3,0.003851,0.000000,0.000000,0.000000,events/second
1647548191,3,0.003708,0.000000,0.000000,0.000000,events/second
1647548221,3,0.003576,0.000000,0.000000,0.000000,events/second
1647548251,3,0.003452,0.000000,0.000000,0.000000,events/second
1647548281,3,0.003337,0.000000,0.000000,0.000000,events/second
1647548311,3,0.003229,0.000000,0.000000,0.000000,events/second
1647548341,3,0.003128,0.000000,0.000000,0.000000,events/second
1647548371,3,0.003033,0.000000,0.000000,0.000000,events/second
1647548401,3,0.002943,0.000000,0.000000,0.000000,events/second
1647548431,3,0.002859,0.000000,0.000000,0.000000,events/second
1647548461,3,0.002780,0.000000,0.000000,0.000000,events/second
1647548491,3,0.002705,0.000000,0.000000,0.000000,events/second
1647548521,3,0.002633,0.000000,0.000000,0.000000,events/second
1647548551,3,0.002566,0.000000,0.000000,0.000000,events/second
1647548581,3,0.002501,0.000000,0.000000,0.000000,events/second
1647548611,3,0.002440,0.000000,0.000000,0.000000,events/second
1647548641,3,0.002382,0.000000,0.000000,0.000000,events/second
1647548671,3,0.002327,0.000000,0.000000,0.000000,events/second
1647548701,3,0.002274,0.000000,0.000000,0.000000,events/second
1647548731,3,0.002223,0.000000,0.000000,0.000000,events/second
1647548761,3,0.002175,0.000000,0.000000,0.000000,events/second
1647548791,3,0.002128,0.000000,0.000000,0.000000,events/second
