t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,1,0.035412,0.000000,0.000000,0.000000,events/second
1647547440,1,0.017112,0.000000,0.000000,0.000000,events/second
1647547470,1,0.011301,0.000000,0.000000,0.000000,events/second
1647547500,1,0.008437,0.000000,0.000000,0.000000,events/second
1647547530,1,0.006732,0.000000,0.000000,0.000000,events/second
1647547560,1,0.005600,0.000000,0.000000,0.000000,events/second
1647547590,1,0.004794,0.000000,0.000000,0.000000,events/second
1647547620,1,0.004191,0.000000,0.000000,0.000000,events/second
1647547650,1,0.003722,0.000000,0.000000,0.000000,events/second
1647547680,1,0.003348,0.000000,0.000000,0.000000,events/second
1647547710,1,0.003042,0.000000,0.000000,0.000000,events/second
1647547740,1,0.002788,0.000000,0.000000,0.000000,events/second
1647547770,1,0.002573,0.000000,0.000000,0.000000,events/second
1647547801,1,0.002388,0.000000,0.000000,0.000000,events/second
1647547831,1,0.002228,0.000000,0.000000,0.000000,events/second
1647547861,1,0.002089,0.000000,0.000000,0.000000,events/second
1647547891,1,0.001965,0.000000,0.000000,0.000000,events/second
1647547921,1,0.001856,0.000000,0.000000,0.000000,events/second
1647547951,1,0.001758,0.000000,0.000000,0.000000,events/second
1647547981,1,0.001670,0.000000,0.000000,0.000000,events/second
1647548011,1,0.001590,0.000000,0.000000,0.000000,events/second
1647548041,1,0.001518,0.000000,0.000000,0.000000,events/second
1647548071,1,0.001452,0.000000,0.000000,0.000000,events/second
1647548101,1,0.001391,0.000000,0.000000,0.000000,events/second
1647548131,1,0.001335,0.000000,0.000000,0.000000,events/second
1647548161,1,0.001284,0.000000,0.000000,0.000000,events/second
1647548191,1,0.001236,0.000000,0.000000,0.000000,events/second
1647548221,1,0.001192,0.000000,0.000000,0.000000,events/second
1647548251,1,0.001151,0.000000,0.000000,0.000000,events/second
1647548281,1,0.001112,0.000000,0.000000,0.000000,events/second
1647548311,1,0.001076,0.000000,0.000000,0.000000,events/second
1647548341,1,0.001043,0.000000,0.000000,0.000000,events/second
1647548371,1,0.001011,0.000000,0.000000,0.000000,events/second
1647548401,1,0.000981,0.000000,0.000000,0.000000,events/second
1647548431,1,0.000953,0.000000,0.000000,0.000000,events/second
1647548461,1,0.000927,0.000000,0.000000,0.000000,events/second
1647548491,1,0.000902,0.000000,0.000000,0.000000,events/second
1647548521,1,0.000878,0.000000,0.000000,0.000000,events/second
1647548551,1,0.000855,0.000000,0.000000,0.000000,events/second
1647548581,1,0.000834,0.000000,0.000000,0.000000,events/second
1647548611,1,0.000813,0.000000,0.000000,0.000000,events/second
1647548641,1,0.000794,0.000000,0.000000,0.000000,events/second
1647548671,1,0.000776,0.000000,0.000000,0.000000,events/second
1647548701,1,0.000758,0.000000,0.000000,0.000000,events/second
1647548731,1,0.000741,0.000000,0.000000,0.000000,events/second
