t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,1,0.035400,0.000000,0.000000,0.000000,events/second
1647547440,1,0.017111,0.000000,0.000000,0.000000,events/second
1647547470,1,0.011301,0.000000,0.000000,0.000000,events/second
1647547500,1,0.008437,0.000000,0.000000,0.000000,events/second
1647547530,1,0.006732,0.000000,0.000000,0.000000,events/second
1647547560,1,0.005600,0.000000,0.000000,0.000000,events/second
1647547590,1,0.004794,0.000000,0.000000,0.000000,events/second
1647547620,1,0.004191,0.000000,0.000000,0.000000,events/second
1647547650,1,0.003722,0.000000,0.000000,0.000000,events/second
1647547680,1,0.003348,0.000000,0.000000,0.000000,events/second
1647547710,1,0.003042,0.000000,0.000000,0.000000,events/second
1647547740,1,0.002788,0.000000,0.000000,0.000000,events/second
1647547770,1,0.002573,0.000000,0.000000,0.000000,events/second
1647547801,1,0.002388,0.000000,0.000000,0.000000,events/second
1647547831,1,0.002228,0.000000,0.000000,0.000000,events/second
1647547861,1,0.002089,0.000000,0.000000,0.000000,events/second
1647547891,1,0.001965,0.000000,0.000000,0.000000,events/second
1647547921,1,0.001856,0.000000,0.000000,0.000000,events/second
1647547951,1,0.001758,0.000000,0.000000,0.000000,events/second
1647547981,1,0.001670,0.000000,0.000000,0.000000,events/second
1647548011,1,0.001590,0.000000,0.000000,0.000000,events/second
1647548041,1,0.001518,0.000000,0.000000,0.000000,events/second
1647548071,1,0.001452,0.000000,0.000000,0.000000,events/second
1647548101,1,0.001391,0.000000,0.000000,0.000000,events/second
1647548131,1,0.001335,0.000000,0.000000,0.000000,events/second
1647548161,2,0.002567,0.000000,0.000000,0.000000,events/second
1647548191,2,0.002472,0.000000,0.000000,0.000000,events/second
1647548221,2,0.002384,0.000000,0.000000,0.000000,events/second
1647548251,2,0.002301,0.000000,0.000000,0.000000,events/second
1647548281,2,0.002224,0.000000,0.000000,0.000000,events/second
1647548311,2,0.002153,0.000000,0.000000,0.000000,events/second
1647548341,2,0.002085,0.000000,0.000000,0.000000,events/second
1647548371,2,0.002022,0.000000,0.000000,0.000000,events/second
1647548401,2,0.001962,0.000000,0.000000,0.000000,events/second
1647548431,2,0.001906,0.000000,0.000000,0.000000,events/second
1647548461,2,0.001853,0.000000,0.000000,0.000000,events/second
1647548491,2,0.001803,0.000000,0.000000,0.000000,events/second
1647548521,2,0.001756,0.000000,0.000000,0.000000,events/second
1647548551,2,0.001710,0.000000,0.000000,0.000000,events/second
1647548581,2,0.001668,0.000000,0.000000,0.000000,events/second
1647548611,2,0.001627,0.000000,0.000000,0.000000,events/second
1647548641,2,0.001588,0.000000,0.000000,0.000000,events/second
