t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547440,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547470,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547500,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547530,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547560,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547590,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547620,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547650,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547680,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547710,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547740,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547770,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547801,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547831,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547861,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547891,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547921,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547951,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547981,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548011,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548041,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548071,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548101,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548131,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548161,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548191,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548221,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548251,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548281,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548311,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548341,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548371,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548401,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548431,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548461,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548491,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548521,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548551,0,0.000000,0.000000,0.000000,0.000000,events/second
