t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,2542,94.404430,0.000000,0.000000,0.000000,events/second
1647547440,2723,47.695345,0.000000,0.000000,0.000000,events/second
1647547470,2867,32.901945,0.000000,0.000000,0.000000,events/second
1647547500,3082,26.301641,0.000000,0.000000,0.000000,events/second
1647547530,3288,22.336893,0.000000,0.000000,0.000000,events/second
1647547560,3500,19.749275,0.000000,0.000000,0.000000,events/second
1647547590,3738,18.037037,0.000000,0.000000,0.000000,events/second
1647547620,3950,16.648251,0.000000,0.000000,0.000000,events/second
1647547650,4156,15.548378,0.000000,0.000000,0.000000,events/second
1647547680,4368,14.691806,0.000000,0.000000,0.000000,events/second
1647547710,4574,13.973765,0.000000,0.000000,0.000000,events/second
1647547740,4786,13.393416,0.000000,0.000000,0.000000,events/second
1647547770,4992,12.887414,0.000000,0.000000,0.000000,events/second
1647547801,5204,12.468149,0.000000,0.000000,0.000000,events/second
1647547831,5410,12.092107,0.000000,0.000000,0.000000,events/second
1647547861,5622,11.775782,0.000000,0.000000,0.000000,events/second
1647547891,5828,11.485166,0.000000,0.000000,0.000000,events/second
1647547921,6040,11.238083,0.000000,0.000000,0.000000,events/second
1647547951,6246,11.006654,0.000000,0.000000,0.000000,events/second
1647547981,6458,10.808542,0.000000,0.000000,0.000000,events/second
1647548011,6670,10.629296,0.000000,0.000000,0.000000,events/second
1647548041,6882,10.466402,0.000000,0.000000,0.000000,events/second
1647548071,7081,10.298785,0.000000,0.000000,0.000000,events/second
1647548101,7293,10.163227,0.000000,0.000000,0.000000,events/second
1647548131,7502,10.034485,0.000000,0.000000,0.000000,events/second
1647548161,7745,9.959492,0.000000,0.000000,0.000000,events/second
1647548191,7951,9.844424,0.000000,0.000000,0.000000,events/second
1647548221,8163,9.744692,0.000000,0.000000,0.000000,events/second
1647548251,8369,9.644745,0.000000,0.000000,0.000000,events/second
1647548281,8612,9.592769,0.000000,0.000000,0.000000,events/second
1647548311,8925,9.619821,0.000000,0.000000,0.000000,events/second
1647548341,9139,9.541682,0.000000,0.000000,0.000000,events/second
1647548371,9345,9.460249,0.000000,0.000000,0.000000,events/second
1647548401,9559,9.391373,0.000000,0.000000,0.000000,events/second
1647548431,9765,9.318910,0.000000,0.000000,0.000000,events/second
1647548461,9979,9.257968,0.000000,0.000000,0.000000,events/second
1647548491,10185,9.193131,0.000000,0.000000,0.000000,events/second
1647548521,10399,9.138672,0.000000,0.000000,0.000000,events/second
1647548551,10605,9.080206,0.000000,0.000000,0.000000,events/second
1647548581,10819,9.031264,0.000000,0.000000,0.000000,events/second
1647548611,11116,9.052332,0.000000,0.000000,0.000000,events/second
1647548641,11330,9.006436,0.000000,0.000000,0.000000,events/second
1647548671,11536,8.956421,0.000000,0.000000,0.000000,events/second
1647548701,11750,8.914757,0.000000,0.000000,0.000000,events/second
1647548731,11956,8.868992,0.000000,0.000000,0.000000,events/second
1647548761,12170,8.831049,0.000000,0.000000,0.000000,events/second
1647548791,12376,8.789099,0.000000,0.000000,0.000000,events/second
1647548821,12590,8.754449,0.000000,0.000000,0.000000,events/second
1647548851,12796,8.715815,0.000000,0.000000,0.000000,events/second
1647548881,13010,8.683987,0.000000,0.000000,0.000000,events/second
1647548911,13216,8.648142,0.000000,0.000000,0.000000,events/second
1647548941,13430,8.618811,0.000000,0.000000,0.000000,events/second
1647548971,13641,8.588799,0.000000,0.000000,0.000000,events/second
1647549001,13859,8.564074,0.000000,0.000000,0.000000,events/second
1647549031,14072,8.537245,0.000000,0.000000,0.000000,events/second
1647549061,14287,8.512659,0.000000,0.000000,0.000000,events/second
1647549091,14493,8.483691,0.000000,0.000000,0.000000,events/second
1647549121,14707,8.460352,0.000000,0.000000,0.000000,events/second
1647549152,14913,8.433202,0.000000,0.000000,0.000000,events/second
1647549182,15127,8.411414,0.000000,0.000000,0.000000,events/second
1647549212,15339,8.389241,0.000000,0.000000,0.000000,events/second
1647549242,15553,8.368854,0.000000,0.000000,0.000000,events/second
1647549272,15759,8.344934,0.000000,0.000000,0.000000,events/second
1647549302,15973,8.325911,0.000000,0.000000,0.000000,events/second
1647549332,16179,8.303334,0.000000,0.000000,0.000000,events/second
1647549362,16393,8.285523,0.000000,0.000000,0.000000,events/second
1647549392,16599,8.264264,0.000000,0.000000,0.000000,events/second
1647549422,16813,8.247557,0.000000,0.000000,0.000000,events/second
1647549452,17019,8.227460,0.000000,0.000000,0.000000,events/second
1647549482,17233,8.211712,0.000000,0.000000,0.000000,events/second
1647549512,17439,8.192696,0.000000,0.000000,0.000000,events/second
1647549542,17653,8.177866,0.000000,0.000000,0.000000,events/second
1647549572,17859,8.159837,0.000000,0.000000,0.000000,events/second
1647549602,18104,8.159819,0.000000,0.000000,0.000000,events/second
1647549632,18310,8.142515,0.000000,0.000000,0.000000,events/second
1647549662,18524,8.129141,0.000000,0.000000,0.000000,events/second
1647549692,18761,8.126108,0.000000,0.000000,0.000000,events/second
1647549722,18986,8.117981,0.000000,0.000000,0.000000,events/second
1647549752,19181,8.097350,0.000000,0.000000,0.000000,events/second
1647549782,19406,8.089822,0.000000,0.000000,0.000000,events/second
1647549812,19638,8.085346,0.000000,0.000000,0.000000,events/second
1647549842,20119,8.182259,0.000000,0.000000,0.000000,events/second
1647549872,20328,8.167530,0.000000,0.000000,0.000000,events/second
1647549902,20852,8.278270,0.000000,0.000000,0.000000,events/second
1647549932,20996,8.237263,0.000000,0.000000,0.000000,events/second
1647549962,21241,8.236193,0.000000,0.000000,0.000000,events/second
1647549992,21460,8.225406,0.000000,0.000000,0.000000,events/second
1647550022,21755,8.243630,0.000000,0.000000,0.000000,events/second
1647550052,22115,8.285789,0.000000,0.000000,0.000000,events/second
1647550082,22494,8.334066,0.000000,0.000000,0.000000,events/second
1647550112,22602,8.281971,0.000000,0.000000,0.000000,events/second
1647550142,22937,8.313280,0.000000,0.000000,0.000000,events/second
1647550172,23045,8.262521,0.000000,0.000000,0.000000,events/second
1647550202,23380,8.293347,0.000000,0.000000,0.000000,events/second
1647550232,23558,8.268484,0.000000,0.000000,0.000000,events/second
1647550262,24030,8.346205,0.000000,0.000000,0.000000,events/second
1647550292,24142,8.298556,0.000000,0.000000,0.000000,events/second
1647550322,24575,8.361121,0.000000,0.000000,0.000000,events/second
1647550352,25418,8.560507,0.000000,0.000000,0.000000,events/second
1647550382,25748,8.584817,0.000000,0.000000,0.000000,events/second
1647550412,25854,8.534743,0.000000,0.000000,0.000000,events/second
1647550442,26184,8.558879,0.000000,0.000000,0.000000,events/second
1647550472,26284,8.508078,0.000000,0.000000,0.000000,events/second
1647550502,26614,8.532018,0.000000,0.000000,0.000000,events/second
1647550532,26714,8.482435,0.000000,0.000000,0.000000,events/second
1647550562,27044,8.506134,0.000000,0.000000,0.000000,events/second
1647550593,27144,8.457725,0.000000,0.000000,0.000000,events/second
1647550623,27474,8.481230,0.000000,0.000000,0.000000,events/second
1647550653,27574,8.433952,0.000000,0.000000,0.000000,events/second
1647550683,27904,8.457248,0.000000,0.000000,0.000000,events/second
1647550713,28004,8.411056,0.000000,0.000000,0.000000,events/second
1647550743,28428,8.462119,0.000000,0.000000,0.000000,events/second
1647550773,28542,8.420806,0.000000,0.000000,0.000000,events/second
1647550803,28880,8.445721,0.000000,0.000000,0.000000,events/second
1647550833,29680,8.604150,0.000000,0.000000,0.000000,events/second
1647550863,30011,8.625076,0.000000,0.000000,0.000000,events/second
1647550893,30111,8.579795,0.000000,0.000000,0.000000,events/second
1647550923,30830,8.710184,0.000000,0.000000,0.000000,events/second
1647550953,30930,8.664930,0.000000,0.000000,0.000000,events/second
1647550983,31261,8.684556,0.000000,0.000000,0.000000,events/second
1647551013,31367,8.641837,0.000000,0.000000,0.000000,events/second
1647551043,31698,8.661198,0.000000,0.000000,0.000000,events/second
1647551073,31798,8.617819,0.000000,0.000000,0.000000,events/second
1647551103,32129,8.637274,0.000000,0.000000,0.000000,events/second
1647551133,32233,8.594746,0.000000,0.000000,0.000000,events/second
1647551163,32564,8.614070,0.000000,0.000000,0.000000,events/second
1647551193,32664,8.572427,0.000000,0.000000,0.000000,events/second
1647551224,32995,8.591596,0.000000,0.000000,0.000000,events/second
1647551254,33095,8.550793,0.000000,0.000000,0.000000,events/second
1647551284,33426,8.569876,0.000000,0.000000,0.000000,events/second
1647551314,33526,8.529864,0.000000,0.000000,0.000000,events/second
1647551344,33857,8.548818,0.000000,0.000000,0.000000,events/second
1647551374,33957,8.509567,0.000000,0.000000,0.000000,events/second
1647551404,34288,8.528365,0.000000,0.000000,0.000000,events/second
1647551434,34388,8.489865,0.000000,0.000000,0.000000,events/second
1647551464,34719,8.508534,0.000000,0.000000,0.000000,events/second
1647551494,34819,8.470721,0.000000,0.000000,0.000000,events/second
1647551524,35150,8.489266,0.000000,0.000000,0.000000,events/second
1647551554,35504,8.513058,0.000000,0.000000,0.000000,events/second
1647551584,35835,8.531043,0.000000,0.000000,0.000000,events/second
1647551614,35941,8.495583,0.000000,0.000000,0.000000,events/second
1647551644,36398,8.542985,0.000000,0.000000,0.000000,events/second
1647551674,36548,8.518191,0.000000,0.000000,0.000000,events/second
1647551704,36886,8.537260,0.000000,0.000000,0.000000,events/second
1647551734,37000,8.504575,0.000000,0.000000,0.000000,events/second
1647551764,37338,8.523465,0.000000,0.000000,0.000000,events/second
1647551794,37470,8.495377,0.000000,0.000000,0.000000,events/second
1647551824,37844,8.522177,0.000000,0.000000,0.000000,events/second
1647551854,38036,8.507893,0.000000,0.000000,0.000000,events/second
1647551884,38465,8.546458,0.000000,0.000000,0.000000,events/second
1647551914,38590,8.517441,0.000000,0.000000,0.000000,events/second
1647551944,38993,8.549761,0.000000,0.000000,0.000000,events/second
1647551974,39120,8.521534,0.000000,0.000000,0.000000,events/second
1647552004,39497,8.547776,0.000000,0.000000,0.000000,events/second
1647552034,39669,8.529589,0.000000,0.000000,0.000000,events/second
1647552064,41065,8.773102,0.000000,0.000000,0.000000,events/second
1647552094,41167,8.738857,0.000000,0.000000,0.000000,events/second
1647552124,41499,8.753555,0.000000,0.000000,0.000000,events/second
1647552154,41601,8.719864,0.000000,0.000000,0.000000,events/second
1647552184,41933,8.734485,0.000000,0.000000,0.000000,events/second
1647552214,42041,8.702574,0.000000,0.000000,0.000000,events/second
1647552244,42373,8.717121,0.000000,0.000000,0.000000,events/second
1647552274,42475,8.684491,0.000000,0.000000,0.000000,events/second
1647552304,42807,8.699006,0.000000,0.000000,0.000000,events/second
1647552334,42909,8.666872,0.000000,0.000000,0.000000,events/second
1647552364,43241,8.681301,0.000000,0.000000,0.000000,events/second
1647552394,43343,8.649668,0.000000,0.000000,0.000000,events/second
1647552424,43675,8.664016,0.000000,0.000000,0.000000,events/second
1647552454,43777,8.632731,0.000000,0.000000,0.000000,events/second
1647552487,44116,8.643262,0.000000,0.000000,0.000000,events/second
1647552517,44218,8.612591,0.000000,0.000000,0.000000,events/second
1647552547,44640,8.644257,0.000000,0.000000,0.000000,events/second
1647552577,44768,8.618967,0.000000,0.000000,0.000000,events/second
1647552607,45113,8.635503,0.000000,0.000000,0.000000,events/second
1647553637,47506,7.596218,0.000000,0.000000,0.000000,events/second
1647553667,49802,7.925307,0.000000,0.000000,0.000000,events/second
1647553697,50190,7.949071,0.000000,0.000000,0.000000,events/second
1647553727,50275,7.924835,0.000000,0.000000,0.000000,events/second
1647553757,50663,7.948400,0.000000,0.000000,0.000000,events/second
1647553787,50748,7.924419,0.000000,0.000000,0.000000,events/second
1647553817,51136,7.947713,0.000000,0.000000,0.000000,events/second
1647553847,51221,7.923955,0.000000,0.000000,0.000000,events/second
1647553877,51609,7.947086,0.000000,0.000000,0.000000,events/second
1647553907,52006,7.971370,0.000000,0.000000,0.000000,events/second
