t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,141,5.234491,0.000000,0.000000,0.000000,events/second
1647547440,141,2.469593,0.000000,0.000000,0.000000,events/second
1647547470,141,1.618079,0.000000,0.000000,0.000000,events/second
1647547500,141,1.203218,0.000000,0.000000,0.000000,events/second
1647547530,141,0.957861,0.000000,0.000000,0.000000,events/second
1647547560,141,0.795602,0.000000,0.000000,0.000000,events/second
1647547590,141,0.680361,0.000000,0.000000,0.000000,events/second
1647547620,141,0.594273,0.000000,0.000000,0.000000,events/second
1647547650,141,0.527502,0.000000,0.000000,0.000000,events/second
1647547680,141,0.474251,0.000000,0.000000,0.000000,events/second
1647547710,141,0.430758,0.000000,0.000000,0.000000,events/second
1647547740,141,0.394580,0.000000,0.000000,0.000000,events/second
1647547770,141,0.364005,0.000000,0.000000,0.000000,events/second
1647547801,141,0.337817,0.000000,0.000000,0.000000,events/second
1647547831,141,0.315153,0.000000,0.000000,0.000000,events/second
1647547861,141,0.295336,0.000000,0.000000,0.000000,events/second
1647547891,141,0.277865,0.000000,0.000000,0.000000,events/second
1647547921,141,0.262345,0.000000,0.000000,0.000000,events/second
1647547951,141,0.248468,0.000000,0.000000,0.000000,events/second
1647547981,141,0.235986,0.000000,0.000000,0.000000,events/second
1647548011,141,0.224696,0.000000,0.000000,0.000000,events/second
1647548041,141,0.214437,0.000000,0.000000,0.000000,events/second
1647548071,141,0.205073,0.000000,0.000000,0.000000,events/second
1647548101,141,0.196491,0.000000,0.000000,0.000000,events/second
1647548131,141,0.188597,0.000000,0.000000,0.000000,events/second
1647548161,141,0.181315,0.000000,0.000000,0.000000,events/second
1647548191,141,0.174577,0.000000,0.000000,0.000000,events/second
1647548221,141,0.168320,0.000000,0.000000,0.000000,events/second
1647548251,141,0.162493,0.000000,0.000000,0.000000,events/second
1647548281,141,0.157057,0.000000,0.000000,0.000000,events/second
1647548311,143,0.154132,0.000000,0.000000,0.000000,events/second
1647548341,143,0.149300,0.000000,0.000000,0.000000,events/second
1647548371,143,0.144763,0.000000,0.000000,0.000000,events/second
1647548401,143,0.140492,0.000000,0.000000,0.000000,events/second
1647548431,143,0.136467,0.000000,0.000000,0.000000,events/second
1647548461,143,0.132667,0.000000,0.000000,0.000000,events/second
1647548491,143,0.129074,0.000000,0.000000,0.000000,events/second
1647548521,143,0.125669,0.000000,0.000000,0.000000,events/second
1647548551,143,0.122439,0.000000,0.000000,0.000000,events/second
1647548581,143,0.119370,0.000000,0.000000,0.000000,events/second
1647548611,143,0.116452,0.000000,0.000000,0.000000,events/second
1647548641,143,0.113673,0.000000,0.000000,0.000000,events/second
1647548671,143,0.111023,0.000000,0.000000,0.000000,events/second
1647548701,143,0.108494,0.000000,0.000000,0.000000,events/second
1647548731,143,0.106078,0.000000,0.000000,0.000000,events/second
1647548761,143,0.103766,0.000000,0.000000,0.000000,events/second
1647548791,143,0.101555,0.000000,0.000000,0.000000,events/second
1647548821,143,0.099435,0.000000,0.000000,0.000000,events/second
1647548851,143,0.097402,0.000000,0.000000,0.000000,events/second
1647548881,143,0.095450,0.000000,0.000000,0.000000,events/second
1647548911,143,0.093575,0.000000,0.000000,0.000000,events/second
1647548941,143,0.091771,0.000000,0.000000,0.000000,events/second
1647548971,143,0.090037,0.000000,0.000000,0.000000,events/second
1647549001,143,0.088366,0.000000,0.000000,0.000000,events/second
1647549031,143,0.086756,0.000000,0.000000,0.000000,events/second
1647549061,143,0.085204,0.000000,0.000000,0.000000,events/second
1647549091,143,0.083707,0.000000,0.000000,0.000000,events/second
1647549121,143,0.082262,0.000000,0.000000,0.000000,events/second
1647549152,143,0.080865,0.000000,0.000000,0.000000,events/second
1647549182,143,0.079515,0.000000,0.000000,0.000000,events/second
1647549212,143,0.078210,0.000000,0.000000,0.000000,events/second
1647549242,143,0.076946,0.000000,0.000000,0.000000,events/second
1647549272,143,0.075723,0.000000,0.000000,0.000000,events/second
1647549302,143,0.074539,0.000000,0.000000,0.000000,events/second
1647549332,143,0.073390,0.000000,0.000000,0.000000,events/second
1647549362,143,0.072276,0.000000,0.000000,0.000000,events/second
1647549392,143,0.071196,0.000000,0.000000,0.000000,events/second
1647549422,143,0.070148,0.000000,0.000000,0.000000,events/second
1647549452,143,0.069130,0.000000,0.000000,0.000000,events/second
1647549482,143,0.068141,0.000000,0.000000,0.000000,events/second
1647549512,143,0.067180,0.000000,0.000000,0.000000,events/second
1647549542,143,0.066246,0.000000,0.000000,0.000000,events/second
1647549572,143,0.065337,0.000000,0.000000,0.000000,events/second
1647549602,143,0.064453,0.000000,0.000000,0.000000,events/second
1647549632,143,0.063592,0.000000,0.000000,0.000000,events/second
1647549662,143,0.062755,0.000000,0.000000,0.000000,events/second
1647549692,143,0.061939,0.000000,0.000000,0.000000,events/second
1647549722,143,0.061143,0.000000,0.000000,0.000000,events/second
1647549752,143,0.060368,0.000000,0.000000,0.000000,events/second
1647549782,143,0.059613,0.000000,0.000000,0.000000,events/second
1647549812,143,0.058876,0.000000,0.000000,0.000000,events/second
1647549842,155,0.063037,0.000000,0.000000,0.000000,events/second
1647549872,155,0.062277,0.000000,0.000000,0.000000,events/second
1647549902,171,0.067887,0.000000,0.000000,0.000000,events/second
1647549932,171,0.067088,0.000000,0.000000,0.000000,events/second
1647549962,171,0.066305,0.000000,0.000000,0.000000,events/second
1647549992,171,0.065543,0.000000,0.000000,0.000000,events/second
1647550022,171,0.064797,0.000000,0.000000,0.000000,events/second
1647550052,175,0.065567,0.000000,0.000000,0.000000,events/second
1647550082,175,0.064838,0.000000,0.000000,0.000000,events/second
1647550112,175,0.064125,0.000000,0.000000,0.000000,events/second
1647550142,175,0.063427,0.000000,0.000000,0.000000,events/second
1647550172,175,0.062744,0.000000,0.000000,0.000000,events/second
1647550202,175,0.062076,0.000000,0.000000,0.000000,events/second
1647550232,177,0.062124,0.000000,0.000000,0.000000,events/second
1647550262,177,0.061476,0.000000,0.000000,0.000000,events/second
1647550292,177,0.060842,0.000000,0.000000,0.000000,events/second
1647550322,177,0.060220,0.000000,0.000000,0.000000,events/second
1647550352,186,0.062643,0.000000,0.000000,0.000000,events/second
1647550382,186,0.062015,0.000000,0.000000,0.000000,events/second
1647550412,186,0.061401,0.000000,0.000000,0.000000,events/second
1647550442,186,0.060799,0.000000,0.000000,0.000000,events/second
1647550472,186,0.060208,0.000000,0.000000,0.000000,events/second
1647550502,186,0.059629,0.000000,0.000000,0.000000,events/second
1647550532,186,0.059060,0.000000,0.000000,0.000000,events/second
1647550562,186,0.058502,0.000000,0.000000,0.000000,events/second
1647550593,186,0.057955,0.000000,0.000000,0.000000,events/second
1647550623,186,0.057418,0.000000,0.000000,0.000000,events/second
1647550653,186,0.056891,0.000000,0.000000,0.000000,events/second
1647550683,186,0.056374,0.000000,0.000000,0.000000,events/second
1647550713,186,0.055865,0.000000,0.000000,0.000000,events/second
1647550743,187,0.055664,0.000000,0.000000,0.000000,events/second
1647550773,187,0.055171,0.000000,0.000000,0.000000,events/second
1647550803,187,0.054687,0.000000,0.000000,0.000000,events/second
1647550833,187,0.054211,0.000000,0.000000,0.000000,events/second
1647550863,187,0.053743,0.000000,0.000000,0.000000,events/second
1647550893,187,0.053284,0.000000,0.000000,0.000000,events/second
1647550923,187,0.052832,0.000000,0.000000,0.000000,events/second
1647550953,187,0.052387,0.000000,0.000000,0.000000,events/second
1647550983,187,0.051950,0.000000,0.000000,0.000000,events/second
1647551013,187,0.051520,0.000000,0.000000,0.000000,events/second
1647551043,187,0.051096,0.000000,0.000000,0.000000,events/second
1647551073,187,0.050680,0.000000,0.000000,0.000000,events/second
1647551103,187,0.050271,0.000000,0.000000,0.000000,events/second
1647551133,187,0.049862,0.000000,0.000000,0.000000,events/second
1647551163,187,0.049467,0.000000,0.000000,0.000000,events/second
1647551193,187,0.049077,0.000000,0.000000,0.000000,events/second
1647551224,187,0.048693,0.000000,0.000000,0.000000,events/second
1647551254,187,0.048315,0.000000,0.000000,0.000000,events/second
1647551284,187,0.047944,0.000000,0.000000,0.000000,events/second
1647551314,187,0.047578,0.000000,0.000000,0.000000,events/second
1647551344,187,0.047217,0.000000,0.000000,0.000000,events/second
1647551374,187,0.046862,0.000000,0.000000,0.000000,events/second
1647551404,187,0.046512,0.000000,0.000000,0.000000,events/second
1647551434,187,0.046167,0.000000,0.000000,0.000000,events/second
1647551464,187,0.045828,0.000000,0.000000,0.000000,events/second
1647551494,187,0.045493,0.000000,0.000000,0.000000,events/second
1647551524,187,0.045163,0.000000,0.000000,0.000000,events/second
1647551554,187,0.044838,0.000000,0.000000,0.000000,events/second
1647551584,187,0.044518,0.000000,0.000000,0.000000,events/second
1647551614,187,0.044202,0.000000,0.000000,0.000000,events/second
1647551644,187,0.043891,0.000000,0.000000,0.000000,events/second
1647551674,187,0.043584,0.000000,0.000000,0.000000,events/second
1647551704,187,0.043281,0.000000,0.000000,0.000000,events/second
1647551734,187,0.042983,0.000000,0.000000,0.000000,events/second
1647551764,187,0.042688,0.000000,0.000000,0.000000,events/second
1647551794,187,0.042398,0.000000,0.000000,0.000000,events/second
1647551824,187,0.042111,0.000000,0.000000,0.000000,events/second
1647551854,187,0.041828,0.000000,0.000000,0.000000,events/second
1647551884,187,0.041549,0.000000,0.000000,0.000000,events/second
1647551914,187,0.041274,0.000000,0.000000,0.000000,events/second
1647551944,187,0.041002,0.000000,0.000000,0.000000,events/second
1647551974,187,0.040734,0.000000,0.000000,0.000000,events/second
1647552004,187,0.040470,0.000000,0.000000,0.000000,events/second
1647552034,187,0.040209,0.000000,0.000000,0.000000,events/second
1647552064,187,0.039951,0.000000,0.000000,0.000000,events/second
1647552094,187,0.039696,0.000000,0.000000,0.000000,events/second
1647552124,187,0.039445,0.000000,0.000000,0.000000,events/second
1647552154,187,0.039197,0.000000,0.000000,0.000000,events/second
1647552184,187,0.038951,0.000000,0.000000,0.000000,events/second
1647552214,187,0.038709,0.000000,0.000000,0.000000,events/second
1647552244,187,0.038470,0.000000,0.000000,0.000000,events/second
1647552274,187,0.038234,0.000000,0.000000,0.000000,events/second
