t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,0
1647547560,0
1647547590,0
1647547620,0
1647547650,0
1647547680,0
1647547710,0
1647547740,0
1647547770,0
1647547801,0
1647547831,0
1647547861,0
1647547891,0
1647547921,0
1647547951,0
1647547981,0
1647548011,0
1647548041,0
1647548071,0
1647548101,0
1647548131,0
1647548161,0
1647548191,0
1647548221,0
1647548251,0
1647548281,0
1647548311,213
1647548341,213
1647548371,213
1647548401,213
1647548431,213
1647548461,213
1647548491,213
1647548521,213
1647548551,213
1647548581,213
1647548611,213
1647548641,213
1647548671,213
1647548701,213
1647548731,213
1647548761,213
1647548791,213
1647548821,213
1647548851,213
1647548881,213
1647548911,213
1647548941,213
1647548971,213
1647549001,213
1647549031,213
1647549061,213
1647549091,213
1647549121,213
1647549152,213
1647549182,213
1647549212,213
1647549242,213
1647549272,213
1647549302,213
1647549332,213
1647549362,213
1647549392,213
1647549422,213
1647549452,213
1647549482,213
1647549512,213
1647549542,213
1647549572,213
1647549602,213
1647549632,213
1647549662,213
1647549692,213
1647549722,213
1647549752,213
1647549782,213
1647549812,213
1647549842,213
1647549872,213
1647549902,213
1647549932,213
1647549962,213
1647549992,213
1647550022,213
1647550052,213
1647550082,213
1647550112,213
1647550142,213
1647550172,213
1647550202,213
1647550232,213
1647550262,213
1647550292,213
1647550322,213
1647550352,213
1647550382,213
1647550412,213
1647550442,213
1647550472,213
1647550502,213
1647550532,213
1647550562,213
1647550593,213
1647550623,213
1647550653,213
1647550683,213
1647550713,213
1647550743,213
1647550773,213
1647550803,213
1647550833,213
1647550863,213
1647550893,213
1647550923,213
1647550953,213
1647550983,213
1647551013,213
1647551043,213
1647551073,213
1647551103,213
1647551133,213
1647551163,213
1647551193,213
1647551224,213
1647551254,213
1647551284,213
1647551314,213
1647551344,213
1647551374,213
1647551404,213
1647551434,213
1647551464,213
1647551494,213
1647551524,213
1647551554,213
1647551584,213
1647551614,213
1647551644,213
1647551674,213
1647551704,213
1647551734,213
1647551764,213
1647551794,213
1647551824,213
1647551854,213
1647551884,213
1647551914,213
1647551944,213
1647551974,213
1647552004,213
1647552034,213
1647552064,213
1647552094,213
1647552124,213
1647552154,213
1647552184,213
1647552214,213
1647552244,213
1647552274,213
1647552304,213
1647552334,213
1647552364,213
1647552394,213
1647552424,213
1647552454,213
1647552487,213
1647552517,213
1647552547,213
1647552577,213
1647552607,213
1647553637,213
1647553667,213
1647553697,213
1647553727,213
1647553757,213
1647553787,213
1647553817,213
1647553847,213
1647553877,213
