t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547440,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547470,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547500,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547530,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547560,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547590,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547620,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547650,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547680,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547710,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547740,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547770,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547801,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547831,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547861,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547891,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547921,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547951,0,0.000000,0.000000,0.000000,0.000000,events/second
1647547981,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548011,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548041,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548071,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548101,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548131,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548161,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548191,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548221,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548251,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548281,0,0.000000,0.000000,0.000000,0.000000,events/second
1647548311,213,0.228345,0.000000,0.000000,0.000000,events/second
1647548341,213,0.221224,0.000000,0.000000,0.000000,events/second
1647548371,213,0.214535,0.000000,0.000000,0.000000,events/second
1647548401,213,0.208236,0.000000,0.000000,0.000000,events/second
1647548431,213,0.202299,0.000000,0.000000,0.000000,events/second
1647548461,213,0.196692,0.000000,0.000000,0.000000,events/second
1647548491,213,0.191388,0.000000,0.000000,0.000000,events/second
1647548521,213,0.186361,0.000000,0.000000,0.000000,events/second
1647548551,213,0.181593,0.000000,0.000000,0.000000,events/second
