t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1647547410,6,3617,1099.333333,10,1601.300805,158.500000,2879.000000,3617.000000,3617.000000,3617.000000,3617.000000
1647547440,6,3617,1099.333333,10,1601.300805,158.500000,2879.000000,3617.000000,3617.000000,3617.000000,3617.000000
1647547470,6,3617,1099.333333,10,1601.300805,158.500000,2879.000000,3617.000000,3617.000000,3617.000000,3617.000000
1647547500,15,3617,468.733333,6,1096.233126,22.000000,155.000000,3617.000000,3617.000000,3617.000000,3617.000000
1647547530,30,3617,246.700000,4,794.725854,17.500000,98.750000,3075.800000,3617.000000,3617.000000,3617.000000
1647547560,33,3617,225.303030,4,759.671906,17.000000,75.500000,2928.200000,3617.000000,3617.000000,3617.000000
1647547590,42,3617,179.071429,4,677.095065,12.500000,35.000000,2270.000000,3617.000000,3617.000000,3617.000000
1647547620,45,3617,167.911111,4,654.969910,12.000000,27.500000,1907.000000,3617.000000,3617.000000,3617.000000
1647547650,51,3617,154.509804,4,615.872856,13.000000,29.000000,1181.000000,3577.640000,3617.000000,3617.000000
1647547680,54,3617,148.018519,4,598.818695,14.500000,35.000000,818.000000,3518.600000,3617.000000,3617.000000
1647547710,60,3617,135.100000,4,568.899047,15.500000,25.500000,210.550000,3400.520000,3617.000000,3617.000000
1647547740,63,3617,129.539683,4,555.530633,16.000000,24.000000,203.200000,3341.480000,3617.000000,3617.000000
1647547770,69,3617,119.710145,4,531.427105,16.000000,23.000000,188.500000,3223.400000,3617.000000,3617.000000
1647547801,72,3617,115.527778,4,520.470859,17.000000,22.750000,181.150000,3164.360000,3617.000000,3617.000000
1647547831,78,3617,107.769231,4,500.516433,17.000000,22.000000,166.450000,3046.280000,3617.000000,3617.000000
1647547861,81,3617,104.358025,4,491.355429,17.000000,22.000000,163.100000,2987.240000,3617.000000,3617.000000
1647547891,87,3617,98.425287,4,474.412774,17.000000,22.000000,160.400000,2869.160000,3617.000000,3617.000000
1647547921,90,3617,95.811111,4,466.563793,17.000000,22.000000,159.050000,2810.120000,3617.000000,3617.000000
1647547951,96,3617,90.718750,4,452.027705,17.000000,22.000000,156.350000,2692.040000,3617.000000,3617.000000
1647547981,99,3617,88.101010,3,445.303989,17.000000,22.000000,155.000000,2633.000000,3617.000000,3617.000000
1647548011,105,3617,83.866667,3,432.616393,17.000000,22.000000,143.900000,2342.600000,3557.960000,3617.000000
1647548041,108,3617,81.898148,3,426.669803,17.000000,22.000000,138.350000,2197.400000,3528.440000,3617.000000
1647548071,114,3617,78.298246,3,415.474075,16.500000,21.250000,127.250000,1907.000000,3469.400000,3617.000000
1647548101,117,3617,76.641026,3,410.194896,16.000000,21.000000,121.700000,1761.800000,3439.880000,3617.000000
1647548131,123,3617,73.544715,3,400.221153,16.000000,21.000000,117.600000,1471.400000,3380.840000,3617.000000
1647548161,129,3617,70.813953,3,390.925820,16.000000,21.000000,117.000000,1181.000000,3321.800000,3617.000000
1647548191,135,3617,68.281481,3,382.256413,16.000000,21.000000,116.400000,890.600000,3262.760000,3617.000000
1647548221,138,3617,67.101449,3,378.132122,16.000000,20.250000,116.100000,745.400000,3233.240000,3617.000000
1647548251,144,3617,64.819444,3,370.278550,16.000000,20.000000,113.000000,455.000000,3174.200000,3617.000000
1647548281,150,3617,62.920000,3,362.867430,16.000000,20.000000,109.400000,212.020000,3115.160000,3617.000000
1647548311,156,3617,60.974359,3,355.910988,15.500000,20.000000,105.800000,206.140000,3056.120000,3617.000000
1647548341,159,3617,60.113208,3,352.571045,15.000000,20.000000,104.000000,203.200000,3026.600000,3617.000000
1647548371,165,3617,58.418182,3,346.172259,15.000000,20.000000,103.700000,197.320000,2967.560000,3617.000000
1647548401,168,3617,57.625000,3,343.099795,15.000000,20.000000,103.550000,194.380000,2938.040000,3617.000000
1647548431,174,3617,56.011494,3,337.206477,15.000000,20.000000,103.250000,188.500000,2879.000000,3617.000000
1647548461,177,3617,55.254237,3,334.370249,15.000000,19.500000,103.100000,185.560000,2849.480000,3617.000000
1647548491,183,3617,53.950820,3,328.889511,15.000000,19.000000,101.800000,179.680000,2790.440000,3617.000000
1647548521,186,3617,53.327957,3,326.248512,15.000000,19.000000,100.900000,176.740000,2760.920000,3617.000000
1647548551,192,3617,51.812500,2,321.194916,15.000000,19.000000,99.100000,170.860000,2701.880000,3617.000000
1647548581,195,3617,51.256410,2,318.733085,15.000000,19.000000,98.200000,167.920000,2672.360000,3617.000000
1647548611,201,3617,50.139303,2,313.980780,15.000000,19.000000,94.000000,163.640000,2584.600000,3617.000000
1647548641,204,3617,49.558824,2,311.688523,15.000000,19.000000,89.500000,163.100000,2512.000000,3617.000000
1647548671,210,3617,48.457143,2,307.251281,15.000000,19.000000,80.500000,162.020000,2366.800000,3617.000000
1647548701,213,3617,47.938967,2,305.100542,14.000000,19.000000,76.000000,161.480000,2294.200000,3617.000000
1647548731,219,3617,46.981735,2,300.927084,14.000000,18.000000,67.000000,160.400000,2149.000000,3617.000000
1647548761,222,3617,46.554054,2,298.900299,14.000000,18.250000,65.050000,159.860000,2076.400000,3617.000000
1647548791,228,3617,45.535088,2,294.989828,14.000000,18.000000,61.150000,158.780000,1931.200000,3617.000000
1647548821,231,3617,44.991342,2,293.098188,14.000000,18.000000,59.200000,158.240000,1858.600000,3617.000000
1647548851,237,3617,44.122363,2,289.400018,14.000000,18.000000,55.300000,157.160000,1713.400000,3617.000000
1647548881,240,3617,43.675000,2,287.605630,14.000000,18.000000,53.950000,156.620000,1640.800000,3617.000000
1647548911,246,3617,43.016260,2,284.093143,14.000000,18.000000,53.650000,155.540000,1495.600000,3617.000000
1647548941,249,3617,42.682731,2,282.385846,14.000000,18.000000,53.500000,155.000000,1423.000000,3617.000000
1647548971,255,3617,42.027451,2,279.064006,14.000000,18.000000,53.200000,150.560000,1277.800000,3617.000000
1647549001,258,3617,41.720930,2,277.445069,14.000000,18.000000,53.050000,148.340000,1205.200000,3617.000000
1647549031,264,3617,40.973485,2,274.306750,14.000000,18.000000,47.000000,143.900000,1060.000000,3617.000000
1647549061,267,3617,40.580524,2,272.780579,14.000000,18.000000,43.400000,141.680000,987.400000,3617.000000
1647549091,273,3617,39.989011,2,269.784479,14.000000,18.000000,36.200000,137.240000,842.200000,3617.000000
1647549121,276,3617,39.713768,2,268.321818,14.000000,18.000000,32.600000,135.020000,769.600000,3617.000000
1647549152,282,3617,39.170213,2,265.467665,14.000000,18.000000,29.000000,130.580000,624.400000,3617.000000
1647549182,285,3617,38.915789,2,264.073506,14.000000,18.000000,29.000000,128.360000,551.800000,3617.000000
1647549212,291,3617,38.422680,2,261.354423,14.000000,18.000000,33.000000,123.920000,406.600000,3617.000000
1647549242,294,3617,38.136054,2,260.028763,14.000000,18.000000,31.500000,121.700000,334.000000,3617.000000
1647549272,300,3617,37.586667,2,257.436012,14.000000,18.000000,29.000000,117.960000,212.510000,3617.000000
1647549302,303,3617,37.369637,2,256.163510,14.000000,18.000000,29.000000,117.840000,211.040000,3617.000000
1647549332,309,3617,36.902913,2,253.679130,14.000000,18.000000,29.000000,117.600000,208.100000,3617.000000
1647549362,312,3617,36.679487,2,252.462903,14.000000,18.000000,29.000000,117.480000,206.630000,3617.000000
1647549392,318,3617,36.132075,2,250.094206,13.500000,18.000000,29.000000,117.240000,203.690000,3617.000000
1647549422,321,3617,35.934579,2,248.927547,14.000000,18.000000,28.700000,117.120000,202.220000,3617.000000
1647549452,327,3617,35.440367,2,246.653172,13.000000,18.000000,27.800000,116.880000,199.280000,3617.000000
