t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,6,0.177918,0.079053,0.019078,0.006563,events/second
1647547440,6,0.093971,0.047948,0.017263,0.006347,events/second
1647547470,6,0.063901,0.029082,0.015620,0.006139,events/second
1647547500,15,0.121025,0.128728,0.042382,0.015739,events/second
1647547530,30,0.194859,0.262633,0.085325,0.031546,events/second
1647547560,33,0.179369,0.199903,0.086797,0.033799,events/second
1647547590,42,0.196264,0.240957,0.107166,0.042535,events/second
1647547620,45,0.184412,0.186756,0.106559,0.044428,events/second
1647547650,51,0.186096,0.195621,0.115614,0.049547,events/second
1647547680,54,0.177594,0.159259,0.114204,0.051210,events/second
1647547710,60,0.179595,0.178943,0.122530,0.056106,events/second
1647547740,63,0.173031,0.149143,0.120462,0.057554,events/second
1647547770,69,0.175077,0.172808,0.128193,0.062242,events/second
1647547801,72,0.169755,0.145422,0.125586,0.063489,events/second
1647547831,78,0.171747,0.170550,0.132830,0.067983,events/second
1647547861,81,0.167294,0.144053,0.129781,0.069041,events/second
1647547891,87,0.169197,0.169720,0.136626,0.073353,events/second
1647547921,90,0.165376,0.143549,0.133216,0.074236,events/second
1647547951,96,0.167180,0.169415,0.139733,0.078377,events/second
1647547981,99,0.163840,0.143364,0.136028,0.079095,events/second
1647548011,105,0.165545,0.169302,0.142278,0.083077,events/second
1647548041,108,0.162580,0.143296,0.138330,0.083641,events/second
1647548071,114,0.164191,0.169261,0.144361,0.087474,events/second
1647548101,117,0.161525,0.143271,0.140215,0.087893,events/second
1647548131,123,0.163048,0.169246,0.146067,0.091587,events/second
1647548161,129,0.164455,0.177636,0.151036,0.095123,events/second
1647548191,135,0.165762,0.190089,0.155858,0.098579,events/second
1647548221,138,0.163421,0.155904,0.150618,0.098635,events/second
1647548251,144,0.164668,0.176908,0.155480,0.101977,events/second
1647548281,150,0.165834,0.147909,0.150276,0.101921,events/second
1647548311,156,0.166929,0.203685,0.164294,0.108387,events/second
1647548341,159,0.164843,0.164150,0.158251,0.108121,events/second
1647548371,165,0.165900,0.181910,0.162386,0.111152,events/second
1647548401,168,0.163966,0.150942,0.156525,0.110795,events/second
1647548431,174,0.164987,0.173899,0.160825,0.113738,events/second
1647548461,177,0.163188,0.146084,0.155112,0.113297,events/second
1647548491,183,0.164177,0.170952,0.159546,0.116158,events/second
1647548521,186,0.162492,0.144296,0.153955,0.115637,events/second
1647548551,192,0.163449,0.169868,0.158499,0.118421,events/second
1647548581,195,0.161865,0.143639,0.153008,0.117826,events/second
1647548611,201,0.162789,0.169469,0.157642,0.120538,events/second
1647548641,204,0.161297,0.143397,0.152232,0.119874,events/second
1647548671,210,0.162191,0.169322,0.156940,0.122519,events/second
1647548701,213,0.160779,0.143308,0.151597,0.121790,events/second
1647548731,219,0.161645,0.169268,0.156366,0.124372,events/second
1647548761,222,0.160306,0.143275,0.151077,0.123582,events/second
