t,value
1647547410,55
1647547440,55
1647547470,55
1647547500,55
1647547530,55
1647547560,55
1647547590,55
1647547620,55
1647547650,55
1647547680,55
1647547710,55
1647547740,55
1647547770,55
1647547801,55
1647547831,55
1647547861,55
1647547891,55
1647547921,55
1647547951,55
1647547981,55
1647548011,55
1647548041,55
1647548071,55
1647548101,55
1647548131,55
1647548161,55
1647548191,55
1647548221,55
1647548251,55
1647548281,55
1647548311,55
1647548341,55
1647548371,55
1647548401,55
1647548431,55
1647548461,55
1647548491,55
1647548521,55
1647548551,55
1647548581,55
1647548611,55
1647548641,55
1647548671,55
1647548701,55
1647548731,55
1647548761,55
1647548791,55
1647548821,55
1647548851,55
1647548881,55
1647548911,55
1647548941,55
1647548971,55
1647549001,55
1647549031,55
1647549061,55
1647549091,55
1647549121,55
1647549152,55
1647549182,55
1647549212,55
1647549242,55
1647549272,55
1647549302,55
1647549332,55
1647549362,55
1647549392,55
1647549422,55
1647549452,55
1647549482,55
1647549512,55
1647549542,55
1647549572,55
1647549602,55
1647549632,55
1647549662,55
1647549692,55
1647549722,55
1647549752,55
1647549782,55
1647549812,55
1647549842,55
1647549872,55
1647549902,55
1647549932,55
1647549962,55
1647549992,55
1647550022,55
1647550052,55
1647550082,55
1647550112,55
1647550142,55
1647550172,55
1647550202,55
1647550232,55
1647550262,55
1647550292,55
1647550322,55
1647550352,55
1647550382,55
1647550412,55
1647550442,55
1647550472,55
1647550502,55
1647550532,55
1647550562,55
1647550593,55
1647550623,55
1647550653,55
1647550683,55
1647550713,55
1647550743,55
1647550773,55
1647550803,55
1647550833,55
1647550863,55
1647550893,55
1647550923,55
1647550953,55
1647550983,55
1647551013,55
1647551043,55
1647551073,55
1647551103,55
1647551133,55
1647551163,55
1647551193,55
1647551224,55
1647551254,55
1647551284,55
1647551314,55
1647551344,55
1647551374,55
1647551404,55
1647551434,55
1647551464,55
1647551494,55
1647551524,55
1647551554,55
1647551584,55
1647551614,55
1647551644,55
1647551674,55
1647551704,55
1647551734,55
1647551764,55
1647551794,55
1647551824,55
1647551854,55
1647551884,55
1647551914,55
1647551944,55
1647551974,55
1647552004,55
1647552034,55
1647552064,55
1647552094,55
1647552124,55
1647552154,55
1647552184,55
1647552214,55
1647552244,55
1647552274,55
1647552304,55
1647552334,55
1647552364,55
1647552394,55
1647552424,55
1647552454,55
1647552487,55
1647552517,55
1647552547,55
1647552577,55
1647552607,55
1647553637,55
1647553667,55
1647553697,55
1647553727,55
1647553757,55
1647553787,55
1647553817,55
1647553847,55
1647553877,55
