t,value
1647547410,126
1647547440,126
1647547470,126
1647547500,126
1647547530,126
1647547560,126
1647547590,126
1647547620,126
1647547650,126
1647547680,126
1647547710,126
1647547740,126
1647547770,126
1647547801,126
1647547831,126
1647547861,126
1647547891,126
1647547921,126
1647547951,126
1647547981,126
1647548011,126
1647548041,126
1647548071,126
1647548101,126
1647548131,126
1647548161,126
1647548191,126
1647548221,126
1647548251,126
1647548281,126
1647548311,126
1647548341,126
1647548371,126
1647548401,126
1647548431,126
1647548461,126
1647548491,126
1647548521,126
1647548551,126
1647548581,126
1647548611,126
1647548641,126
1647548671,126
1647548701,126
1647548731,126
1647548761,126
1647548791,126
1647548821,126
1647548851,126
1647548881,126
1647548911,126
1647548941,126
1647548971,126
1647549001,126
1647549031,126
1647549061,126
1647549091,126
1647549121,126
1647549152,126
1647549182,126
1647549212,126
1647549242,126
1647549272,126
1647549302,126
1647549332,126
1647549362,126
1647549392,126
1647549422,126
1647549452,126
1647549482,126
1647549512,126
1647549542,126
1647549572,126
1647549602,126
1647549632,126
1647549662,126
1647549692,126
1647549722,126
1647549752,126
1647549782,126
1647549812,126
1647549842,126
1647549872,126
1647549902,126
1647549932,126
1647549962,126
1647549992,126
1647550022,126
1647550052,126
1647550082,126
1647550112,126
1647550142,126
1647550172,126
1647550202,126
1647550232,126
1647550262,126
1647550292,126
1647550322,126
1647550352,126
1647550382,126
1647550412,126
1647550442,126
1647550472,126
1647550502,126
1647550532,126
1647550562,126
1647550593,126
1647550623,126
1647550653,126
1647550683,126
1647550713,126
1647550743,126
1647550773,126
1647550803,126
1647550833,126
1647550863,126
1647550893,126
1647550923,126
1647550953,126
1647550983,126
1647551013,126
1647551043,126
1647551073,126
1647551103,126
1647551133,126
1647551163,126
1647551193,126
1647551224,126
1647551254,126
1647551284,126
1647551314,126
1647551344,126
1647551374,126
1647551404,126
1647551434,126
1647551464,126
1647551494,126
1647551524,126
1647551554,126
1647551584,126
1647551614,126
1647551644,126
1647551674,126
1647551704,126
1647551734,126
1647551764,126
1647551794,126
1647551824,126
1647551854,126
1647551884,126
1647551914,126
1647551944,126
1647551974,126
1647552004,126
1647552034,126
1647552064,126
1647552094,126
1647552124,126
1647552154,126
1647552184,126
1647552214,126
1647552244,126
1647552274,126
1647552304,126
1647552334,126
1647552364,126
1647552394,126
1647552424,126
1647552454,126
1647552487,126
1647552517,126
1647552547,126
1647552577,126
1647552607,126
1647553637,126
1647553667,126
1647553697,126
1647553727,126
1647553757,126
1647553787,126
1647553817,126
1647553847,126
1647553877,126
