t,value
1647547410,101
1647547440,101
1647547470,101
1647547500,101
1647547530,101
1647547560,101
1647547590,101
1647547620,101
1647547650,101
1647547680,101
1647547710,101
1647547740,101
1647547770,101
1647547801,101
1647547831,101
1647547861,101
1647547891,101
1647547921,101
1647547951,101
1647547981,101
1647548011,101
1647548041,101
1647548071,101
1647548101,101
1647548131,101
1647548161,101
1647548191,101
1647548221,101
1647548251,101
1647548281,101
1647548311,101
1647548341,101
1647548371,101
1647548401,101
1647548431,101
1647548461,101
1647548491,101
1647548521,101
1647548551,101
1647548581,101
1647548611,101
1647548641,101
1647548671,101
1647548701,101
1647548731,101
1647548761,101
1647548791,101
1647548821,101
1647548851,101
1647548881,101
1647548911,101
1647548941,101
1647548971,101
1647549001,101
1647549031,101
1647549061,101
1647549091,101
1647549121,101
1647549152,101
1647549182,101
1647549212,101
1647549242,101
1647549272,101
1647549302,101
1647549332,101
1647549362,101
1647549392,101
1647549422,101
1647549452,101
1647549482,101
1647549512,101
1647549542,101
1647549572,101
1647549602,101
1647549632,101
1647549662,101
1647549692,101
1647549722,101
1647549752,101
1647549782,101
1647549812,101
1647549842,101
1647549872,101
1647549902,101
1647549932,101
1647549962,101
1647549992,101
1647550022,101
1647550052,101
1647550082,101
1647550112,101
1647550142,101
1647550172,101
1647550202,101
1647550232,101
1647550262,101
1647550292,101
1647550322,101
1647550352,101
1647550382,101
1647550412,101
1647550442,101
1647550472,101
1647550502,101
1647550532,101
1647550562,101
1647550593,101
1647550623,101
1647550653,101
1647550683,101
1647550713,101
1647550743,101
1647550773,101
1647550803,101
1647550833,101
1647550863,101
1647550893,101
1647550923,101
1647550953,101
1647550983,101
1647551013,101
1647551043,101
1647551073,101
1647551103,101
1647551133,101
1647551163,101
1647551193,101
1647551224,101
1647551254,101
1647551284,101
1647551314,101
1647551344,101
1647551374,101
1647551404,101
1647551434,101
1647551464,101
1647551494,101
1647551524,101
1647551554,101
1647551584,101
1647551614,101
1647551644,101
1647551674,101
1647551704,101
1647551734,101
1647551764,101
1647551794,101
1647551824,101
1647551854,101
1647551884,101
1647551914,101
1647551944,101
1647551974,101
1647552004,101
1647552034,101
1647552064,101
1647552094,101
1647552124,101
1647552154,101
1647552184,101
1647552214,101
1647552244,101
1647552274,101
1647552304,101
1647552334,101
1647552364,101
1647552394,101
1647552424,101
1647552454,101
1647552487,101
1647552517,101
1647552547,101
1647552577,101
1647552607,101
1647553637,101
1647553667,101
1647553697,101
1647553727,101
1647553757,101
1647553787,101
1647553817,101
1647553847,101
1647553877,101
