t,value
1647547410,8
1647547440,8
1647547470,8
1647547500,8
1647547530,8
1647547560,8
1647547590,8
1647547620,8
1647547650,8
1647547680,8
1647547710,8
1647547740,8
1647547770,8
1647547801,8
1647547831,8
1647547861,8
1647547891,8
1647547921,8
1647547951,8
1647547981,8
1647548011,8
1647548041,8
1647548071,8
1647548101,8
1647548131,8
1647548161,8
1647548191,8
1647548221,8
1647548251,8
1647548281,8
1647548311,8
1647548341,8
1647548371,8
1647548401,8
1647548431,8
1647548461,8
1647548491,8
1647548521,8
1647548551,8
1647548581,8
1647548611,8
1647548641,8
1647548671,8
1647548701,8
1647548731,8
1647548761,8
1647548791,8
1647548821,8
1647548851,8
1647548881,8
1647548911,8
1647548941,8
1647548971,8
1647549001,8
1647549031,8
1647549061,8
1647549091,8
1647549121,8
1647549152,8
1647549182,8
1647549212,8
1647549242,8
1647549272,8
1647549302,8
1647549332,8
1647549362,8
1647549392,8
1647549422,8
1647549452,8
1647549482,8
1647549512,8
1647549542,8
1647549572,8
1647549602,8
1647549632,8
1647549662,8
1647549692,8
1647549722,8
1647549752,8
1647549782,8
1647549812,8
1647549842,8
1647549872,8
1647549902,8
1647549932,8
1647549962,8
1647549992,8
1647550022,8
1647550052,8
1647550082,8
1647550112,8
1647550142,8
1647550172,8
1647550202,8
1647550232,8
1647550262,8
1647550292,8
1647550322,8
1647550352,8
1647550382,8
1647550412,8
1647550442,8
1647550472,8
1647550502,8
1647550532,8
1647550562,8
1647550593,8
1647550623,8
1647550653,8
1647550683,8
1647550713,8
1647550743,8
1647550773,8
1647550803,8
1647550833,8
1647550863,8
1647550893,8
1647550923,8
1647550953,8
1647550983,8
1647551013,8
1647551043,8
1647551073,8
1647551103,8
1647551133,8
1647551163,8
1647551193,8
1647551224,8
1647551254,8
1647551284,8
1647551314,8
1647551344,8
1647551374,8
1647551404,8
1647551434,8
1647551464,8
1647551494,8
1647551524,8
1647551554,8
1647551584,8
1647551614,8
1647551644,8
1647551674,8
1647551704,8
1647551734,8
1647551764,8
1647551794,8
1647551824,8
1647551854,8
1647551884,8
1647551914,8
1647551944,8
1647551974,8
1647552004,8
1647552034,8
1647552064,8
1647552094,8
1647552124,8
1647552154,8
1647552184,8
1647552214,8
1647552244,8
1647552274,8
1647552304,8
1647552334,8
1647552364,8
1647552394,8
1647552424,8
1647552454,8
1647552487,8
1647552517,8
1647552547,8
1647552577,8
1647552607,8
1647553637,8
1647553667,8
1647553697,8
1647553727,8
1647553757,8
1647553787,8
1647553817,8
1647553847,8
1647553877,8
