t,value
1647547410,770048
1647547440,770048
1647547470,770048
1647547500,770048
1647547530,770048
1647547560,770048
1647547590,770048
1647547620,770048
1647547650,770048
1647547680,770048
1647547710,770048
1647547740,770048
1647547770,770048
1647547801,770048
1647547831,770048
1647547861,770048
1647547891,770048
1647547921,770048
1647547951,770048
1647547981,1016606
1647548011,1016606
1647548041,1016606
1647548071,1016606
1647548101,1016606
1647548131,1016606
1647548161,1016606
1647548191,1016606
1647548221,1016606
1647548251,1016606
1647548281,1016606
1647548311,1016606
1647548341,1016606
1647548371,1016606
1647548401,1016606
1647548431,1016606
1647548461,1016606
1647548491,1016606
1647548521,1016606
1647548551,1016606
1647548581,1155870
1647548611,1155870
1647548641,1155870
1647548671,1155870
1647548701,1155870
1647548731,1155870
1647548761,1155870
1647548791,1155870
1647548821,1155870
1647548851,1155870
1647548881,1155870
1647548911,1155870
1647548941,1155870
1647548971,1155870
1647549001,1155870
1647549031,1155870
1647549061,1155870
1647549091,1155870
1647549121,1155870
1647549152,1155870
1647549182,1155870
1647549212,1155870
1647549242,1155870
1647549272,1155870
1647549302,1155870
1647549332,1155870
1647549362,1155870
1647549392,1155870
1647549422,1155870
1647549452,1155870
1647549482,1155870
1647549512,1155870
1647549542,1155870
1647549572,1155870
1647549602,1155870
1647549632,1155870
1647549662,1155870
1647549692,1155870
1647549722,1155870
1647549752,1155870
1647549782,1155870
1647549812,1155870
1647549842,1155870
1647549872,1155870
1647549902,1155870
1647549932,1155870
1647549962,1155870
1647549992,1155870
1647550022,1155870
1647550052,1155870
1647550082,1155870
1647550112,1155870
1647550142,1155870
1647550172,1155870
1647550202,1155870
1647550232,1155870
1647550262,1155870
1647550292,1155870
1647550322,1155870
1647550352,1155870
1647550382,1155870
1647550412,1155870
1647550442,1155870
1647550472,1155870
1647550502,1155870
1647550532,1155870
1647550562,1155870
1647550593,1155870
1647550623,1155870
1647550653,1155870
1647550683,1155870
1647550713,1155870
1647550743,1155870
1647550773,1155870
1647550803,1155870
1647550833,1155870
1647550863,1155870
1647550893,1155870
1647550923,1155870
1647550953,1155870
1647550983,1155870
1647551013,1155870
1647551043,1155870
1647551073,1155870
1647551103,1155870
1647551133,1155870
1647551163,1155870
1647551193,1155870
1647551224,1155870
1647551254,1155870
1647551284,1155870
1647551314,1155870
1647551344,1155870
1647551374,1155870
1647551404,1155870
1647551434,1155870
1647551464,1155870
1647551494,1155870
1647551524,1155870
1647551554,1155870
1647551584,1155870
1647551614,1155870
1647551644,1155870
1647551674,1155870
1647551704,1155870
1647551734,1155870
1647551764,1155870
1647551794,1155870
1647551824,1155870
1647551854,1155870
1647551884,1155870
1647551914,1155870
1647551944,1155870
1647551974,1155870
1647552004,1155870
1647552034,1155870
1647552064,1155870
1647552094,1155870
1647552124,1155870
1647552154,1155870
1647552184,1155870
1647552214,1155870
1647552244,1155870
1647552274,1155870
1647552304,1155870
1647552334,1155870
1647552364,1155870
1647552394,1155870
1647552424,1155870
1647552454,1155870
1647552487,1155870
1647552517,1155870
1647552547,1155870
1647552577,1155870
1647552607,1155870
1647553637,1155891
1647553667,1155891
1647553697,1155891
1647553727,1155891
1647553757,1155891
1647553787,1155891
1647553817,1155891
1647553847,1155891
1647553877,1155891
