t,value
1647547410,770048
1647547440,770048
1647547470,770048
1647547500,770048
1647547530,770048
1647547560,770048
1647547590,770048
1647547620,770048
1647547650,770048
1647547680,770048
1647547710,770048
1647547740,770048
1647547770,770048
1647547801,770048
1647547831,770048
1647547861,770048
1647547891,770048
1647547921,770048
1647547951,770048
1647547981,1065490
1647548011,1065490
1647548041,1065490
1647548071,1065490
1647548101,1065490
1647548131,1065490
1647548161,1065490
1647548191,1065490
1647548221,1065490
1647548251,1065490
1647548281,1065490
1647548311,1065490
1647548341,1065490
1647548371,1065490
1647548401,1065490
1647548431,1065490
1647548461,1065490
1647548491,1065490
1647548521,1065490
1647548551,1065490
1647548581,1204946
1647548611,1204946
1647548641,1204946
1647548671,1204946
1647548701,1204946
1647548731,1204946
1647548761,1204946
1647548791,1204946
1647548821,1204946
1647548851,1204946
1647548881,1204946
1647548911,1204946
1647548941,1204946
1647548971,1204946
1647549001,1204946
1647549031,1204946
1647549061,1204946
1647549091,1204946
1647549121,1204946
1647549152,1204946
1647549182,1204946
1647549212,1204946
1647549242,1204946
1647549272,1204946
1647549302,1204946
1647549332,1204946
1647549362,1204946
1647549392,1204946
1647549422,1204946
1647549452,1204946
1647549482,1204946
1647549512,1204946
1647549542,1204946
1647549572,1204946
1647549602,1204946
1647549632,1204946
1647549662,1204946
1647549692,1204946
1647549722,1204946
1647549752,1204946
1647549782,1204946
1647549812,1204946
1647549842,1204946
1647549872,1204946
1647549902,1204946
1647549932,1204946
1647549962,1204946
1647549992,1204946
1647550022,1204946
1647550052,1204946
1647550082,1204946
1647550112,1204946
1647550142,1204946
1647550172,1204946
1647550202,1204946
1647550232,1204946
1647550262,1204946
1647550292,1204946
1647550322,1204946
1647550352,1204946
1647550382,1204946
1647550412,1204946
1647550442,1204946
1647550472,1204946
1647550502,1204946
1647550532,1204946
1647550562,1204946
1647550593,1204946
1647550623,1204946
1647550653,1204946
1647550683,1204946
1647550713,1204946
1647550743,1204946
1647550773,1204946
1647550803,1204946
1647550833,1204946
1647550863,1204946
1647550893,1204946
1647550923,1204946
1647550953,1204946
1647550983,1204946
1647551013,1204946
1647551043,1204946
1647551073,1204946
1647551103,1204946
1647551133,1204946
1647551163,1204946
1647551193,1204946
1647551224,1204946
1647551254,1204946
1647551284,1204946
1647551314,1204946
1647551344,1204946
1647551374,1204946
1647551404,1204946
1647551434,1204946
1647551464,1204946
1647551494,1204946
1647551524,1204946
1647551554,1204946
1647551584,1204946
1647551614,1204946
1647551644,1204946
1647551674,1204946
1647551704,1204946
1647551734,1204946
1647551764,1204946
1647551794,1204946
1647551824,1204946
1647551854,1204946
1647551884,1204946
1647551914,1204946
1647551944,1204946
1647551974,1204946
1647552004,1204946
1647552034,1204946
1647552064,1204946
1647552094,1204946
1647552124,1204946
1647552154,1204946
1647552184,1204946
1647552214,1204946
1647552244,1204946
1647552274,1204946
1647552304,1204946
1647552334,1204946
1647552364,1204946
1647552394,1204946
1647552424,1204946
1647552454,1204946
1647552487,1204946
1647552517,1204946
1647552547,1204946
1647552577,1204946
1647552607,1204946
1647553637,1204967
1647553667,1204967
1647553697,1204967
1647553727,1204967
1647553757,1204967
1647553787,1204967
1647553817,1204967
1647553847,1204967
1647553877,1204967
