t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,92,2.873846,0.000000,0.000000,0.000000,events/second
1647547440,92,1.480704,0.000000,0.000000,0.000000,events/second
1647547470,92,0.998062,0.000000,0.000000,0.000000,events/second
1647547500,101,0.826350,0.000000,0.000000,0.000000,events/second
1647547530,116,0.761956,0.000000,0.000000,0.000000,events/second
1647547560,119,0.652910,0.000000,0.000000,0.000000,events/second
1647547590,128,0.602978,0.000000,0.000000,0.000000,events/second
1647547620,131,0.540647,0.000000,0.000000,0.000000,events/second
1647547650,137,0.503058,0.000000,0.000000,0.000000,events/second
1647547680,140,0.463043,0.000000,0.000000,0.000000,events/second
1647547710,146,0.439274,0.000000,0.000000,0.000000,events/second
1647547740,149,0.411172,0.000000,0.000000,0.000000,events/second
1647547770,155,0.395011,0.000000,0.000000,0.000000,events/second
1647547801,158,0.374032,0.000000,0.000000,0.000000,events/second
1647547831,164,0.362480,0.000000,0.000000,0.000000,events/second
1647547861,167,0.346143,0.000000,0.000000,0.000000,events/second
1647547891,173,0.337576,0.000000,0.000000,0.000000,events/second
1647547921,176,0.324425,0.000000,0.000000,0.000000,events/second
1647547951,182,0.317896,0.000000,0.000000,0.000000,events/second
1647547981,185,0.307039,0.000000,0.000000,0.000000,events/second
1647548011,192,0.303533,0.000000,0.000000,0.000000,events/second
1647548041,195,0.294307,0.000000,0.000000,0.000000,events/second
1647548071,201,0.290212,0.000000,0.000000,0.000000,events/second
1647548101,204,0.282303,0.000000,0.000000,0.000000,events/second
1647548131,210,0.279009,0.000000,0.000000,0.000000,events/second
1647548161,216,0.275971,0.000000,0.000000,0.000000,events/second
1647548191,222,0.273162,0.000000,0.000000,0.000000,events/second
1647548221,225,0.266990,0.000000,0.000000,0.000000,events/second
1647548251,231,0.264675,0.000000,0.000000,0.000000,events/second
1647548281,237,0.262517,0.000000,0.000000,0.000000,events/second
1647548311,243,0.260503,0.000000,0.000000,0.000000,events/second
1647548341,246,0.255495,0.000000,0.000000,0.000000,events/second
1647548371,252,0.253813,0.000000,0.000000,0.000000,events/second
1647548401,255,0.249294,0.000000,0.000000,0.000000,events/second
1647548431,261,0.247885,0.000000,0.000000,0.000000,events/second
1647548461,264,0.243785,0.000000,0.000000,0.000000,events/second
1647548491,270,0.242603,0.000000,0.000000,0.000000,events/second
1647548521,273,0.238855,0.000000,0.000000,0.000000,events/second
1647548551,279,0.237859,0.000000,0.000000,0.000000,events/second
1647548581,282,0.234416,0.000000,0.000000,0.000000,events/second
1647548611,289,0.234386,0.000000,0.000000,0.000000,events/second
1647548641,292,0.231190,0.000000,0.000000,0.000000,events/second
1647548671,298,0.230462,0.000000,0.000000,0.000000,events/second
1647548701,301,0.227500,0.000000,0.000000,0.000000,events/second
1647548731,307,0.226885,0.000000,0.000000,0.000000,events/second
1647548761,310,0.224129,0.000000,0.000000,0.000000,events/second
1647548791,316,0.223614,0.000000,0.000000,0.000000,events/second
1647548821,319,0.221042,0.000000,0.000000,0.000000,events/second
1647548851,325,0.220612,0.000000,0.000000,0.000000,events/second
1647548881,328,0.218201,0.000000,0.000000,0.000000,events/second
1647548911,334,0.217841,0.000000,0.000000,0.000000,events/second
1647548941,337,0.215575,0.000000,0.000000,0.000000,events/second
1647548971,343,0.215280,0.000000,0.000000,0.000000,events/second
1647549001,346,0.213144,0.000000,0.000000,0.000000,events/second
1647549031,352,0.212901,0.000000,0.000000,0.000000,events/second
1647549061,355,0.210887,0.000000,0.000000,0.000000,events/second
1647549091,361,0.210695,0.000000,0.000000,0.000000,events/second
1647549121,364,0.208789,0.000000,0.000000,0.000000,events/second
1647549152,370,0.208638,0.000000,0.000000,0.000000,events/second
1647549182,373,0.206828,0.000000,0.000000,0.000000,events/second
1647549212,380,0.207259,0.000000,0.000000,0.000000,events/second
1647549242,383,0.205530,0.000000,0.000000,0.000000,events/second
1647549272,389,0.205441,0.000000,0.000000,0.000000,events/second
1647549302,392,0.203794,0.000000,0.000000,0.000000,events/second
1647549332,398,0.203733,0.000000,0.000000,0.000000,events/second
1647549362,401,0.202163,0.000000,0.000000,0.000000,events/second
1647549392,407,0.202129,0.000000,0.000000,0.000000,events/second
1647549422,410,0.200628,0.000000,0.000000,0.000000,events/second
1647549452,416,0.200617,0.000000,0.000000,0.000000,events/second
1647549482,419,0.199180,0.000000,0.000000,0.000000,events/second
1647549512,425,0.199190,0.000000,0.000000,0.000000,events/second
