t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,20,0.624630,0.000000,0.000000,0.000000,events/second
1647547440,20,0.321895,0.000000,0.000000,0.000000,events/second
1647547470,20,0.216971,0.000000,0.000000,0.000000,events/second
1647547500,29,0.237270,0.000000,0.000000,0.000000,events/second
1647547530,44,0.289019,0.000000,0.000000,0.000000,events/second
1647547560,47,0.257873,0.000000,0.000000,0.000000,events/second
1647547590,56,0.263804,0.000000,0.000000,0.000000,events/second
1647547620,59,0.243498,0.000000,0.000000,0.000000,events/second
1647547650,65,0.238677,0.000000,0.000000,0.000000,events/second
1647547680,68,0.224907,0.000000,0.000000,0.000000,events/second
1647547710,74,0.222646,0.000000,0.000000,0.000000,events/second
1647547740,77,0.212485,0.000000,0.000000,0.000000,events/second
1647547770,83,0.211522,0.000000,0.000000,0.000000,events/second
1647547801,86,0.203587,0.000000,0.000000,0.000000,events/second
1647547831,92,0.203342,0.000000,0.000000,0.000000,events/second
1647547861,95,0.196908,0.000000,0.000000,0.000000,events/second
1647547891,101,0.197082,0.000000,0.000000,0.000000,events/second
1647547921,104,0.191706,0.000000,0.000000,0.000000,events/second
1647547951,110,0.192135,0.000000,0.000000,0.000000,events/second
1647547981,113,0.187543,0.000000,0.000000,0.000000,events/second
1647548011,120,0.189708,0.000000,0.000000,0.000000,events/second
1647548041,123,0.185640,0.000000,0.000000,0.000000,events/second
1647548071,129,0.186256,0.000000,0.000000,0.000000,events/second
1647548101,132,0.182667,0.000000,0.000000,0.000000,events/second
1647548131,138,0.183349,0.000000,0.000000,0.000000,events/second
1647548161,144,0.183981,0.000000,0.000000,0.000000,events/second
1647548191,150,0.184569,0.000000,0.000000,0.000000,events/second
1647548221,153,0.181553,0.000000,0.000000,0.000000,events/second
1647548251,159,0.182179,0.000000,0.000000,0.000000,events/second
1647548281,165,0.182765,0.000000,0.000000,0.000000,events/second
1647548311,171,0.183317,0.000000,0.000000,0.000000,events/second
1647548341,174,0.180716,0.000000,0.000000,0.000000,events/second
1647548371,180,0.181295,0.000000,0.000000,0.000000,events/second
1647548401,183,0.178905,0.000000,0.000000,0.000000,events/second
1647548431,189,0.179503,0.000000,0.000000,0.000000,events/second
1647548461,192,0.177298,0.000000,0.000000,0.000000,events/second
1647548491,198,0.177909,0.000000,0.000000,0.000000,events/second
1647548521,201,0.175861,0.000000,0.000000,0.000000,events/second
1647548551,207,0.176476,0.000000,0.000000,0.000000,events/second
1647548581,210,0.174565,0.000000,0.000000,0.000000,events/second
1647548611,217,0.175992,0.000000,0.000000,0.000000,events/second
1647548641,220,0.174185,0.000000,0.000000,0.000000,events/second
1647548671,226,0.174780,0.000000,0.000000,0.000000,events/second
1647548701,229,0.173081,0.000000,0.000000,0.000000,events/second
1647548731,235,0.173674,0.000000,0.000000,0.000000,events/second
1647548761,238,0.172073,0.000000,0.000000,0.000000,events/second
1647548791,244,0.172664,0.000000,0.000000,0.000000,events/second
1647548821,247,0.171152,0.000000,0.000000,0.000000,events/second
1647548851,253,0.171738,0.000000,0.000000,0.000000,events/second
1647548881,256,0.170303,0.000000,0.000000,0.000000,events/second
1647548911,262,0.170881,0.000000,0.000000,0.000000,events/second
1647548941,265,0.169518,0.000000,0.000000,0.000000,events/second
1647548971,271,0.170090,0.000000,0.000000,0.000000,events/second
1647549001,274,0.168791,0.000000,0.000000,0.000000,events/second
1647549031,280,0.169353,0.000000,0.000000,0.000000,events/second
1647549061,283,0.168116,0.000000,0.000000,0.000000,events/second
1647549091,289,0.168673,0.000000,0.000000,0.000000,events/second
1647549121,292,0.167491,0.000000,0.000000,0.000000,events/second
1647549152,298,0.168038,0.000000,0.000000,0.000000,events/second
1647549182,301,0.166904,0.000000,0.000000,0.000000,events/second
1647549212,308,0.167989,0.000000,0.000000,0.000000,events/second
1647549242,311,0.166892,0.000000,0.000000,0.000000,events/second
1647549272,317,0.167416,0.000000,0.000000,0.000000,events/second
1647549302,320,0.166363,0.000000,0.000000,0.000000,events/second
1647549332,326,0.166877,0.000000,0.000000,0.000000,events/second
1647549362,329,0.165864,0.000000,0.000000,0.000000,events/second
1647549392,335,0.166372,0.000000,0.000000,0.000000,events/second
1647549422,338,0.165396,0.000000,0.000000,0.000000,events/second
1647549452,344,0.165895,0.000000,0.000000,0.000000,events/second
1647549482,347,0.164953,0.000000,0.000000,0.000000,events/second
1647549512,353,0.165445,0.000000,0.000000,0.000000,events/second
1647549542,356,0.164535,0.000000,0.000000,0.000000,events/second
1647549572,362,0.165019,0.000000,0.000000,0.000000,events/second
1647549602,368,0.165489,0.000000,0.000000,0.000000,events/second
1647549632,374,0.165947,0.000000,0.000000,0.000000,events/second
1647549662,377,0.165079,0.000000,0.000000,0.000000,events/second
1647549692,386,0.166827,0.000000,0.000000,0.000000,events/second
1647549722,389,0.165970,0.000000,0.000000,0.000000,events/second
1647549752,395,0.166397,0.000000,0.000000,0.000000,events/second
1647549782,398,0.165567,0.000000,0.000000,0.000000,events/second
1647549812,408,0.167634,0.000000,0.000000,0.000000,events/second
1647549842,414,0.168027,0.000000,0.000000,0.000000,events/second
1647549872,423,0.169613,0.000000,0.000000,0.000000,events/second
1647549902,432,0.171162,0.000000,0.000000,0.000000,events/second
1647549932,441,0.172674,0.000000,0.000000,0.000000,events/second
1647549962,447,0.172986,0.000000,0.000000,0.000000,events/second
1647549992,453,0.173296,0.000000,0.000000,0.000000,events/second
1647550022,456,0.172463,0.000000,0.000000,0.000000,events/second
1647550052,465,0.173892,0.000000,0.000000,0.000000,events/second
1647550082,471,0.174181,0.000000,0.000000,0.000000,events/second
1647550112,477,0.174463,0.000000,0.000000,0.000000,events/second
1647550142,480,0.173654,0.000000,0.000000,0.000000,events/second
1647550172,486,0.173935,0.000000,0.000000,0.000000,events/second
1647550202,489,0.173148,0.000000,0.000000,0.000000,events/second
1647550232,498,0.174482,0.000000,0.000000,0.000000,events/second
1647550262,510,0.176826,0.000000,0.000000,0.000000,events/second
1647550292,516,0.177063,0.000000,0.000000,0.000000,events/second
1647550322,525,0.178314,0.000000,0.000000,0.000000,events/second
1647550352,534,0.179541,0.000000,0.000000,0.000000,events/second
1647550382,537,0.178745,0.000000,0.000000,0.000000,events/second
1647550412,544,0.179283,0.000000,0.000000,0.000000,events/second
1647550442,547,0.178506,0.000000,0.000000,0.000000,events/second
1647550472,553,0.178714,0.000000,0.000000,0.000000,events/second
1647550502,556,0.177957,0.000000,0.000000,0.000000,events/second
1647550532,562,0.178166,0.000000,0.000000,0.000000,events/second
1647550562,565,0.177428,0.000000,0.000000,0.000000,events/second
1647550593,571,0.177637,0.000000,0.000000,0.000000,events/second
1647550623,574,0.176919,0.000000,0.000000,0.000000,events/second
1647550653,580,0.177129,0.000000,0.000000,0.000000,events/second
1647550683,583,0.176428,0.000000,0.000000,0.000000,events/second
1647550713,589,0.176640,0.000000,0.000000,0.000000,events/second
1647550743,592,0.175956,0.000000,0.000000,0.000000,events/second
1647550773,598,0.176167,0.000000,0.000000,0.000000,events/second
1647550803,601,0.175499,0.000000,0.000000,0.000000,events/second
