t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,72,2.248196,0.000000,0.000000,0.000000,events/second
1647547440,72,1.158830,0.000000,0.000000,0.000000,events/second
1647547470,72,0.781101,0.000000,0.000000,0.000000,events/second
1647547500,72,0.589085,0.000000,0.000000,0.000000,events/second
1647547530,72,0.472943,0.000000,0.000000,0.000000,events/second
1647547560,72,0.395041,0.000000,0.000000,0.000000,events/second
1647547590,72,0.339178,0.000000,0.000000,0.000000,events/second
1647547620,72,0.297151,0.000000,0.000000,0.000000,events/second
1647547650,72,0.264382,0.000000,0.000000,0.000000,events/second
1647547680,72,0.238138,0.000000,0.000000,0.000000,events/second
1647547710,72,0.216629,0.000000,0.000000,0.000000,events/second
1647547740,72,0.198688,0.000000,0.000000,0.000000,events/second
1647547770,72,0.183489,0.000000,0.000000,0.000000,events/second
1647547801,72,0.170446,0.000000,0.000000,0.000000,events/second
1647547831,72,0.159138,0.000000,0.000000,0.000000,events/second
1647547861,72,0.149236,0.000000,0.000000,0.000000,events/second
1647547891,72,0.140494,0.000000,0.000000,0.000000,events/second
1647547921,72,0.132719,0.000000,0.000000,0.000000,events/second
1647547951,72,0.125761,0.000000,0.000000,0.000000,events/second
1647547981,72,0.119496,0.000000,0.000000,0.000000,events/second
1647548011,72,0.113825,0.000000,0.000000,0.000000,events/second
1647548041,72,0.108667,0.000000,0.000000,0.000000,events/second
1647548071,72,0.103957,0.000000,0.000000,0.000000,events/second
1647548101,72,0.099637,0.000000,0.000000,0.000000,events/second
1647548131,72,0.095660,0.000000,0.000000,0.000000,events/second
1647548161,72,0.091991,0.000000,0.000000,0.000000,events/second
1647548191,72,0.088593,0.000000,0.000000,0.000000,events/second
1647548221,72,0.085437,0.000000,0.000000,0.000000,events/second
1647548251,72,0.082496,0.000000,0.000000,0.000000,events/second
1647548281,72,0.079752,0.000000,0.000000,0.000000,events/second
1647548311,72,0.077186,0.000000,0.000000,0.000000,events/second
1647548341,72,0.074779,0.000000,0.000000,0.000000,events/second
1647548371,72,0.072518,0.000000,0.000000,0.000000,events/second
1647548401,72,0.070389,0.000000,0.000000,0.000000,events/second
1647548431,72,0.068382,0.000000,0.000000,0.000000,events/second
1647548461,72,0.066487,0.000000,0.000000,0.000000,events/second
1647548491,72,0.064694,0.000000,0.000000,0.000000,events/second
1647548521,72,0.062995,0.000000,0.000000,0.000000,events/second
1647548551,72,0.061383,0.000000,0.000000,0.000000,events/second
1647548581,72,0.059851,0.000000,0.000000,0.000000,events/second
1647548611,72,0.058394,0.000000,0.000000,0.000000,events/second
1647548641,72,0.057006,0.000000,0.000000,0.000000,events/second
1647548671,72,0.055682,0.000000,0.000000,0.000000,events/second
1647548701,72,0.054419,0.000000,0.000000,0.000000,events/second
1647548731,72,0.053211,0.000000,0.000000,0.000000,events/second
1647548761,72,0.052056,0.000000,0.000000,0.000000,events/second
1647548791,72,0.050950,0.000000,0.000000,0.000000,events/second
1647548821,72,0.049890,0.000000,0.000000,0.000000,events/second
1647548851,72,0.048874,0.000000,0.000000,0.000000,events/second
1647548881,72,0.047898,0.000000,0.000000,0.000000,events/second
1647548911,72,0.046960,0.000000,0.000000,0.000000,events/second
1647548941,72,0.046058,0.000000,0.000000,0.000000,events/second
1647548971,72,0.045190,0.000000,0.000000,0.000000,events/second
1647549001,72,0.044354,0.000000,0.000000,0.000000,events/second
1647549031,72,0.043548,0.000000,0.000000,0.000000,events/second
1647549061,72,0.042772,0.000000,0.000000,0.000000,events/second
1647549091,72,0.042022,0.000000,0.000000,0.000000,events/second
1647549121,72,0.041299,0.000000,0.000000,0.000000,events/second
1647549152,72,0.040600,0.000000,0.000000,0.000000,events/second
1647549182,72,0.039924,0.000000,0.000000,0.000000,events/second
1647549212,72,0.039270,0.000000,0.000000,0.000000,events/second
1647549242,72,0.038637,0.000000,0.000000,0.000000,events/second
1647549272,72,0.038025,0.000000,0.000000,0.000000,events/second
1647549302,72,0.037432,0.000000,0.000000,0.000000,events/second
1647549332,72,0.036856,0.000000,0.000000,0.000000,events/second
1647549362,72,0.036299,0.000000,0.000000,0.000000,events/second
1647549392,72,0.035757,0.000000,0.000000,0.000000,events/second
1647549422,72,0.035232,0.000000,0.000000,0.000000,events/second
1647549452,72,0.034722,0.000000,0.000000,0.000000,events/second
1647549482,72,0.034227,0.000000,0.000000,0.000000,events/second
1647549512,72,0.033745,0.000000,0.000000,0.000000,events/second
1647549542,72,0.033277,0.000000,0.000000,0.000000,events/second
1647549572,72,0.032821,0.000000,0.000000,0.000000,events/second
1647549602,72,0.032378,0.000000,0.000000,0.000000,events/second
