t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,73,2.279292,0.000000,0.000000,0.000000,events/second
1647547440,73,1.175033,0.000000,0.000000,0.000000,events/second
1647547470,73,0.792001,0.000000,0.000000,0.000000,events/second
1647547500,73,0.597294,0.000000,0.000000,0.000000,events/second
1647547530,73,0.479531,0.000000,0.000000,0.000000,events/second
1647547560,73,0.400541,0.000000,0.000000,0.000000,events/second
1647547590,73,0.343898,0.000000,0.000000,0.000000,events/second
1647547620,73,0.301286,0.000000,0.000000,0.000000,events/second
1647547650,73,0.268060,0.000000,0.000000,0.000000,events/second
1647547680,73,0.241450,0.000000,0.000000,0.000000,events/second
1647547710,73,0.219642,0.000000,0.000000,0.000000,events/second
1647547740,73,0.201451,0.000000,0.000000,0.000000,events/second
1647547770,73,0.186041,0.000000,0.000000,0.000000,events/second
1647547801,73,0.172815,0.000000,0.000000,0.000000,events/second
1647547831,73,0.161350,0.000000,0.000000,0.000000,events/second
1647547861,73,0.151310,0.000000,0.000000,0.000000,events/second
1647547891,73,0.142448,0.000000,0.000000,0.000000,events/second
1647547921,73,0.134564,0.000000,0.000000,0.000000,events/second
1647547951,73,0.127510,0.000000,0.000000,0.000000,events/second
1647547981,73,0.121157,0.000000,0.000000,0.000000,events/second
1647548011,73,0.115407,0.000000,0.000000,0.000000,events/second
1647548041,73,0.110178,0.000000,0.000000,0.000000,events/second
1647548071,73,0.105402,0.000000,0.000000,0.000000,events/second
1647548101,73,0.101021,0.000000,0.000000,0.000000,events/second
1647548131,73,0.096990,0.000000,0.000000,0.000000,events/second
1647548161,73,0.093269,0.000000,0.000000,0.000000,events/second
1647548191,73,0.089824,0.000000,0.000000,0.000000,events/second
1647548221,73,0.086624,0.000000,0.000000,0.000000,events/second
1647548251,73,0.083643,0.000000,0.000000,0.000000,events/second
1647548281,73,0.080860,0.000000,0.000000,0.000000,events/second
1647548311,73,0.078259,0.000000,0.000000,0.000000,events/second
1647548341,73,0.075818,0.000000,0.000000,0.000000,events/second
1647548371,73,0.073526,0.000000,0.000000,0.000000,events/second
1647548401,73,0.071367,0.000000,0.000000,0.000000,events/second
1647548431,73,0.069332,0.000000,0.000000,0.000000,events/second
1647548461,73,0.067411,0.000000,0.000000,0.000000,events/second
1647548491,73,0.065593,0.000000,0.000000,0.000000,events/second
1647548521,73,0.063870,0.000000,0.000000,0.000000,events/second
1647548551,73,0.062236,0.000000,0.000000,0.000000,events/second
1647548581,73,0.060683,0.000000,0.000000,0.000000,events/second
1647548611,73,0.059205,0.000000,0.000000,0.000000,events/second
1647548641,73,0.057798,0.000000,0.000000,0.000000,events/second
1647548671,73,0.056456,0.000000,0.000000,0.000000,events/second
1647548701,73,0.055175,0.000000,0.000000,0.000000,events/second
1647548731,73,0.053950,0.000000,0.000000,0.000000,events/second
1647548761,73,0.052779,0.000000,0.000000,0.000000,events/second
1647548791,73,0.051658,0.000000,0.000000,0.000000,events/second
1647548821,73,0.050584,0.000000,0.000000,0.000000,events/second
1647548851,73,0.049553,0.000000,0.000000,0.000000,events/second
1647548881,73,0.048563,0.000000,0.000000,0.000000,events/second
1647548911,73,0.047612,0.000000,0.000000,0.000000,events/second
1647548941,73,0.046698,0.000000,0.000000,0.000000,events/second
1647548971,73,0.045818,0.000000,0.000000,0.000000,events/second
1647549001,73,0.044970,0.000000,0.000000,0.000000,events/second
1647549031,73,0.044153,0.000000,0.000000,0.000000,events/second
1647549061,73,0.043366,0.000000,0.000000,0.000000,events/second
1647549091,73,0.042606,0.000000,0.000000,0.000000,events/second
1647549121,73,0.041873,0.000000,0.000000,0.000000,events/second
1647549152,73,0.041164,0.000000,0.000000,0.000000,events/second
1647549182,73,0.040479,0.000000,0.000000,0.000000,events/second
1647549212,73,0.039816,0.000000,0.000000,0.000000,events/second
1647549242,73,0.039174,0.000000,0.000000,0.000000,events/second
1647549272,73,0.038553,0.000000,0.000000,0.000000,events/second
1647549302,73,0.037952,0.000000,0.000000,0.000000,events/second
1647549332,73,0.037368,0.000000,0.000000,0.000000,events/second
1647549362,73,0.036803,0.000000,0.000000,0.000000,events/second
1647549392,73,0.036254,0.000000,0.000000,0.000000,events/second
1647549422,73,0.035722,0.000000,0.000000,0.000000,events/second
1647549452,73,0.035205,0.000000,0.000000,0.000000,events/second
1647549482,73,0.034702,0.000000,0.000000,0.000000,events/second
1647549512,73,0.034214,0.000000,0.000000,0.000000,events/second
1647549542,73,0.033739,0.000000,0.000000,0.000000,events/second
1647549572,73,0.033277,0.000000,0.000000,0.000000,events/second
1647549602,73,0.032828,0.000000,0.000000,0.000000,events/second
1647549632,73,0.032391,0.000000,0.000000,0.000000,events/second
1647549662,73,0.031965,0.000000,0.000000,0.000000,events/second
1647549692,73,0.031550,0.000000,0.000000,0.000000,events/second
1647549722,73,0.031146,0.000000,0.000000,0.000000,events/second
1647549752,73,0.030752,0.000000,0.000000,0.000000,events/second
1647549782,73,0.030368,0.000000,0.000000,0.000000,events/second
1647549812,73,0.029993,0.000000,0.000000,0.000000,events/second
1647549842,73,0.029628,0.000000,0.000000,0.000000,events/second
1647549872,73,0.029271,0.000000,0.000000,0.000000,events/second
1647549902,73,0.028923,0.000000,0.000000,0.000000,events/second
1647549932,73,0.028583,0.000000,0.000000,0.000000,events/second
1647549962,73,0.028251,0.000000,0.000000,0.000000,events/second
1647549992,73,0.027926,0.000000,0.000000,0.000000,events/second
1647550022,73,0.027609,0.000000,0.000000,0.000000,events/second
1647550052,73,0.027299,0.000000,0.000000,0.000000,events/second
1647550082,73,0.026996,0.000000,0.000000,0.000000,events/second
1647550112,73,0.026700,0.000000,0.000000,0.000000,events/second
1647550142,73,0.026410,0.000000,0.000000,0.000000,events/second
1647550172,73,0.026126,0.000000,0.000000,0.000000,events/second
1647550202,73,0.025848,0.000000,0.000000,0.000000,events/second
1647550232,73,0.025577,0.000000,0.000000,0.000000,events/second
1647550262,73,0.025310,0.000000,0.000000,0.000000,events/second
1647550292,73,0.025050,0.000000,0.000000,0.000000,events/second
1647550322,73,0.024794,0.000000,0.000000,0.000000,events/second
1647550352,73,0.024544,0.000000,0.000000,0.000000,events/second
1647550382,73,0.024299,0.000000,0.000000,0.000000,events/second
1647550412,73,0.024058,0.000000,0.000000,0.000000,events/second
1647550442,73,0.023823,0.000000,0.000000,0.000000,events/second
1647550472,73,0.023592,0.000000,0.000000,0.000000,events/second
1647550502,73,0.023365,0.000000,0.000000,0.000000,events/second
1647550532,73,0.023143,0.000000,0.000000,0.000000,events/second
1647550562,73,0.022924,0.000000,0.000000,0.000000,events/second
1647550593,73,0.022710,0.000000,0.000000,0.000000,events/second
1647550623,73,0.022500,0.000000,0.000000,0.000000,events/second
1647550653,73,0.022294,0.000000,0.000000,0.000000,events/second
1647550683,73,0.022091,0.000000,0.000000,0.000000,events/second
1647550713,73,0.021893,0.000000,0.000000,0.000000,events/second
1647550743,73,0.021697,0.000000,0.000000,0.000000,events/second
1647550773,73,0.021505,0.000000,0.000000,0.000000,events/second
1647550803,73,0.021317,0.000000,0.000000,0.000000,events/second
1647550833,73,0.021132,0.000000,0.000000,0.000000,events/second
1647550863,73,0.020950,0.000000,0.000000,0.000000,events/second
1647550893,73,0.020771,0.000000,0.000000,0.000000,events/second
1647550923,73,0.020595,0.000000,0.000000,0.000000,events/second
1647550953,73,0.020422,0.000000,0.000000,0.000000,events/second
1647550983,73,0.020252,0.000000,0.000000,0.000000,events/second
1647551013,73,0.020084,0.000000,0.000000,0.000000,events/second
1647551043,73,0.019919,0.000000,0.000000,0.000000,events/second
1647551073,73,0.019757,0.000000,0.000000,0.000000,events/second
1647551103,73,0.019598,0.000000,0.000000,0.000000,events/second
1647551133,73,0.019439,0.000000,0.000000,0.000000,events/second
1647551163,73,0.019285,0.000000,0.000000,0.000000,events/second
1647551193,73,0.019133,0.000000,0.000000,0.000000,events/second
1647551224,73,0.018984,0.000000,0.000000,0.000000,events/second
1647551254,73,0.018837,0.000000,0.000000,0.000000,events/second
1647551284,73,0.018692,0.000000,0.000000,0.000000,events/second
1647551314,73,0.018549,0.000000,0.000000,0.000000,events/second
1647551344,73,0.018409,0.000000,0.000000,0.000000,events/second
1647551374,73,0.018271,0.000000,0.000000,0.000000,events/second
1647551404,73,0.018134,0.000000,0.000000,0.000000,events/second
1647551434,73,0.018000,0.000000,0.000000,0.000000,events/second
1647551464,73,0.017868,0.000000,0.000000,0.000000,events/second
1647551494,73,0.017738,0.000000,0.000000,0.000000,events/second
1647551524,73,0.017609,0.000000,0.000000,0.000000,events/second
1647551554,73,0.017483,0.000000,0.000000,0.000000,events/second
1647551584,73,0.017358,0.000000,0.000000,0.000000,events/second
1647551614,73,0.017235,0.000000,0.000000,0.000000,events/second
1647551644,73,0.017114,0.000000,0.000000,0.000000,events/second
1647551674,73,0.016994,0.000000,0.000000,0.000000,events/second
1647551704,73,0.016876,0.000000,0.000000,0.000000,events/second
1647551734,73,0.016760,0.000000,0.000000,0.000000,events/second
1647551764,73,0.016645,0.000000,0.000000,0.000000,events/second
1647551794,73,0.016532,0.000000,0.000000,0.000000,events/second
1647551824,73,0.016420,0.000000,0.000000,0.000000,events/second
1647551854,73,0.016310,0.000000,0.000000,0.000000,events/second
1647551884,73,0.016202,0.000000,0.000000,0.000000,events/second
