t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,2,0.062411,0.000000,0.000000,0.000000,events/second
1647547440,2,0.032187,0.000000,0.000000,0.000000,events/second
1647547470,2,0.021696,0.000000,0.000000,0.000000,events/second
1647547500,2,0.016363,0.000000,0.000000,0.000000,events/second
1647547530,3,0.019705,0.000000,0.000000,0.000000,events/second
1647547560,3,0.016460,0.000000,0.000000,0.000000,events/second
1647547590,3,0.014132,0.000000,0.000000,0.000000,events/second
1647547620,3,0.012381,0.000000,0.000000,0.000000,events/second
1647547650,3,0.011016,0.000000,0.000000,0.000000,events/second
1647547680,3,0.009922,0.000000,0.000000,0.000000,events/second
1647547710,3,0.009026,0.000000,0.000000,0.000000,events/second
1647547740,3,0.008279,0.000000,0.000000,0.000000,events/second
1647547770,3,0.007645,0.000000,0.000000,0.000000,events/second
1647547801,3,0.007102,0.000000,0.000000,0.000000,events/second
1647547831,3,0.006631,0.000000,0.000000,0.000000,events/second
1647547861,3,0.006218,0.000000,0.000000,0.000000,events/second
1647547891,3,0.005854,0.000000,0.000000,0.000000,events/second
1647547921,3,0.005530,0.000000,0.000000,0.000000,events/second
1647547951,3,0.005240,0.000000,0.000000,0.000000,events/second
1647547981,3,0.004979,0.000000,0.000000,0.000000,events/second
1647548011,3,0.004743,0.000000,0.000000,0.000000,events/second
1647548041,3,0.004528,0.000000,0.000000,0.000000,events/second
1647548071,3,0.004332,0.000000,0.000000,0.000000,events/second
1647548101,3,0.004151,0.000000,0.000000,0.000000,events/second
1647548131,3,0.003986,0.000000,0.000000,0.000000,events/second
1647548161,3,0.003833,0.000000,0.000000,0.000000,events/second
1647548191,3,0.003691,0.000000,0.000000,0.000000,events/second
1647548221,3,0.003560,0.000000,0.000000,0.000000,events/second
1647548251,3,0.003437,0.000000,0.000000,0.000000,events/second
1647548281,3,0.003323,0.000000,0.000000,0.000000,events/second
1647548311,3,0.003216,0.000000,0.000000,0.000000,events/second
1647548341,3,0.003116,0.000000,0.000000,0.000000,events/second
1647548371,3,0.003022,0.000000,0.000000,0.000000,events/second
1647548401,3,0.002933,0.000000,0.000000,0.000000,events/second
1647548431,3,0.002849,0.000000,0.000000,0.000000,events/second
1647548461,3,0.002770,0.000000,0.000000,0.000000,events/second
1647548491,3,0.002696,0.000000,0.000000,0.000000,events/second
1647548521,3,0.002625,0.000000,0.000000,0.000000,events/second
1647548551,3,0.002558,0.000000,0.000000,0.000000,events/second
1647548581,3,0.002494,0.000000,0.000000,0.000000,events/second
1647548611,3,0.002433,0.000000,0.000000,0.000000,events/second
1647548641,3,0.002375,0.000000,0.000000,0.000000,events/second
1647548671,3,0.002320,0.000000,0.000000,0.000000,events/second
1647548701,3,0.002267,0.000000,0.000000,0.000000,events/second
1647548731,3,0.002217,0.000000,0.000000,0.000000,events/second
1647548761,3,0.002169,0.000000,0.000000,0.000000,events/second
1647548791,3,0.002123,0.000000,0.000000,0.000000,events/second
1647548821,3,0.002079,0.000000,0.000000,0.000000,events/second
1647548851,3,0.002036,0.000000,0.000000,0.000000,events/second
1647548881,3,0.001996,0.000000,0.000000,0.000000,events/second
1647548911,3,0.001957,0.000000,0.000000,0.000000,events/second
1647548941,3,0.001919,0.000000,0.000000,0.000000,events/second
1647548971,3,0.001883,0.000000,0.000000,0.000000,events/second
1647549001,3,0.001848,0.000000,0.000000,0.000000,events/second
1647549031,3,0.001814,0.000000,0.000000,0.000000,events/second
1647549061,3,0.001782,0.000000,0.000000,0.000000,events/second
1647549091,3,0.001751,0.000000,0.000000,0.000000,events/second
1647549121,3,0.001721,0.000000,0.000000,0.000000,events/second
1647549152,3,0.001692,0.000000,0.000000,0.000000,events/second
1647549182,3,0.001663,0.000000,0.000000,0.000000,events/second
1647549212,3,0.001636,0.000000,0.000000,0.000000,events/second
1647549242,3,0.001610,0.000000,0.000000,0.000000,events/second
1647549272,3,0.001584,0.000000,0.000000,0.000000,events/second
1647549302,3,0.001560,0.000000,0.000000,0.000000,events/second
1647549332,3,0.001536,0.000000,0.000000,0.000000,events/second
1647549362,3,0.001512,0.000000,0.000000,0.000000,events/second
1647549392,3,0.001490,0.000000,0.000000,0.000000,events/second
1647549422,3,0.001468,0.000000,0.000000,0.000000,events/second
1647549452,3,0.001447,0.000000,0.000000,0.000000,events/second
1647549482,3,0.001426,0.000000,0.000000,0.000000,events/second
1647549512,3,0.001406,0.000000,0.000000,0.000000,events/second
1647549542,3,0.001387,0.000000,0.000000,0.000000,events/second
1647549572,3,0.001368,0.000000,0.000000,0.000000,events/second
1647549602,3,0.001349,0.000000,0.000000,0.000000,events/second
1647549632,3,0.001331,0.000000,0.000000,0.000000,events/second
1647549662,3,0.001314,0.000000,0.000000,0.000000,events/second
1647549692,3,0.001297,0.000000,0.000000,0.000000,events/second
1647549722,3,0.001280,0.000000,0.000000,0.000000,events/second
1647549752,3,0.001264,0.000000,0.000000,0.000000,events/second
1647549782,3,0.001248,0.000000,0.000000,0.000000,events/second
1647549812,3,0.001233,0.000000,0.000000,0.000000,events/second
1647549842,3,0.001218,0.000000,0.000000,0.000000,events/second
1647549872,3,0.001203,0.000000,0.000000,0.000000,events/second
1647549902,3,0.001189,0.000000,0.000000,0.000000,events/second
1647549932,3,0.001175,0.000000,0.000000,0.000000,events/second
1647549962,3,0.001161,0.000000,0.000000,0.000000,events/second
1647549992,3,0.001148,0.000000,0.000000,0.000000,events/second
1647550022,3,0.001135,0.000000,0.000000,0.000000,events/second
1647550052,3,0.001122,0.000000,0.000000,0.000000,events/second
1647550082,3,0.001109,0.000000,0.000000,0.000000,events/second
1647550112,3,0.001097,0.000000,0.000000,0.000000,events/second
1647550142,3,0.001085,0.000000,0.000000,0.000000,events/second
1647550172,3,0.001074,0.000000,0.000000,0.000000,events/second
1647550202,3,0.001062,0.000000,0.000000,0.000000,events/second
1647550232,3,0.001051,0.000000,0.000000,0.000000,events/second
1647550262,3,0.001040,0.000000,0.000000,0.000000,events/second
1647550292,3,0.001029,0.000000,0.000000,0.000000,events/second
1647550322,3,0.001019,0.000000,0.000000,0.000000,events/second
1647550352,3,0.001009,0.000000,0.000000,0.000000,events/second
1647550382,3,0.000999,0.000000,0.000000,0.000000,events/second
1647550412,3,0.000989,0.000000,0.000000,0.000000,events/second
1647550442,3,0.000979,0.000000,0.000000,0.000000,events/second
1647550472,3,0.000970,0.000000,0.000000,0.000000,events/second
1647550502,3,0.000960,0.000000,0.000000,0.000000,events/second
1647550532,3,0.000951,0.000000,0.000000,0.000000,events/second
1647550562,3,0.000942,0.000000,0.000000,0.000000,events/second
1647550593,3,0.000933,0.000000,0.000000,0.000000,events/second
1647550623,3,0.000925,0.000000,0.000000,0.000000,events/second
1647550653,3,0.000916,0.000000,0.000000,0.000000,events/second
1647550683,3,0.000908,0.000000,0.000000,0.000000,events/second
1647550713,3,0.000900,0.000000,0.000000,0.000000,events/second
