t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,225,7.020919,0.000000,0.000000,0.000000,events/second
1647547440,231,3.717876,0.000000,0.000000,0.000000,events/second
1647547470,237,2.571113,0.000000,0.000000,0.000000,events/second
1647547500,243,1.988143,0.000000,0.000000,0.000000,events/second
1647547530,249,1.635598,0.000000,0.000000,0.000000,events/second
1647547560,255,1.399106,0.000000,0.000000,0.000000,events/second
1647547590,261,1.229520,0.000000,0.000000,0.000000,events/second
1647547620,267,1.101937,0.000000,0.000000,0.000000,events/second
1647547650,273,1.002448,0.000000,0.000000,0.000000,events/second
1647547680,279,0.922785,0.000000,0.000000,0.000000,events/second
1647547710,285,0.857492,0.000000,0.000000,0.000000,events/second
1647547740,291,0.803032,0.000000,0.000000,0.000000,events/second
1647547770,297,0.756894,0.000000,0.000000,0.000000,events/second
1647547801,303,0.717292,0.000000,0.000000,0.000000,events/second
1647547831,309,0.682967,0.000000,0.000000,0.000000,events/second
1647547861,315,0.652907,0.000000,0.000000,0.000000,events/second
1647547891,321,0.626371,0.000000,0.000000,0.000000,events/second
1647547921,327,0.602768,0.000000,0.000000,0.000000,events/second
1647547951,333,0.581647,0.000000,0.000000,0.000000,events/second
1647547981,339,0.562629,0.000000,0.000000,0.000000,events/second
1647548011,345,0.545412,0.000000,0.000000,0.000000,events/second
1647548041,351,0.529754,0.000000,0.000000,0.000000,events/second
1647548071,356,0.514009,0.000000,0.000000,0.000000,events/second
1647548101,362,0.500951,0.000000,0.000000,0.000000,events/second
1647548131,368,0.488931,0.000000,0.000000,0.000000,events/second
1647548161,374,0.477840,0.000000,0.000000,0.000000,events/second
1647548191,380,0.467576,0.000000,0.000000,0.000000,events/second
1647548221,386,0.458036,0.000000,0.000000,0.000000,events/second
1647548251,392,0.449147,0.000000,0.000000,0.000000,events/second
1647548281,398,0.440852,0.000000,0.000000,0.000000,events/second
1647548311,404,0.433100,0.000000,0.000000,0.000000,events/second
1647548341,410,0.425826,0.000000,0.000000,0.000000,events/second
1647548371,416,0.418994,0.000000,0.000000,0.000000,events/second
1647548401,422,0.412558,0.000000,0.000000,0.000000,events/second
1647548431,428,0.406494,0.000000,0.000000,0.000000,events/second
1647548461,434,0.400769,0.000000,0.000000,0.000000,events/second
1647548491,440,0.395353,0.000000,0.000000,0.000000,events/second
1647548521,446,0.390218,0.000000,0.000000,0.000000,events/second
1647548551,452,0.385349,0.000000,0.000000,0.000000,events/second
1647548581,458,0.380719,0.000000,0.000000,0.000000,events/second
1647548611,464,0.376315,0.000000,0.000000,0.000000,events/second
1647548641,470,0.372122,0.000000,0.000000,0.000000,events/second
1647548671,476,0.368121,0.000000,0.000000,0.000000,events/second
1647548701,482,0.364302,0.000000,0.000000,0.000000,events/second
1647548731,488,0.360652,0.000000,0.000000,0.000000,events/second
1647548761,494,0.357161,0.000000,0.000000,0.000000,events/second
1647548791,500,0.353821,0.000000,0.000000,0.000000,events/second
1647548821,506,0.350619,0.000000,0.000000,0.000000,events/second
1647548851,512,0.347549,0.000000,0.000000,0.000000,events/second
1647548881,518,0.344599,0.000000,0.000000,0.000000,events/second
1647548911,524,0.341762,0.000000,0.000000,0.000000,events/second
1647548941,530,0.339035,0.000000,0.000000,0.000000,events/second
1647548971,536,0.336415,0.000000,0.000000,0.000000,events/second
1647549001,542,0.333885,0.000000,0.000000,0.000000,events/second
1647549031,548,0.331449,0.000000,0.000000,0.000000,events/second
1647549061,554,0.329103,0.000000,0.000000,0.000000,events/second
1647549091,560,0.326841,0.000000,0.000000,0.000000,events/second
1647549121,566,0.324657,0.000000,0.000000,0.000000,events/second
1647549152,572,0.322543,0.000000,0.000000,0.000000,events/second
1647549182,578,0.320501,0.000000,0.000000,0.000000,events/second
1647549212,584,0.318525,0.000000,0.000000,0.000000,events/second
1647549242,590,0.316613,0.000000,0.000000,0.000000,events/second
1647549272,596,0.314763,0.000000,0.000000,0.000000,events/second
1647549302,602,0.312970,0.000000,0.000000,0.000000,events/second
1647549332,608,0.311231,0.000000,0.000000,0.000000,events/second
1647549362,614,0.309546,0.000000,0.000000,0.000000,events/second
1647549392,620,0.307912,0.000000,0.000000,0.000000,events/second
1647549422,626,0.306325,0.000000,0.000000,0.000000,events/second
1647549452,632,0.304784,0.000000,0.000000,0.000000,events/second
1647549482,638,0.303286,0.000000,0.000000,0.000000,events/second
1647549512,644,0.301832,0.000000,0.000000,0.000000,events/second
1647549542,650,0.300416,0.000000,0.000000,0.000000,events/second
1647549572,656,0.299040,0.000000,0.000000,0.000000,events/second
1647549602,662,0.297700,0.000000,0.000000,0.000000,events/second
1647549632,668,0.296398,0.000000,0.000000,0.000000,events/second
1647549662,674,0.295128,0.000000,0.000000,0.000000,events/second
1647549692,680,0.293893,0.000000,0.000000,0.000000,events/second
