t,value
1647547410,-1
1647547440,-1
1647547470,-1
1647547500,-1
1647547530,-1
1647547560,-1
1647547590,-1
1647547620,-1
1647547650,-1
1647547680,-1
1647547710,-1
1647547740,-1
1647547770,-1
1647547801,-1
1647547831,-1
1647547861,-1
1647547891,-1
1647547921,-1
1647547951,-1
1647547981,-1
1647548011,-1
1647548041,-1
1647548071,-1
1647548101,-1
1647548131,-1
1647548161,-1
1647548191,-1
1647548221,-1
1647548251,-1
1647548281,-1
1647548311,-1
1647548341,-1
1647548371,-1
1647548401,-1
1647548431,-1
1647548461,-1
1647548491,-1
1647548521,-1
1647548551,-1
1647548581,-1
1647548611,-1
1647548641,-1
1647548671,-1
1647548701,-1
1647548731,-1
1647548761,-1
1647548791,-1
1647548821,-1
1647548851,-1
1647548881,-1
1647548911,-1
1647548941,-1
1647548971,-1
1647549001,-1
1647549031,-1
1647549061,-1
1647549091,-1
1647549121,-1
1647549152,-1
1647549182,-1
1647549212,-1
1647549242,-1
1647549272,-1
1647549302,-1
1647549332,-1
1647549362,-1
1647549392,-1
1647549422,-1
1647549452,-1
1647549482,-1
1647549512,-1
1647549542,-1
1647549572,-1
1647549602,-1
1647549632,-1
1647549662,-1
1647549692,-1
1647549722,-1
1647549752,-1
1647549782,-1
1647549812,-1
1647549842,-1
1647549872,-1
1647549902,-1
1647549932,-1
1647549962,-1
1647549992,-1
1647550022,-1
1647550052,-1
1647550082,-1
1647550112,-1
1647550142,-1
1647550172,-1
1647550202,-1
1647550232,-1
1647550262,-1
1647550292,-1
1647550322,-1
1647550352,-1
1647550382,-1
1647550412,-1
1647550442,-1
1647550472,-1
1647550502,-1
1647550532,-1
1647550562,-1
1647550593,-1
1647550623,-1
1647550653,-1
1647550683,-1
1647550713,-1
1647550743,-1
1647550773,-1
1647550803,-1
1647550833,-1
1647550863,-1
1647550893,-1
1647550923,-1
1647550953,-1
1647550983,-1
1647551013,-1
1647551043,-1
1647551073,-1
1647551103,-1
1647551133,-1
1647551163,-1
1647551193,-1
1647551224,-1
1647551254,-1
1647551284,-1
1647551314,-1
1647551344,-1
1647551374,-1
1647551404,-1
1647551434,-1
1647551464,-1
1647551494,-1
1647551524,-1
1647551554,-1
1647551584,-1
1647551614,-1
1647551644,-1
1647551674,-1
1647551704,-1
1647551734,-1
1647551764,-1
1647551794,-1
1647551824,-1
1647551854,-1
1647551884,-1
1647551914,-1
1647551944,-1
1647551974,-1
1647552004,-1
1647552034,-1
1647552064,-1
1647552094,-1
1647552124,-1
1647552154,-1
1647552184,-1
1647552214,-1
1647552244,-1
1647552274,-1
1647552304,-1
1647552334,-1
1647552364,-1
1647552394,-1
1647552424,-1
1647552454,-1
1647552487,-1
1647552517,-1
1647552547,-1
1647552577,-1
1647552607,-1
1647553637,-1
1647553667,-1
1647553697,-1
1647553727,-1
1647553757,-1
1647553787,-1
1647553817,-1
1647553847,-1
1647553877,-1
1647553907,-1
