t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1647547410,220,8.141537,0.000000,0.000000,0.000000,events/second
1647547440,220,3.854246,0.000000,0.000000,0.000000,events/second
1647547470,220,2.525094,0.000000,0.000000,0.000000,events/second
1647547500,220,1.877587,0.000000,0.000000,0.000000,events/second
1647547530,220,1.494722,0.000000,0.000000,0.000000,events/second
1647547560,220,1.241493,0.000000,0.000000,0.000000,events/second
1647547590,220,1.061650,0.000000,0.000000,0.000000,events/second
1647547620,237,0.998954,0.000000,0.000000,0.000000,events/second
1647547650,237,0.886710,0.000000,0.000000,0.000000,events/second
1647547680,237,0.797196,0.000000,0.000000,0.000000,events/second
1647547710,237,0.724082,0.000000,0.000000,0.000000,events/second
1647547740,237,0.663265,0.000000,0.000000,0.000000,events/second
1647547770,237,0.611866,0.000000,0.000000,0.000000,events/second
1647547801,237,0.567843,0.000000,0.000000,0.000000,events/second
1647547831,237,0.529745,0.000000,0.000000,0.000000,events/second
1647547861,237,0.496434,0.000000,0.000000,0.000000,events/second
1647547891,237,0.467067,0.000000,0.000000,0.000000,events/second
1647547921,237,0.440975,0.000000,0.000000,0.000000,events/second
1647547951,237,0.417652,0.000000,0.000000,0.000000,events/second
1647547981,237,0.396670,0.000000,0.000000,0.000000,events/second
1647548011,237,0.377691,0.000000,0.000000,0.000000,events/second
1647548041,237,0.360446,0.000000,0.000000,0.000000,events/second
1647548071,237,0.344706,0.000000,0.000000,0.000000,events/second
1647548101,253,0.352577,0.000000,0.000000,0.000000,events/second
1647548131,253,0.338411,0.000000,0.000000,0.000000,events/second
1647548161,253,0.325345,0.000000,0.000000,0.000000,events/second
1647548191,253,0.313255,0.000000,0.000000,0.000000,events/second
1647548221,253,0.302026,0.000000,0.000000,0.000000,events/second
1647548251,253,0.291571,0.000000,0.000000,0.000000,events/second
1647548281,253,0.281817,0.000000,0.000000,0.000000,events/second
1647548311,253,0.272701,0.000000,0.000000,0.000000,events/second
1647548341,253,0.264152,0.000000,0.000000,0.000000,events/second
1647548371,253,0.256124,0.000000,0.000000,0.000000,events/second
1647548401,253,0.248567,0.000000,0.000000,0.000000,events/second
1647548431,253,0.241446,0.000000,0.000000,0.000000,events/second
1647548461,253,0.234723,0.000000,0.000000,0.000000,events/second
1647548491,324,0.292451,0.000000,0.000000,0.000000,events/second
