t,value
1647547410,199633400
1647547440,199633400
1647547470,199633400
1647547500,199633400
1647547530,199633400
1647547560,199633400
1647547590,199633400
1647547620,199633400
1647547650,199633400
1647547680,199633400
1647547710,199633400
1647547740,199633400
1647547770,199633400
1647547801,199633400
1647547831,199633400
1647547861,199633400
1647547891,199633400
1647547921,199633400
1647547951,199633400
1647547981,199633400
1647548011,199633400
1647548041,199633400
1647548071,199633400
1647548101,199633400
1647548131,199633400
1647548161,199633400
1647548191,199633400
1647548221,199633400
1647548251,199633400
1647548281,199633400
1647548311,199633400
1647548341,199633400
1647548371,199633400
1647548401,199633400
1647548431,199633400
1647548461,199633400
1647548491,199633400
1647548521,199633400
1647548551,199633400
1647548581,199633400
1647548611,199633400
1647548641,199633400
1647548671,199633400
1647548701,199633400
1647548731,199633400
1647548761,199633400
1647548791,199633400
1647548821,199633400
1647548851,199633400
1647548881,199633400
1647548911,199633400
1647548941,199633400
1647548971,199633400
1647549001,199633400
1647549031,199633400
1647549061,199633400
1647549091,199633400
1647549121,199633400
1647549152,199633400
1647549182,199633400
1647549212,199633400
1647549242,199633400
1647549272,199633400
1647549302,199633400
1647549332,199633400
1647549362,199633400
1647549392,199633400
1647549422,199633400
1647549452,199633400
1647549482,199633400
1647549512,199633400
1647549542,199633400
1647549572,199633400
1647549602,199633400
1647549632,199633400
1647549662,199633400
1647549692,199633400
1647549722,199633400
1647549752,199633400
1647549782,199633400
1647549812,199633400
1647549842,199633400
1647549872,199633400
1647549902,199633400
1647549932,199633400
1647549962,199633400
1647549992,199633400
1647550022,199633400
1647550052,199633400
1647550082,199633400
1647550112,199633400
1647550142,199633400
1647550172,199633400
1647550202,199633400
1647550232,199633400
1647550262,199633400
1647550292,199633400
1647550322,199633400
1647550352,199633400
1647550382,199633400
1647550412,199633400
1647550442,199633400
1647550472,199633400
1647550502,199633400
1647550532,199633400
1647550562,199633400
1647550593,199633400
1647550623,199633400
1647550653,199633400
1647550683,199633400
1647550713,199633400
1647550743,199633400
1647550773,199633400
1647550803,199633400
1647550833,199633400
1647550863,199633400
1647550893,199633400
1647550923,199633400
1647550953,199633400
1647550983,199633400
1647551013,199633400
1647551043,199633400
1647551073,199633400
1647551103,199633400
1647551133,199633400
1647551163,199633400
1647551193,199633400
1647551224,199633400
1647551254,199633400
1647551284,199633400
1647551314,199633400
1647551344,199633400
1647551374,199633400
1647551404,199633400
1647551434,199633400
1647551464,199633400
1647551494,199633400
1647551524,199633400
1647551554,199633400
1647551584,199633400
1647551614,199633400
1647551644,199633400
1647551674,199633400
1647551704,199633400
1647551734,199633400
1647551764,199633400
1647551794,199633400
1647551824,199633400
1647551854,199633400
1647551884,199633400
1647551914,199633400
1647551944,199633400
1647551974,199633400
1647552004,199633400
1647552034,199633400
1647552064,199633400
1647552094,199633400
1647552124,199633400
1647552154,199633400
1647552184,199633400
1647552214,199633400
1647552244,199633400
1647552274,199633400
1647552304,199633400
1647552334,199633400
1647552364,199633400
1647552394,199633400
1647552424,199633400
1647552454,199633400
1647552487,199633400
1647552517,199633400
1647552547,199633400
1647552577,199633400
1647552607,199633400
1647553637,199633400
1647553667,199633400
1647553697,199633400
1647553727,199633400
1647553757,199633400
1647553787,199633400
1647553817,199633400
1647553847,199633400
1647553877,199633400
1647553907,199633400
