t,value
1647547410,41870
1647547440,41870
1647547470,41806
1647547500,41806
1647547530,41806
1647547560,41806
1647547590,41806
1647547620,41806
1647547650,41806
1647547680,41806
1647547710,41806
1647547740,41806
1647547770,41806
1647547801,41806
1647547831,41806
1647547861,41806
1647547891,41806
1647547921,41806
1647547951,41806
1647547981,41806
1647548011,41817
1647548041,41817
1647548071,41806
1647548101,41806
1647548131,41806
1647548161,41806
1647548191,41806
1647548221,41806
1647548251,41806
1647548281,49998
1647548311,49998
1647548341,49998
1647548371,49998
1647548401,49998
1647548431,49998
1647548461,49998
1647548491,49998
1647548521,49998
1647548551,49998
1647548581,49998
1647548611,50009
1647548641,50009
1647548671,49998
1647548701,49998
1647548731,49998
1647548761,49998
1647548791,49998
1647548821,49998
1647548851,49998
1647548881,49998
1647548911,49998
1647548941,49998
1647548971,49998
1647549001,49998
1647549031,49998
1647549061,49998
1647549091,49998
1647549121,49998
1647549152,49998
1647549182,49998
1647549212,50009
1647549242,50009
1647549272,49998
1647549302,49998
1647549332,49998
1647549362,49998
1647549392,49998
1647549422,49998
1647549452,49998
1647549482,49998
1647549512,49998
1647549542,49998
1647549572,49998
1647549602,49998
1647549632,49998
1647549662,49998
1647549692,49998
1647549722,49998
1647549752,49998
1647549782,49998
1647549812,49998
1647549842,49998
1647549872,49998
1647549902,49998
1647549932,49998
1647549962,49998
1647549992,49998
1647550022,49998
1647550052,58190
1647550082,58190
1647550112,58190
1647550142,58190
1647550172,58190
1647550202,58190
1647550232,58190
1647550262,58190
1647550292,58190
1647550322,58190
1647550352,58190
1647550382,58190
1647550412,58190
1647550442,58190
1647550472,58190
1647550502,58190
1647550532,58190
1647550562,58190
1647550593,58190
1647550623,58190
1647550653,58190
1647550683,58190
1647550713,58190
1647550743,58190
1647550773,58190
1647550803,58190
1647550833,58190
1647550863,58190
1647550893,58190
1647550923,58190
1647550953,58190
1647550983,58201
1647551013,58201
1647551043,58190
1647551073,58190
1647551103,58190
1647551133,58190
1647551163,58190
1647551193,58190
1647551224,58190
1647551254,58190
1647551284,58190
1647551314,58190
1647551344,58190
1647551374,58190
1647551404,58190
1647551434,58190
1647551464,58190
1647551494,58190
1647551524,58190
1647551554,58190
1647551584,58201
1647551614,58201
1647551644,58190
1647551674,58190
1647551704,58190
1647551734,58190
1647551764,58190
1647551794,58190
1647551824,58190
1647551854,58190
1647551884,58190
1647551914,58190
1647551944,58190
1647551974,58190
1647552004,58190
1647552034,58190
1647552064,58190
1647552094,58190
1647552124,58190
1647552154,58190
1647552184,58201
1647552214,58201
1647552244,58190
1647552274,58190
1647552304,58190
1647552334,58190
1647552364,58190
1647552394,58190
1647552424,58190
1647552454,58190
1647552487,58190
1647552517,58190
1647552547,58190
1647552577,58190
1647552607,58190
1647553637,58212
1647553667,58212
1647553697,58212
1647553727,58190
1647553757,58190
1647553787,58190
1647553817,58190
1647553847,58190
1647553877,58190
1647553907,8204
