t,value
1647547410,84934656
1647547440,142606336
1647547470,154140672
1647547500,235929600
1647547530,264241152
1647547560,279969792
1647547590,307232768
1647547620,14680064
1647547650,42991616
1647547680,72351744
1647547710,89128960
1647547740,104857600
1647547770,121634816
1647547801,137363456
1647547831,155189248
1647547861,170917888
1647547891,187695104
1647547921,204472320
1647547951,220200960
1647547981,236978176
1647548011,253755392
1647548041,269484032
1647548071,286261248
1647548101,72351744
1647548131,99614720
1647548161,120586240
1647548191,137363456
1647548221,153092096
1647548251,169869312
1647548281,191889408
1647548311,222298112
1647548341,239075328
1647548371,254803968
1647548401,271581184
1647548431,287309824
1647548461,303038464
1647548491,17825792
1647548521,33554432
1647548551,50331648
1647548581,66060288
1647548611,93323264
1647548641,109051904
1647548671,125829120
1647548701,142606336
1647548731,158334976
1647548761,174063616
1647548791,190840832
1647548821,207618048
1647548851,223346688
1647548881,239075328
1647548911,256901120
1647548941,272629760
1647548971,14680064
1647549001,55574528
1647549031,127926272
1647549061,154140672
1647549091,171966464
1647549121,187695104
1647549152,204472320
1647549182,220200960
1647549212,238026752
1647549242,254803968
1647549272,272629760
1647549302,288358400
1647549332,5242880
1647549362,20971520
1647549392,37748736
1647549422,55574528
1647549452,72351744
1647549482,89128960
1647549512,106954752
1647549542,123731968
1647549572,140509184
1647549602,159383552
1647549632,176160768
1647549662,191889408
1647549692,211812352
1647549722,235929600
1647549752,244318208
1647549782,269484032
1647549812,281018368
1647549842,57671680
1647549872,68157440
1647549902,169869312
1647549932,183500800
1647549962,204472320
1647549992,222298112
1647550022,248512512
1647550052,290455552
1647550082,22020096
1647550112,29360128
1647550142,56623104
1647550172,63963136
1647550202,91226112
1647550232,137363456
1647550262,203423744
1647550292,210763776
1647550322,279969792
1647550352,41943040
1647550382,69206016
1647550412,76546048
1647550442,101711872
1647550472,109051904
1647550502,135266304
1647550532,142606336
1647550562,180355072
1647550593,186646528
1647550623,213909504
1647550653,220200960
1647550683,246415360
1647550713,253755392
1647550743,290455552
1647550773,297795584
1647550803,19922944
1647550833,73400320
1647550863,119537664
1647550893,211812352
1647550923,277872640
1647550953,284164096
1647550983,8388608
1647551013,15728640
1647551043,42991616
1647551073,49283072
1647551103,75497472
1647551133,94371840
1647551163,120586240
1647551193,127926272
1647551224,154140672
1647551254,161480704
1647551284,186646528
1647551314,195035136
1647551344,220200960
1647551374,227540992
1647551404,253755392
1647551434,261095424
1647551464,287309824
1647551494,293601280
1647551524,19922944
1647551554,62914560
1647551584,93323264
1647551614,169869312
1647551644,285212672
1647551674,49283072
1647551704,75497472
1647551734,82837504
1647551764,109051904
1647551794,146800640
1647551824,242221056
1647551854,130023424
1647551884,94371840
1647551914,136314880
1647551944,47185920
1647551974,105906176
1647552004,260046848
1647552034,189792256
1647552064,266338304
1647552094,273678336
1647552124,299892736
1647552154,5242880
1647552184,32505856
1647552214,39845888
1647552244,66060288
1647552274,73400320
1647552304,98566144
1647552334,106954752
1647552364,167772160
1647552394,175112192
1647552424,200278016
1647552454,207618048
1647552487,233832448
1647552517,241172480
1647552547,277872640
1647552577,285212672
1647552607,11534336
1647553637,212860928
1647553667,96468992
1647553697,125829120
1647553727,130023424
1647553757,159383552
1647553787,163577856
1647553817,192937984
1647553847,197132288
1647553877,225443840
1647553907,9437184
