t,value
1647547410,0
1647547440,0
1647547470,0
1647547500,0
1647547530,0
1647547560,0
1647547590,0
1647547620,0
1647547650,0
1647547680,0
1647547710,0
1647547740,0
1647547770,0
1647547801,0
1647547831,0
1647547861,0
1647547891,0
1647547921,0
1647547951,0
1647547981,0
1647548011,0
1647548041,0
1647548071,0
1647548101,0
1647548131,0
1647548161,0
1647548191,0
1647548221,0
1647548251,0
1647548281,0
1647548311,0
1647548341,0
1647548371,0
1647548401,0
1647548431,0
1647548461,0
1647548491,0
1647548521,0
1647548551,0
1647548581,0
1647548611,0
1647548641,0
1647548671,0
1647548701,0
1647548731,0
1647548761,0
1647548791,0
1647548821,0
1647548851,0
1647548881,0
1647548911,0
1647548941,0
1647548971,0
1647549001,0
1647549031,0
1647549061,0
1647549091,0
1647549121,0
1647549152,0
1647549182,0
1647549212,0
1647549242,0
1647549272,0
1647549302,0
1647549332,0
1647549362,0
1647549392,0
1647549422,0
1647549452,0
1647549482,0
1647549512,0
1647549542,0
1647549572,0
1647549602,0
1647549632,0
1647549662,0
1647549692,0
1647549722,293
1647549752,293
1647549782,293
1647549812,293
1647549842,293
1647549872,293
1647549902,293
1647549932,293
1647549962,293
1647549992,293
1647550022,293
1647550052,293
1647550082,293
1647550112,293
1647550142,293
1647550172,293
1647550202,293
1647550232,293
1647550262,293
1647550292,293
1647550322,293
1647550352,293
1647550382,293
1647550412,293
1647550442,293
1647550472,293
1647550502,293
1647550532,293
1647550562,293
1647550593,293
1647550623,293
1647550653,293
1647550683,293
1647550713,293
1647550743,293
1647550773,293
1647550803,293
1647550833,293
1647550863,293
1647550893,293
1647550923,293
1647550953,293
1647550983,293
1647551013,773
1647551043,773
1647551073,773
1647551103,773
1647551133,1239
1647551163,1239
1647551193,1467
1647551224,2097
1647551254,2097
1647551284,2572
1647551314,2572
1647551344,2572
1647551374,2572
1647551404,2572
1647551434,2572
1647551464,2572
1647551494,2572
1647551524,2572
1647551554,2572
1647551584,2572
1647551614,2572
1647551644,2572
1647551674,2572
1647551704,2572
1647551734,2572
1647551764,2572
1647551794,2572
1647551824,2572
1647551854,2572
1647551884,2572
1647551914,2572
1647551944,2572
1647551974,2572
1647552004,2572
1647552034,2572
1647552064,2572
1647552094,3090
1647552124,3090
1647552154,3090
1647552184,3090
1647552214,3090
1647552244,3090
1647552274,3090
1647552304,3090
1647552334,3090
1647552364,3090
1647552394,3090
1647552424,3090
1647552454,3090
1647552487,6372
1647552517,6372
1647552547,6372
1647552577,6372
1647552607,6372
1647553637,1006740
1647553667,1006740
1647553697,1007175
1647553727,1007175
1647553757,1007175
1647553787,1007575
1647553817,1007575
1647553847,1007575
1647553877,1007575
1647553907,1007575
