t,value
1647547410,101
1647547440,98
1647547470,57
1647547500,60
1647547530,61
1647547560,61
1647547590,61
1647547620,61
1647547650,61
1647547680,62
1647547710,62
1647547740,60
1647547770,60
1647547801,59
1647547831,59
1647547861,58
1647547891,58
1647547921,58
1647547951,58
1647547981,59
1647548011,60
1647548041,59
1647548071,58
1647548101,58
1647548131,58
1647548161,58
1647548191,58
1647548221,58
1647548251,58
1647548281,59
1647548311,59
1647548341,58
1647548371,58
1647548401,58
1647548431,58
1647548461,58
1647548491,58
1647548521,58
1647548551,58
1647548581,59
1647548611,60
1647548641,59
1647548671,58
1647548701,58
1647548731,58
1647548761,58
1647548791,58
1647548821,58
1647548851,58
1647548881,59
1647548911,59
1647548941,58
1647548971,60
1647549001,60
1647549031,60
1647549061,60
1647549091,60
1647549121,60
1647549152,59
1647549182,60
1647549212,60
1647549242,59
1647549272,58
1647549302,58
1647549332,58
1647549362,58
1647549392,58
1647549422,58
1647549452,58
1647549482,59
1647549512,59
1647549542,58
1647549572,58
1647549602,58
1647549632,58
1647549662,58
1647549692,58
1647549722,59
1647549752,59
1647549782,59
1647549812,59
1647549842,60
1647549872,60
1647549902,63
1647549932,63
1647549962,61
1647549992,61
1647550022,60
1647550052,60
1647550082,61
1647550112,61
1647550142,59
1647550172,59
1647550202,58
1647550232,60
1647550262,60
1647550292,60
1647550322,60
1647550352,60
1647550382,61
1647550412,60
1647550442,59
1647550472,58
1647550502,58
1647550532,58
1647550562,58
1647550593,58
1647550623,58
1647550653,58
1647550683,59
1647550713,59
1647550743,58
1647550773,58
1647550803,58
1647550833,59
1647550863,59
1647550893,59
1647550923,59
1647550953,59
1647550983,60
1647551013,60
1647551043,58
1647551073,58
1647551103,58
1647551133,58
1647551163,58
1647551193,58
1647551224,58
1647551254,58
1647551284,59
1647551314,59
1647551344,58
1647551374,58
1647551404,58
1647551434,58
1647551464,58
1647551494,58
1647551524,58
1647551554,58
1647551584,60
1647551614,61
1647551644,59
1647551674,59
1647551704,59
1647551734,59
1647551764,59
1647551794,59
1647551824,59
1647551854,61
1647551884,62
1647551914,62
1647551944,61
1647551974,61
1647552004,61
1647552034,61
1647552064,61
1647552094,61
1647552124,60
1647552154,60
1647552184,61
1647552214,61
1647552244,59
1647552274,59
1647552304,59
1647552334,59
1647552364,59
1647552394,59
1647552424,59
1647552454,59
1647552487,63
1647552517,63
1647552547,59
1647552577,59
1647552607,59
1647553637,70
1647553667,71
1647553697,63
1647553727,61
1647553757,60
1647553787,61
1647553817,61
1647553847,60
1647553877,60
1647553907,48
